"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
232 0.675357850816524 2 13 "GO:0000109" "nucleotide-excision repair complex" 0.888776559863582
2 0.997945998598133 3 8 "GO:0000118" "histone deacetylase complex" 0.999625051787555
-10 0.989476265013473 3 7 "GO:0000123" "histone acetyltransferase complex" 0.999625051787555
-819 0.358405958718726 3 5 "GO:0000131" "incipient cellular bud site" 0.757911702748868
484 0.552158938256378 3 6 "GO:0000136;GO:0031501" "mannosyltransferase complex" 0.867678331545737
-116 0.861660688825627 3 9 "GO:0000138" "Golgi trans cisterna" 0.974674403281427
278 0.0138849109426363 2 326 "GO:0000139" "Golgi membrane" 0.177032614518613
-145 0.826815006668761 2 9 "GO:0000148" "1,3-beta-D-glucan synthase complex" 0.956425821838827
-163 0.393299352140121 3 111 "GO:0000151" "ubiquitin ligase complex" 0.780627913423276
1011 0.0677286097986568 2 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.395789063510901
772 0.342969695299663 3 6 "GO:0000159" "protein phosphatase type 2A complex" 0.754533329659259
-636 0.290320235301719 2 11 "GO:0000164" "protein phosphatase type 1 complex" 0.702024362087346
1545 0.0101991627619225 3 11 "GO:0000177;GO:0000176" "cytoplasmic exosome (RNase complex)" 0.139554397791183
1153 0.0305868295325116 3 14 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.245739131013561
-123 0.714811263866877 6 35 "GO:0000228" "nuclear chromosome" 0.895518570090854
-265 0.466918861765531 2 30 "GO:0000242" "pericentriolar material" 0.8134828616474
1092 0.220493886187229 2 5 "GO:0000243" "commitment complex" 0.664044275056591
305 0.580853416078284 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.880189968009792
-318 0.43567898649443 5 24 "GO:0000324;GO:0000322" "storage vacuole" 0.795499038770206
-521 0.267812957247475 4 18 "GO:0000325" "plant-type vacuole" 0.697041851416321
-486 0.124259271640194 2 40 "GO:0000329" "fungal-type vacuole membrane" 0.49364369260023
352 0.577217954083782 4 10 "GO:0000331" "contractile vacuole" 0.879057107276168
577 0.23318488803235 2 17 "GO:0000407" "phagophore assembly site" 0.664044275056591
608 0.419526733249109 2 7 "GO:0000421" "autophagosome membrane" 0.79018101481304
372 0.228087846789272 3 42 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.664044275056591
638 0.0908037951073399 3 28 "GO:0000775" "chromosome, centromeric region" 0.431071501112621
161 0.615016478685721 3 39 "GO:0000776" "kinetochore" 0.880189968009792
669 0.0816835687992071 2 27 "GO:0000777" "condensed chromosome kinetochore" 0.42621341452223
1034 0.119877468762334 3 9 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.49364369260023
278 0.409641075212116 3 35 "GO:0000781" "chromosome, telomeric region" 0.78432984025255
425 0.0843987379728366 2 66 "GO:0000785" "chromatin" 0.429660451607861
593 0.265654765127889 2 14 "GO:0000786;GO:0044815" "DNA packaging complex" 0.696412725405354
1369 0.0925849186801624 3 6 "GO:0000791" "euchromatin" 0.431071501112621
570 0.449534733565328 3 7 "GO:0000792" "heterochromatin" 0.802475479352113
604 0.138230035986585 4 24 "GO:0000793" "condensed chromosome" 0.510177961766278
9 0.985512287637131 2 17 "GO:0000794" "condensed nuclear chromosome" 0.999625051787555
105 0.861744213952919 5 11 "GO:0000803" "sex chromosome" 0.974674403281427
266 0.705511402133541 4 8 "GO:0000835;GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.895518570090854
1037 0.244546865130497 2 5 "GO:0000837" "Doa10p ubiquitin ligase complex" 0.678505028639348
396 0.179538557915817 2 46 "GO:0000922" "spindle pole" 0.599530541611746
208 0.396163353353196 3 67 "GO:0000932" "P-body" 0.780627913423276
327 0.622378084793695 3 9 "GO:0000935" "division septum" 0.884423029430922
-179 0.84126667355904 3 5 "GO:0000941;GO:0000939" "condensed nuclear chromosome inner kinetochore" 0.966914072952106
-1106 1.59261293074537e-05 5 61 "GO:0001518;GO:0034706" "sodium channel complex" 0.000702446928856373
564 0.158129083291428 2 25 "GO:0001650" "fibrillar center" 0.561055517504372
-24 0.956666444652226 2 20 "GO:0001669" "acrosomal vesicle" 0.991963395273856
-380 0.527516627366645 2 11 "GO:0001726" "ruffle" 0.85778790710924
-952 0.0429772870394074 2 18 "GO:0001750" "photoreceptor outer segment" 0.298314105458346
-863 0.220936800976467 2 8 "GO:0001891" "phagocytic cup" 0.664044275056591
-473 0.43144401372999 2 11 "GO:0001917" "photoreceptor inner segment" 0.790980691838315
650 0.465987872764284 2 5 "GO:0002177" "manchette" 0.8134828616474
-276 0.00912226208430759 2 376 "GO:0005576" "extracellular region" 0.127939725732414
-989 0.0306626366683588 2 19 "GO:0005604" "basement membrane" 0.245739131013561
-334 0.0211135639303409 2 195 "GO:0005615" "extracellular space" 0.207674188066296
-203 0.306559798940755 2 102 "GO:0005618" "cell wall" 0.710661352089932
-788 0.235717638979077 3 9 "GO:0005619;GO:0031160" "spore wall" 0.667866643774051
215 0.556182743255649 -1 30 "GO:0005623" "obsolete cell" 0.871560108844746
-594 0.282834195888645 3 13 "GO:0005628" "prospore membrane" 0.702024362087346
109 0.642964929767823 2 73 "GO:0005635" "nuclear envelope" 0.886364590229941
518 0.331645922655886 2 14 "GO:0005637" "nuclear inner membrane" 0.741641309640389
207 0.570941149133846 2 30 "GO:0005643" "nuclear pore" 0.877528725107089
351 0.000204373813202543 2 478 "GO:0005654" "nucleoplasm" 0.00636965051147926
214 0.578203337941009 2 27 "GO:0005657" "replication fork" 0.879057107276168
240 0.718042687929848 2 9 "GO:0005662" "DNA replication factor A complex" 0.895518570090854
625 0.48332965814309 2 5 "GO:0005663" "DNA replication factor C complex" 0.831742141773845
1127 0.0739461195741844 3 10 "GO:0005665" "RNA polymerase II, core complex" 0.415027134709694
-227 0.732356432538459 3 9 "GO:0005666" "RNA polymerase III complex" 0.900425736971444
759 0.0150281039591711 2 41 "GO:0005667" "transcription regulator complex" 0.183848720096094
1644 0.029170280305876 2 7 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.245739131013561
651 0.355578544591371 2 8 "GO:0005680" "anaphase-promoting complex" 0.757911702748868
958 7.88739432138438e-08 3 127 "GO:0005681" "spliceosomal complex" 7.3747136904944e-06
1992 0.000186975097401261 2 14 "GO:0005682" "U5 snRNP" 0.00636965051147926
1014 0.00115575965159315 2 41 "GO:0005684" "U2-type spliceosomal complex" 0.028190485414946
1104 0.0382861584163151 2 14 "GO:0005685" "U1 snRNP" 0.282153890482406
1141 0.0392156930467544 2 13 "GO:0005686" "U2 snRNP" 0.282153890482406
1180 0.185575787130803 2 5 "GO:0005689" "U12-type spliceosomal complex" 0.608818810411582
141 0.446749586576482 2 118 "GO:0005694" "chromosome" 0.800723699902257
232 0.74210423905119 2 8 "GO:0005697" "telomerase holoenzyme complex" 0.903081297413704
796 0.372018389399068 2 5 "GO:0005703" "polytene chromosome puff" 0.757911702748868
-89 0.920770510905296 2 5 "GO:0005726" "perichromatin fibrils" 0.985860214260742
437 0.000202571911041584 3 300 "GO:0005730" "nucleolus" 0.00636965051147926
-170 0.717818385188704 3 18 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.895518570090854
387 0.583344537790043 2 8 "GO:0005736" "RNA polymerase I complex" 0.880189968009792
