"","pval","direction","color"
"27/218 DNA integration",0.0378301032733319,1,"lightcoral"
"9/14 proteasomal ubiquitin-independent protein catabolic process",0.000165737406165902,0,"dodgerblue2"
"28/106 chromatin organization involved in regulation of transcription",0.00307057530410103,1,"firebrick1"
"44/176 chromatin remodeling",0.033750339115645,1,"lightcoral"
"28/93 chromatin assembly",0.00197779152258757,1,"firebrick1"
"28/115 chromatin assembly or disassembly",0.0291645375657358,1,"lightcoral"
"18/66 heterochromatin assembly by small RNA",0.00132782739430739,1,"firebrick1"
"5/8 N-terminal protein amino acid acetylation",0.0186999348977192,0,"skyblue2"
"5/12 N-terminal protein amino acid modification",0.038560735093727,0,"skyblue2"
"34/107 obsolete oxidation-reduction process",0.00505965571511105,0,"dodgerblue2"
"7/25 quinone metabolic process",0.0351824432360969,0,"skyblue2"
"53/211 generation of precursor metabolites and energy",0.0155768264837796,0,"skyblue2"
"18/53 electron transport chain",0.0478464758953042,0,"skyblue2"
"8/26 NADH dehydrogenase complex assembly",0.00396133549323509,0,"dodgerblue2"
"12/35 mitochondrial respiratory chain complex assembly",0.0091967794678512,0,"dodgerblue2"
"12/29 NADP metabolic process",0.00547792903934115,0,"dodgerblue2"
"4/7 NADPH oxidation",0.0371763595307106,0,"skyblue2"
"11/39 digestion",0.00325041555590125,0,"dodgerblue2"
"22/95 polysaccharide metabolic process",0.0462140260455735,0,"skyblue2"
"12/46 polysaccharide catabolic process",0.0401145025472009,0,"skyblue2"
"122/523 carbohydrate metabolic process",0.00657014797548664,0,"dodgerblue2"
"29/86 mitochondrial transport",0.0172279302596191,0,"skyblue2"
"20/49 mitochondrial transmembrane transport",0.0227199860304396,0,"skyblue2"
"30/129 amino acid transport",0.0105300288126563,0,"skyblue2"
"49/230 organic acid transport",0.000562248741516648,0,"dodgerblue2"
"12/54 neurotransmitter metabolic process",0.00393115939791797,0,"dodgerblue2"
"8/32 neurotransmitter biosynthetic process",0.0210462277902303,0,"skyblue2"
"37/144 organic hydroxy compound biosynthetic process",0.0109245486572909,0,"skyblue2"
"23/90 alcohol biosynthetic process",0.0279192473055183,0,"skyblue2"
"97/446 organic hydroxy compound metabolic process",0.0291641576671281,0,"skyblue2"
"22/58 cellular aldehyde metabolic process",0.0123057985517397,0,"skyblue2"
"6/14 aldehyde catabolic process",0.0315599306635984,0,"skyblue2"
"89/292 lipid catabolic process",0.0424375486543042,0,"skyblue2"
"56/181 cellular lipid catabolic process",0.00595485662805648,0,"dodgerblue2"
"23/92 lipid oxidation",8.93886281541177e-05,0,"dodgerblue2"
"42/186 lipid modification",0.0349208829207766,0,"skyblue2"
