"","pval","direction","color"
"20/47 protein hydroxylation",0.0368173258435897,0,"skyblue2"
"13/30 peptidyl-proline hydroxylation",0.0381185489603466,0,"skyblue2"
"4/7 oxalic acid secretion",0.0239834611780188,1,"lightcoral"
"21/69 peptide catabolic process",0.00805257717849728,0,"dodgerblue2"
"58/167 hormone metabolic process",0.0210942556434179,0,"skyblue2"
"15/37 hormone biosynthetic process",0.023218110821679,0,"skyblue2"
"5/11 keratan sulfate metabolic process",0.0211857041119496,0,"skyblue2"
"18/68 mucopolysaccharide metabolic process",0.026877048288638,0,"skyblue2"
"61/193 carbohydrate derivative catabolic process",0.0232643507799488,0,"skyblue2"
"249/801 carbohydrate derivative metabolic process",0.0156459509393567,0,"skyblue2"
"19/61 aminoglycan catabolic process",0.0178458362659175,0,"skyblue2"
"36/133 aminoglycan metabolic process",0.00143364218324724,0,"dodgerblue2"
"5/13 oligosaccharide catabolic process",0.0210528063697847,0,"skyblue2"
"20/54 cellular carbohydrate catabolic process",0.00237865730997473,0,"dodgerblue2"
"18/46 polysaccharide catabolic process",0.0191493421635667,0,"skyblue2"
"42/132 carbohydrate catabolic process",0.000174430763656045,0,"dodgerblue2"
"6/12 N-terminal protein amino acid modification",0.0416918682319177,1,"lightcoral"
"38/101 protein acetylation",0.0182763431020818,1,"lightcoral"
"44/130 protein acylation",0.018711692731449,1,"lightcoral"
"15/48 negative regulation of peptidyl-tyrosine phosphorylation",0.0479573517574043,0,"skyblue2"
"35/138 RNA modification",0.000444488219514173,1,"firebrick1"
"43/160 tRNA metabolic process",0.00122860846154549,1,"firebrick1"
"31/115 tRNA processing",0.00224987072669596,1,"firebrick1"
"5/13 regulation of rRNA processing",0.0403921942148596,1,"lightcoral"
"127/368 ncRNA processing",1.00000271140033e-15,1,"firebrick1"
"163/506 ncRNA metabolic process",1.15172667342088e-15,1,"firebrick1"
"18/41 maturation of SSU-rRNA",1.50596318625088e-05,1,"firebrick1"
"89/212 rRNA metabolic process",1.00000941465144e-15,1,"firebrick1"
"10/27 cleavage involved in rRNA processing",0.00660033503491172,1,"firebrick1"
"20/91 RNA phosphodiester bond hydrolysis",0.0018264823112187,1,"firebrick1"
"66/191 regulation of mRNA metabolic process",0.000682637185603045,1,"firebrick1"
"18/34 regulation of alternative mRNA splicing, via spliceosome",0.0119729536647285,1,"lightcoral"
"42/92 regulation of mRNA processing",0.0210528063697847,1,"lightcoral"
"475/1282 RNA metabolic process",1e-15,1,"firebrick1"
"169/341 mRNA processing",1.00000000000008e-15,1,"firebrick1"
"308/761 RNA processing",1e-15,1,"firebrick1"
"4/5 cis assembly of pre-catalytic spliceosome",0.0373009879059202,1,"lightcoral"
"91/164 RNA splicing, via transesterification reactions",1.00000003908183e-15,1,"firebrick1"
"137/264 RNA splicing",1.00000000006904e-15,1,"firebrick1"
"9/21 mRNA cis splicing, via spliceosome",0.00660033503491172,1,"firebrick1"
"33/89 RNA 3'-end processing",0.00033724393820119,1,"firebrick1"
"12/35 RNA polyadenylation",0.0112649222254475,1,"lightcoral"
"211/512 mRNA metabolic process",1.00000000000003e-15,1,"firebrick1"
"15/41 mRNA 3'-end processing",0.000503329478288348,1,"firebrick1"
"13/22 proteasome assembly",5.36184773953923e-05,1,"firebrick1"
"7/12 cytochrome complex assembly",0.0479486528384533,1,"lightcoral"
"15/35 mitochondrial respiratory chain complex assembly",0.041830245546336,1,"lightcoral"
"16/21 formation of cytoplasmic translation initiation complex",0.00104188955964174,1,"firebrick1"
"19/42 translational initiation",1.31629335249003e-05,1,"firebrick1"
"4/9 formation of translation preinitiation complex",0.0468136874161815,1,"lightcoral"
"6/7 mRNA 3'-splice site recognition",0.00490590590545137,1,"firebrick1"
"527/1326 protein-containing complex subunit organization",0.00308042411853918,1,"firebrick1"
"17/36 ribosomal large subunit assembly",0.0103493440601049,1,"lightcoral"
"98/190 ribonucleoprotein complex subunit organization",1.00022972433832e-15,1,"firebrick1"
"265/591 cellular protein-containing complex assembly",1.36981481064e-05,1,"firebrick1"
"9/16 spliceosomal tri-snRNP complex assembly",0.0182584330228894,1,"lightcoral"
"21/45 spliceosomal snRNP assembly",0.000122678935959703,1,"firebrick1"
"14/78 pigment metabolic process",0.0479486528384533,1,"lightcoral"
"22/48 nucleus organization",0.00711485870097575,1,"firebrick1"
"3/7 nuclear body organization",0.0366807000871794,1,"lightcoral"
"15/32 transcription-coupled nucleotide-excision repair",0.023849418704101,1,"lightcoral"
"6/8 ribosome assembly",0.0246060332558651,1,"lightcoral"
"269/874 organonitrogen compound biosynthetic process",0.0033473345999779,1,"firebrick1"
"53/215 peptide biosynthetic process",0.000358893117951017,1,"firebrick1"
"90/310 amide biosynthetic process",0.00431462665921129,1,"firebrick1"
"86/209 nucleic acid-templated transcription",0.00110370814601078,1,"firebrick1"
"294/850 macromolecule biosynthetic process",0.000414424352045102,1,"firebrick1"
"4/8 transcription by RNA polymerase I",0.0189661782618104,1,"lightcoral"
"118/298 RNA biosynthetic process",0.000763115522226997,1,"firebrick1"
"10/27 transcription by RNA polymerase III",0.00555525587737954,1,"firebrick1"
"351/1078 cellular nitrogen compound biosynthetic process",6.90391347860686e-05,1,"firebrick1"
"73/182 protein folding",0.00105195388084266,1,"firebrick1"
"13/21 'de novo' protein folding",0.00475702024836855,1,"firebrick1"
"95/285 external encapsulating structure organization",0.0014864370896681,0,"dodgerblue2"
"3/9 regulation of germ cell proliferation",0.0271987588774394,1,"lightcoral"
"9/19 regulation of histone ubiquitination",0.048853514167742,1,"lightcoral"
"4/18 B cell homeostasis",0.0162128715781272,1,"lightcoral"
"13/29 ovarian follicle development",0.0029510954501242,1,"firebrick1"
"143/431 posttranscriptional regulation of gene expression",4.08835902136993e-07,1,"firebrick1"
"467/1284 positive regulation of nucleobase-containing compound metabolic process",0.0014864370896681,1,"firebrick1"
"26/73 positive regulation of translation",0.0262306785713972,1,"lightcoral"
"387/1028 regulation of transcription by RNA polymerase II",0.0380280505537798,1,"lightcoral"
"16/36 cellular response to gamma radiation",0.0451140501741331,1,"lightcoral"
"74/211 regulation of protein stability",0.0423699129523458,1,"lightcoral"
"57/160 regulation of I-kappaB kinase/NF-kappaB signaling",0.0436797214289252,1,"lightcoral"
"3/9 protein linear polyubiquitination",0.0278055719779726,1,"lightcoral"
"269/792 response to nitrogen compound",0.0479486528384533,1,"lightcoral"
"38/88 ERAD pathway",4.26978141864268e-05,1,"firebrick1"
"9/17 protein exit from endoplasmic reticulum",0.0492925402642712,1,"lightcoral"
"74/191 response to endoplasmic reticulum stress",0.000638950531626077,1,"firebrick1"
"67/169 protein modification by small protein removal",0.00122827369751237,1,"firebrick1"
"316/923 protein modification by small protein conjugation or removal",0.00105195388084266,1,"firebrick1"
"466/1276 proteolysis",5.36184773953923e-05,1,"firebrick1"
"14/37 protein quality control for misfolded or incompletely synthesized proteins",0.000542864361542146,1,"firebrick1"
"184/503 protein catabolic process",4.52994577899776e-06,1,"firebrick1"
"286/781 proteolysis involved in cellular protein catabolic process",3.22201788390537e-11,1,"firebrick1"
"12/14 proteasomal ubiquitin-independent protein catabolic process",7.79776739215839e-07,1,"firebrick1"
"4/7 ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0.0494913146020287,1,"lightcoral"
"382/1106 macromolecule catabolic process",1.23795778849525e-06,1,"firebrick1"
"42/158 mRNA catabolic process",0.00263582562392093,1,"firebrick1"
"56/200 RNA catabolic process",0.0296488383409425,1,"lightcoral"
"6/12 negative regulation of nervous system process",0.0332318939243105,1,"lightcoral"
"5/5 regulation of extracellular exosome assembly",0.0111019147716053,1,"lightcoral"
"365/1039 positive regulation of protein metabolic process",0.0105414652986048,1,"lightcoral"
"88/257 positive regulation of proteolysis",0.0265916598018808,1,"lightcoral"
"38/123 positive regulation of cellular protein catabolic process",0.0163590483096529,1,"lightcoral"
"33/105 positive regulation of proteolysis involved in cellular protein catabolic process",0.0269028945729701,1,"lightcoral"
"66/185 positive regulation of protein catabolic process",0.00263518531035303,1,"firebrick1"
"238/706 regulation of catabolic process",0.00313531203776397,1,"firebrick1"
"132/402 positive regulation of catabolic process",0.00555525587737954,1,"firebrick1"
"52/159 regulation of ubiquitin-dependent protein catabolic process",0.00426628051331347,1,"firebrick1"
"149/409 regulation of proteolysis",0.00509583903331693,1,"firebrick1"
"32/97 regulation of proteasomal ubiquitin-dependent protein catabolic process",0.0182763431020818,1,"lightcoral"
"113/305 regulation of protein catabolic process",0.00660033503491172,1,"firebrick1"
"63/195 regulation of cellular protein catabolic process",0.0162128715781272,1,"lightcoral"
"6/15 lipid droplet organization",0.0191331609016782,1,"lightcoral"
"5/9 regulation of Cdc42 protein signal transduction",0.0114428464930168,1,"lightcoral"
