"","pval","direction","color"
"29/122 iron-sulfur cluster binding",0.00164497617757666,0,"dodgerblue2"
"15/79 4 iron, 4 sulfur cluster binding",0.00882549461244822,0,"dodgerblue2"
"4/5 oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",0.0343445421429273,0,"skyblue2"
"23/92 2-oxoglutarate-dependent dioxygenase activity",0.015398389295139,1,"lightcoral"
"30/188 dioxygenase activity",0.032257420386987,1,"lightcoral"
"12/91 oxidoreductase activity, acting on the CH-CH group of donors",0.0192867175581463,0,"skyblue2"
"6/31 oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",0.0235239667610042,0,"skyblue2"
"19/64 NADP binding",0.00430263169450494,0,"dodgerblue2"
"256/1315 oxidoreductase activity",0.0212289593928451,0,"skyblue2"
"41/242 oxidoreductase activity, acting on CH-OH group of donors",8.32455467392974e-05,0,"dodgerblue2"
"13/23 intramolecular oxidoreductase activity, transposing S-S bonds",0.000265014097633631,1,"firebrick1"
"20/54 intramolecular oxidoreductase activity",0.0426842845351772,1,"lightcoral"
"11/21 glutathione transferase activity",0.000168188941564753,0,"dodgerblue2"
"22/63 transferase activity, transferring alkyl or aryl (other than methyl) groups",0.00205564540940981,0,"dodgerblue2"
"35/241 calcium ion transmembrane transporter activity",0.0277941670296922,1,"lightcoral"
"37/196 symporter activity",0.0252254243916108,0,"skyblue2"
"6/14 threonine-type endopeptidase activity",0.0100868838565667,0,"skyblue2"
"11/38 threonine-type peptidase activity",0.0238526157803756,0,"skyblue2"
"41/146 structural constituent of ribosome",3.04861008374684e-05,0,"dodgerblue2"
"22/74 rRNA binding",0.0499223205129551,0,"skyblue2"
"64/306 transferase activity, transferring one-carbon groups",0.0114592014663496,0,"skyblue2"
"149/614 DNA-binding transcription factor activity",0.0381517210202906,1,"lightcoral"
"199/822 transcription regulator activity",0.00689016023241883,1,"firebrick1"
"15/44 NAD+ binding",0.0191455360693625,1,"lightcoral"
"16/55 NAD+ ADP-ribosyltransferase activity",0.00198772127136868,1,"firebrick1"
"68/380 transferase activity, transferring glycosyl groups",0.0238526157803756,1,"lightcoral"
"7/13 myosin heavy chain binding",0.0238526157803756,0,"skyblue2"
"72/362 tubulin binding",0.0277941670296922,1,"lightcoral"
"196/909 cytoskeletal protein binding",0.0495164018063201,1,"lightcoral"
"5/34 guanylate cyclase activity",0.0402674589587373,1,"lightcoral"
"141/675 ubiquitin-like protein transferase activity",2.79241828281488e-10,1,"firebrick1"
"55/295 ubiquitin-like protein ligase activity",0.00820746520671686,1,"firebrick1"
"17/86 polyubiquitin modification-dependent protein binding",0.0499223205129551,1,"lightcoral"
"38/180 modification-dependent protein binding",0.0242382031114547,1,"lightcoral"
"111/517 protein domain specific binding",0.0114592014663496,1,"lightcoral"
"12/39 signaling adaptor activity",0.0482847086919194,1,"lightcoral"
"308/1444 identical protein binding",0.0294412636742891,1,"lightcoral"
"56/218 phosphatase binding",0.0252254243916108,1,"lightcoral"
"53/286 ubiquitin-like protein ligase binding",0.00185065337469635,1,"firebrick1"
"292/1456 enzyme binding",8.46808014933904e-09,1,"firebrick1"
"111/610 kinase binding",0.000731384460226553,1,"firebrick1"
