sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
CA4,134738,0.014362388603450715,-0.023969192303119703,-0.003637755874025743,0.008934788725991419,-0.004600918390875582,0.017877745572776344,-0.00044473674602569255,-0.003951174472748438,0.009487382511651578,0.002752611764532242,0.008748102286894708,-0.0012622746584985709,0.003146233124822786,-7.866582912695612e-05,-0.0026935321967478955,-0.002930574853459555,-0.00034890902272585766,0.0020548841885614866,-0.00013725432602302402,-0.00019170661915601477,2.2721217645557807e-05,0.00022473382520267707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4,134739,0.01417530649041505,0.00016198073913332536,0.003142860144161208,-0.0018586727220955613,-0.009824184468619959,-0.0020097992664530615,-0.0020760486378333617,0.0017636472162752197,0.0029707309328349347,0.0013404623835635615,0.0033544797679012973,0.004641228469791308,-0.0054689946989737535,-0.004612973635341814,0.0031879029478598326,-0.0019154481068961882,-0.0011721913186614615,0.0004335808537125264,0.0001527986862275992,0.0002976935944394202,0.0001328660233502865,0.00012201856090524552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE11,134740,0.014434407350922456,-4.9891438397117335e-05,0.007034288116845074,0.013034559740322044,-0.016804083611053726,-0.013408133667508187,0.012291034657386974,-0.006159984271729321,0.004482345303664892,-0.006957777261505283,0.005393657447240053,0.0015675919386537475,-0.0038238262293014765,0.0015673910922479257,0.0002334468880740813,6.631850345767668e-06,-0.0010527750583912206,0.0012646965521227048,-6.309792934058898e-05,-0.0002060000466922733,0.00024297616533473505,0.00011000562169812916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF7,134741,0.01538895769302764,-0.001030833605616393,0.004104823253545215,-0.00017296311731053216,-0.005563128926899639,-0.0043174834277219685,0.003875730151518066,-0.0017334709534980591,0.0014947837619553623,-0.0076644361566660015,-0.006835254319539569,-0.002747072867854946,-0.0028883637415692115,0.004285803069073984,0.003810451208058332,-0.00012605763199513575,0.002371624890901616,0.0018636547604752793,-0.0014238886907189242,-5.1507165550750754e-05,-0.0006083281309534249,0.00024545406764660055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH1,134742,0.018413896537140192,0.010418864159159213,0.015134865142046712,-0.0006486906561124798,-0.008132133094926584,-0.002655936532287832,-0.0008395383081445226,0.0037195988564661655,0.001953282770244722,0.005069184861311519,-0.0018957428928832191,-0.0010702895678952043,0.002905887646736933,-0.004411976105351605,0.002048424237712821,-0.0009305262735695037,0.0013428441909861975,-0.0022155948048939197,-0.001722655842038107,-0.00029614275295287583,0.0006408620668543145,-8.925454032489333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI1,134743,0.01760400706004781,0.0002525156417649151,0.008669048259760474,-0.0011067161769481003,-0.00306769006845981,-0.007017651049511298,0.0028247374877383184,0.0018904689047086146,-0.0006891576063891789,5.571645827691016e-05,0.002500011023001783,-0.0009104747835297855,-0.0030494526306498538,-0.0018625390503201067,-0.001416084532826114,0.001112796520821396,-0.0018342581437092974,-0.002811006877142089,-0.001047847192453095,-0.0020166608463891953,-0.0007036378277565147,0.0003140462281437372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ13,134744,0.014601261473272972,-0.003657798505980955,0.0020137153052787017,0.003351019554188568,-0.004683767662985414,0.0009250162936433469,-0.0009781797563519167,-0.002496287017718359,0.0014536733326313408,-0.0027070569956672494,-0.0021896737166493935,0.0007539493911264864,0.00021307018771933502,0.00016406699697833898,0.00023169605056981403,0.0014248937798933383,0.0018842201533777578,-0.002403463070808906,-0.00034168496252910544,0.0023001858742060293,0.0004343648188350868,0.0006442767569501836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL6,134745,0.012326591360813781,-0.012187726501817615,-0.005423413759702047,4.5137988931850816e-05,-0.004454238978174088,0.0025726604133886055,0.004251269774407706,-0.008153173926578149,-0.004261014978148822,-0.001473066528749503,0.006338353394286323,0.00045043832599237556,0.004919205013931452,0.001286157583620323,0.0016711951956689657,0.002335174151430478,0.0020320118126456637,-0.0003263304604406852,-0.0015272232600084497,0.00011025763412330444,-0.00023875568714312972,-0.0005322920435437535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM1,134746,0.014962111411227675,-0.007121649131476403,0.000493807349077336,-0.0040998856803093,-0.0036512846837750868,-0.000577908973595045,0.005241208959591924,-0.001325968002039192,-0.0007694470972656222,-0.006506556844529096,-0.0026268752202117654,0.00021009240317699048,0.002912473077268575,-0.0038584423110396195,0.0003906626033964353,0.001225184096616493,-0.0005229757264310658,0.0005391632059175498,0.0027748079636513443,0.0008083443560566595,-9.032933103611103e-05,0.0001791678157304918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN4,134747,0.018182260538323884,-0.027581112780941955,0.0035394063718249395,-0.018539958990483912,0.002949361803216136,0.009299432231175731,-0.016614098053908122,0.0066598336905319055,0.010194254030955023,-0.008946693340513012,-0.0008447125968202762,0.006142007777710782,0.004963177800538663,0.00018905206266158351,0.0003279468070890073,-0.00019503376695695403,-0.00029365926728579494,-0.0008262094555473326,-0.00025495975154879143,-0.00021446619724035858,-5.887567229685745e-05,-5.1059388693335914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
