sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
CA4,134738,-0.02148293907730157,-0.04017638563387015,-0.028651635437573864,0.025937555358924433,0.043317100743333274,-0.00905825436620454,0.004741678915552086,-0.02912033215354756,-0.0037805890999477857,0.013689577112100624,-0.002986948757163234,-0.008172572009144468,0.0035444455876904413,-0.00026919933738124986,0.0017425371362332102,0.0009479086551234717,-0.00220323168618817,-0.0013124939317637465,0.0004929904322987418,-0.00016207364717360948,-7.028428730360618e-05,-0.0001579470129122672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4,134739,-0.04155231859505347,-0.000989409402375779,-0.002813640895998793,0.0046778965491035135,0.012612975547897526,0.011457295209293934,-0.0014575208612750083,0.006408253738858942,-0.008695675032246046,0.00011888955939752507,-0.003757879554687651,0.0029639715648114785,-0.0067308217092952715,0.009380135246340567,0.0015753908672721513,-0.0005167167073968016,-0.0037240252393139954,-0.0026357294421770986,0.0022026565154503533,-0.001146486470452943,-0.0011531537138941058,-0.00088406960345114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE11,134740,-0.03404328407895736,0.0067470599004925864,0.009926251138840316,0.010568337568973263,0.00026762491505742626,0.05833787901071407,0.04197300317626881,-0.010830105382146519,-0.002383966327194598,0.0001760052078252946,0.0053527707532566296,-0.005257623897381236,-0.004320527516716985,0.00025761172110042697,0.0015844485587560952,0.0008495177663823943,0.001345359328912555,-0.0002794515491314856,0.000981081946139769,0.0006858263743815021,0.0008586423331915234,0.00014894522219624764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF7,134741,-0.04701833511671814,-0.0033397815033602567,0.00265389040494551,-0.00017127504886700723,-0.0014120777025855738,0.006821477844483628,0.010280125809293772,0.004341764476526265,0.00263854307977788,-0.0024767551889775916,0.012611913312317832,0.0021583095023664104,0.0021725290609603,-0.010132376645022383,-0.003025921987020755,0.0044043683270155835,-0.0017352025474761843,-0.00027019842025160996,0.003027160712266164,-0.0037596309892608394,-0.00279214494335309,-0.0007810092651635413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH1,134742,-0.05552922969747619,0.0017291345431337032,0.0005588602997013603,0.009269040283306546,0.005141199633607376,0.00356985802957336,0.001539511637719232,0.004906136010823216,-0.0027018366206058415,0.007673735411600402,-0.0016148064956992662,0.008191245617309923,0.0022172952474147846,0.0019467607709680323,-0.00169813800483473,0.0026594675809254696,0.00071944758332114,-0.0037420800208343057,-0.005843090351082578,0.000469500311113774,-0.000652159347460525,-0.0005136717290899557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI1,134743,-0.04990261080116315,-0.005891083770112732,-0.003235220585414942,0.006255524432713907,-0.0023096824695536798,0.007447669339718132,0.007675437077483877,0.006686730220874617,-0.0007791745123111022,0.00229846798358129,-0.003164813068870997,0.001692210698833553,0.003467650741152103,0.002374546347262689,0.0014320125752802942,-0.0036862446672540463,0.0009796827732124532,-0.00012513309344154067,-0.0005204707912773855,-0.005636600673191671,0.0030019081219087597,0.000671437630747391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ13,134744,-0.0432116253086193,-0.00482209703981819,-0.000644234846250863,0.009216252297764483,0.002576719579736434,0.0025105232048095918,0.001196769524057651,-0.003787214532320092,-0.00021531367133198134,1.7826958546062367e-05,0.00645553604914141,0.0004797087768574421,-0.0010992857123434607,-0.001481955732930715,0.0016661883691191123,3.7324396135022034e-06,-0.002030405251395833,-0.005551275430458553,-0.0006220728493172749,0.000447569632230693,0.001049399086919164,0.002146702297530036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL6,134745,-0.03488206195654074,-0.010249639618133572,-0.0039506255836650244,-0.0024222131968844214,0.002478822453344582,0.010193231707112893,0.009815339764997056,-0.015279082850086395,0.0053662102737265785,-0.006272569510415537,-0.0046432468549070715,0.0018967294908828524,-0.0015981306149169176,-0.0034048990894119616,-0.001036387864340033,0.002386305128331741,-0.0026966819637018777,0.002465397545387651,-0.0011828176818366536,0.0021406878333997143,0.0011342996109178188,0.00042013640709065865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM1,134746,-0.04278429884231376,-0.010612518363087957,-0.0038778823598011347,0.0004096758044272674,0.0009265508009436484,0.0007406145750688077,0.010516601136108474,0.001804792093802766,0.0044335311584033695,-0.005591204068792843,0.009701558967516061,0.006124098289780616,0.00019719964832750795,0.005538707825554512,-0.00023922214316758196,-0.0012611555883513023,0.0001180101091918312,-0.00039927863247562947,0.0033666074203830944,0.0023100874820692523,-0.0006181294356608621,0.00019385199089746842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN4,134747,-0.013768810949784275,-0.07583675838665438,-0.06187639209767151,0.005623309522793287,0.051392954324775024,0.0039839160907817976,-0.02296475146091914,0.010967104399353318,-0.003116850604265321,-0.0005912710019567961,0.0034333113441179283,0.010885694703883043,-0.009288550571177482,-0.0041659786682953365,-0.0008151186427981582,0.0007034526993344461,0.0011064213899971062,0.0017642445444024722,-0.0008992331645494202,0.0006481161441440672,0.00022665958308042483,6.232621577179006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
