sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
CA4,134738,-0.044225097119611624,0.03963203879836771,-0.036068150395396195,-0.04508274110370879,-0.01199577216558972,-0.004219328750063953,0.014730812919642393,-0.014387276044368551,-0.003970431895852466,0.008221349732216509,-0.005023178370092332,0.007390291020014663,-0.0007010287513306381,-0.00021632156373383522,0.003100115617072979,-0.000690278694755187,0.000580626773545817,-0.00015839962808615206,0.0005713183673314694,0.00014012062935938116,-6.051550021232644e-05,-9.439800348696141e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4,134739,-0.04070024820039841,0.002859892480647723,-0.010364809320345534,-0.0230044408863744,0.00039081585123469035,0.010956057470562115,-0.005572047203596946,-0.0040944102894301705,-0.007502900863811125,-0.009549144909629272,0.0013864134784768029,-0.00379459034716857,-0.0024437641182470013,0.0015952647950862836,0.0018379618098396768,0.0057140115664745155,0.0003258021373495262,-0.00034361132397766036,0.0011433089497297926,0.0014489469129386288,-0.00034058519629052097,8.33506001186938e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE11,134740,-0.008188123486600779,-0.027066420107742108,-0.0030746212154487214,-0.0713742116929329,0.051758320498965796,-0.013667422009118062,-0.008543544306235634,0.008903363459474838,0.0058535039825563075,0.0019828548605978374,0.0035996531800843506,0.0018132609751196076,-0.003660012054690974,-0.0011148379627184532,-0.0012719698811989265,-0.0008987978418366252,-0.0003100718601723477,0.0005476354477064647,-0.0003086839996279683,-5.614761987151282e-05,5.954141016389794e-05,1.0212105548267486e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF7,134741,-0.05264343612961699,0.001512095012139727,-0.011739437653380829,-0.0027622053166630337,-0.004272970977275157,-0.0052783501764770225,-0.002853957118319949,0.0036713674881870685,0.01102646312621824,0.0008424066684470735,0.0005011036143729592,0.0007918371637884831,-0.003973486360974741,-0.004950890075924706,-0.0006620153734748469,-0.0003851618177985747,0.00018265062321186945,-0.007374598441114452,0.0003042985615388854,-0.0007048381968023582,0.0002492265053382717,0.00024569683486535854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH1,134742,-0.05313269585217147,0.008415362253947364,-0.014331326351901343,-0.014618647840063169,-0.0007587141711531568,0.004524153945387728,-0.0050932286495126424,-0.004847634494043883,0.007275979394912279,-0.007599840585378448,0.0016580831197481342,-0.000643833599270391,-0.0010676240984743308,-0.0022293104175406305,-0.0016469919004314978,0.0016281878530720645,-0.000858809887440927,0.0015074170568066716,0.0017176276753604327,0.0005157553334923585,0.0014658375234216743,-0.00037675814057466913,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI1,134743,-0.050549798555069025,0.009647585566300713,-0.013754328898174897,-0.006827889575139536,0.0025488902535810458,0.0014598400359795195,-0.0067163402085334434,-0.0014502187173792921,0.004126071221002057,-0.007260243479600318,-0.0007408781866747648,0.000757848905871657,-0.0009402707991303952,0.0006340369567104076,0.0018440644553932809,-0.003011562327119894,-0.004118789036270379,0.0014833506521541914,-0.0021881148445444297,-0.0015265093991923763,-0.0016001563652148429,2.8534708718267593e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ13,134744,-0.04972667404531763,0.0062200282471565295,-0.01655994280162165,-0.010091071339564382,-0.00159837852431751,0.0005513205946350025,0.00587058822938393,0.0006161485155473388,0.007840534821415541,-0.0002187114585193154,0.0013619199767835135,0.00286503158619377,-0.0006994550729146634,-0.002051401331159266,-0.0033081334701929154,0.0016790385562289267,-0.0010303780924183427,0.0010963733996750284,0.0023560030716857335,0.001920448412001389,-0.0016131640471457962,-7.390950791361527e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL6,134745,-0.03951167184602756,0.0020926161571223896,-0.008001000629884169,-0.009893923708512773,0.0026896449931069523,-0.003212609636365255,0.014413381743935652,-0.002407166560910134,-0.0009680942506393891,-0.01033335585514305,0.0007365169348700637,0.005776839283568029,-0.00011638068507593578,-0.004158202119434231,0.0063414284226645055,-0.0036615511878328733,0.003571794735347275,0.00015480360796228323,-0.001093951699762295,-0.0006414613110468726,8.193344214849635e-05,0.00020025446171316263,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM1,134746,-0.04932551022083123,0.009687968451885597,-0.012743081349790828,-0.0015524090273182447,-0.00694696955709246,-0.006328196293717876,0.004166022742572118,0.0037793758516174807,0.0106646626070945,-0.007134353766057854,0.0027853334032237782,-0.006027316264119947,-0.00402580082953687,0.00209336131809784,0.000124237227570252,0.001703727062149949,0.001718434153993954,-0.0005688699556798123,0.0003308363829949418,-0.001699362426432456,-0.0004526656351801037,-0.00027881026000944556,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,134749,-0.03530311709472795,0.042786722782731434,0.08376619380674077,0.14443302370181893,0.008508187223399041,-0.015059270847310804,0.014465662365476941,-0.00800548398106068,0.01119449382540194,-0.0021642518066787462,0.0007777777872857686,0.0011726333918493559,0.0004283641449144727,-0.002097646769404628,0.0003884331270182675,0.0006922902510258522,0.00012421145529838777,0.0004717315073047017,0.0002518956875787512,-0.00014136825118477633,-2.0386434259916374e-05,4.781295602565589e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR7,134750,-0.05097205612437142,-0.0011346450437726505,-0.011385268099271473,-0.008722200565765212,0.003170353998526161,-0.003751431070688168,-0.005632041008373389,-0.003372816672998138,0.004668234178414467,-0.0025593656413081737,-0.0072495708641757105,0.0017157531005649173,0.0009379809567000501,0.003562340307434927,-2.667326535598793e-05,-0.002342937897433769,0.0017039234221018459,0.0002974869822532645,0.004744594715802614,-0.0011626554840669218,-0.00027712485206396286,0.0002843272966734935,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA5,134752,-0.04147301491746445,0.029174467736364763,0.0493273551551443,0.02991082751838429,5.5990994947703846e-05,0.07196300412217979,-0.012082155541104608,-0.014580176068534456,0.007653114718747503,0.00820180030548806,-0.002252651331732688,0.0007699489513600477,-0.002534166946830643,0.002501348009220006,0.0014679710392967284,-0.000397637794815835,0.00021297486412721195,-0.0006341098169244188,-0.0002081854657849036,9.157961914342973e-05,8.926679670414683e-06,-3.9699225484775234e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FD5,134753,-0.06369060648886173,0.005461466828785715,-0.013893798395395209,0.028373917977850795,0.01118508491331654,0.009672501198283232,0.018856699771936908,0.025037942042794782,-0.00721790063264399,-0.006892530460223312,-0.0024631698300805333,0.0013278309108730665,-0.006354285472610681,0.004019300848788712,-0.002171509957598358,-0.002813456681374548,0.00043022876521759914,-0.00016383789213549223,-0.00025977695486634975,0.0005197014381879023,-7.332164539824914e-05,-1.3229002182293005e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE10,134754,-0.055080010811434786,-0.02173581392009922,-0.0055032116753419725,0.013022576381909665,-0.024538508684211938,-0.013235968893669505,0.015208393204297005,-0.0050061566811485814,0.002111559437735823,0.011593948282253894,0.016529056119567793,-0.002924992415317583,0.00033843389319714896,0.0015914467803697244,0.00023791244314735164,0.0014836122366515456,-0.0018024261190668002,-0.00021248163375087127,0.0005302863685562862,0.0006335852411999184,-3.393595375398375e-05,0.00015155493787952112,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF8,134755,-0.04777334330972118,-0.011743612839848205,-0.02246568082835808,-0.015985100139872067,0.01197691385200863,-0.009491403297415745,0.013524287309393224,-0.010798616571645575,-0.004008220140686501,0.005611534852211943,-0.00941908511111929,0.0036121573573933896,-0.0017647367265010252,-0.00023330081681635618,0.00011263660298918999,0.008080059754890987,-0.0002430029847758187,-0.0010064170732702127,-0.00013546663983624038,9.73634019035166e-05,-0.00010054003676094159,2.2306595680213705e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH11,134756,-0.017420548640604487,0.009475803133460114,0.022108335433320206,0.006877539054401743,-0.08919546289311632,-0.03221786695215488,-0.014727657305281267,0.001855350831012357,-0.0037738415651102815,-0.0022204240239764145,-0.006781908438387983,-0.0011501512299225305,-0.00010228112445864686,0.0012286451786301085,-0.0005926762269502766,-0.000757371310986098,-5.139078654426327e-05,0.00014591006563650553,-0.0001815201468753679,0.00015584816583602746,-6.221875124490687e-05,-4.1964297149241526e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI2,134757,-0.05258608247365439,0.009152442285217022,-0.019253709211994405,-0.012538782454077257,-0.0006749948848681361,0.0017464841331517212,-0.0033312824061489978,-0.00816110554403083,0.006007228226276138,-0.002363272444412758,-0.00016281047203776862,-0.0040774108926849165,-0.0017528744183913892,0.0016073573732440134,-0.0004370399735013016,-0.003156952643712243,-0.004384563091744854,0.0014304680062118328,0.0010888312700794347,0.0014384356659175083,0.00036884761319478206,0.00029446535820653675,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJ14,134758,-0.05687545219336919,-0.002237962838751895,-0.00945097008780989,-0.0002588251511033901,-0.002531364731410129,-0.0027543571579739445,-0.007065664360110148,-0.0006170320007912822,0.0019490804653560742,-0.0005820238491854577,0.0027065651520067026,0.003629160822221655,-0.0028465090345195045,0.008396027068359893,0.0008935996763838625,0.0012448607028951732,0.0008062409550682035,-0.0013141949083194532,-0.0035113904883190966,0.0009242208878054369,-0.0001512181182844694,-0.0001201040262865313,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
