sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
134749	CP1	CP1_R1_NoIll_No4N_ITS.fastq.gz	bfab6c467fc91fbfe63a3e3409114db43f08af51a61e8f3e62749f473921fa18	CP1_R2_NoIll_No4N_ITS.fastq.gz	f78f781cfbb6a237111539260cdf697c022cdf0473f517625aa05f19a83b1e4f	3.1440539911566208	1.0249010937863625	0.04398417500581801	1.0249010937863625	0.04398417500581801	0.0	0.0	0.0	0.0	1.0	0.0027926460321154294	0	0.11473120781940888	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134756	FH11	FH11_R1_NoIll_No4N_ITS.fastq.gz	72d293af48934c56ad60ee57cc330f35e6c896d2fb2d869644d3f616a84be308	FH11_R2_NoIll_No4N_ITS.fastq.gz	ce3a4a1cd12312208a80bd1eb4d2c9de0234068d74c0b17afbac6ec405674e50	5.296975252062328	1.0268866483348609	0.059272838374579896	1.0268866483348609	0.059272838374579896	0.0	0.0	0.0	0.0	1.0	0.003971891231286282	0	0.12282309807516041	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134762	FO2	FO2_R1_NoIll_No4N_ITS.fastq.gz	3cf8b8a33429f51bda874f34e2ca6d761b0e868db1d71f23f957a4b9476ce882	FO2_R2_NoIll_No4N_ITS.fastq.gz	2affe31811bd30754871bab91ffc559623586560cefc0d1fe273786997d8c2f8	1.5563654033041787	1.0197602850664076	0.03871072238419177	1.0197602850664076	0.03871072238419177	0.0	0.0	0.0	0.0	1.0	0.0022675736961451248	0	0.1360544217687075	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134752	FA5	FA5_R1_NoIll_No4N_ITS.fastq.gz	b33a7038e57b10065aed06dae772460fd9d43a24ef8cc9645a4e20cb5feea5f3	FA5_R2_NoIll_No4N_ITS.fastq.gz	4ce3d16f4d1c14f6bbf0f313aaacc970c3b1cabbdaca7f9b68b8a9b1a25869ff	1.7527926882344407	1.014797620774699	0.03568837951545046	1.014797620774699	0.03568837951545046	0.0	0.0	0.0	0.0	1.0	0.0020310459886841723	0	0.1458000870448281	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134765	HA6	HA6_R1_NoIll_No4N_ITS.fastq.gz	ce0802929f3db3ed0ded66b8e7052925e418cc192f6d8da9ffe351aaaabf3847	HA6_R2_NoIll_No4N_ITS.fastq.gz	455217f88ee6e284812125902244d48a0a82060e6b1509b630e0f754bb6009ce	1.4004748713889987	1.0197863078749505	0.034922833399287694	1.0197863078749505	0.034922833399287694	0.0	0.0	0.0	0.0	1.0	0.0013850415512465374	0	0.15245350217649387	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134763	FP2	FP2_R1_NoIll_No4N_ITS.fastq.gz	cbedef762e102ed70cc27335ea540874958de87034164d93a8b0ebffee61adb0	FP2_R2_NoIll_No4N_ITS.fastq.gz	d7a197e4f0062a34e4c1bfff2a91d94a96c8a54d5fc979c261d252164416f341	6.499013806706114	1.0	0.027613412228796843	1.0	0.027613412228796843	0.0	0.0	0.0	0.0	1.0	0.007889546351084813	0	0.15285996055226825	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134738	CA4	CA4_R1_NoIll_No4N_ITS.fastq.gz	4dc89be5a3ea9c65c211c200b0be923181e1bf876f16a0df388d2018176af78f	CA4_R2_NoIll_No4N_ITS.fastq.gz	d118b90dc3e1600b23a4b52bb681da762e949a39c16bd67018536365946f59f3	1.3250751898863231	1.0189121680175357	0.02497833511750013	1.0189121680175357	0.02497833511750013	0.0	0.0	0.0	0.0	1.0	0.0006626905235255136	0	0.15343834429321507	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134745	CL6	CL6_R1_NoIll_No4N_ITS.fastq.gz	312d917717fcce43060992042ac359554463108384eddf2f2424d2495c13003e	CL6_R2_NoIll_No4N_ITS.fastq.gz	43884f3d5cc0e5f9888fe8352fc86a8752501773d1676f7ee0822da60d7864b1	1.379104779226028	1.020814388198444	0.035162170354652925	1.020814388198444	0.035162170354652925	0.0	0.0	0.0	0.0	1.0	0.0014145700717389108	0	0.15348085278367185	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134760	FM2	FM2_R1_NoIll_No4N_ITS.fastq.gz	36dc7d972d35a1e9c87d7515479f568454dcfbe9bc940bb6f432a3c2ce68f17d	FM2_R2_NoIll_No4N_ITS.fastq.gz	8a6b2b97999f2da40dca02888c36df515c2e3413f1914ffc43fd422f60c0e32c	1.3950876684538474	1.019924648601652	0.031662077959715984	1.019924648601652	0.031662077959715984	0.0	0.0	0.0	0.0	1.0	0.0010143457469931894	0	0.1541805535429648	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134776	HP3	HP3_R1_NoIll_No4N_ITS.fastq.gz	5f5ca94a5b9ba3990567c1e3551963eb4815e7f62a715b28f6e3e7ce969bf2f2	HP3_R2_NoIll_No4N_ITS.fastq.gz	86f9b8bc3e578db7228303f644b54b58476cc6cbc06ff1547718500be9be840a	1.3447352310988674	1.0217324762779307	0.02953780226507499	1.0217324762779307	0.02953780226507499	0.0	0.0	0.0	0.0	1.0	0.001147842056932966	0	0.15480563207835935	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
