SampleID,treatment,nubbin,symstate,geno,frag
CA4,C,A4,white,A,4
CD4,C,D4,brown,D,4
CE11,C,E11,white,E,11
CF7,C,F7,brown,F,7
CH1,C,H1,white,H,1
CI1,C,I1,brown,I,1
CJ13,C,J13,brown,J,13
CL6,C,L6,brown,L,6
CM1,C,M1,brown,M,1
CN4,C,N4,white,N,4
CO1,C,O1,white,O,1
CP1,C,P1,white,P,1
CR7,C,R7,brown,R,7
DW,D,NA,white,NA,NA
FA5,F,A5,white,A,5
FD5,F,D5,brown,D,5
FE10,F,E10,white,E,10
FF8,F,F8,brown,F,8
FH11,F,H11,white,H,11
FI2,F,I2,brown,I,2
FJ14,F,J14,brown,J,14
FL7,F,L7,brown,L,7
FM2,F,M2,brown,M,2
FN5,F,N5,white,N,5
FO2,F,O2,white,O,2
FP2,F,P2,white,P,2
FR8,F,R8,brown,R,8
HA6,H,A6,white,A,6
HD6,H,D6,brown,D,6
HE3,H,E3,white,E,3
