name	term	lev	seq	value
"nucleoplasm"	GO:0005654	2	Sym_133740_c1_g1	18.4164830651176
"nucleoplasm"	GO:0005654	2	Sym_107783_c2_g1	15.4313547105843
"nucleoplasm"	GO:0005654	2	Sym_244501_c0_g1	12.3551081647667
"nucleoplasm"	GO:0005654	2	Sym_179741_c0_g1	11.4281575609367
"nucleoplasm"	GO:0005654	2	Sym_92614_c0_g2	-5.73731278997381
"nucleoplasm"	GO:0005654	2	Sym_139545_c4_g1	12.8683585726544
"nucleoplasm"	GO:0005654	2	Sym_104762_c1_g5	5.4123727217047
"nucleoplasm"	GO:0005654	2	Sym_144233_c1_g1	13.633085405529
"nucleoplasm"	GO:0005654	2	Sym_83072_c0_g2	-0.389108310770388
"Golgi apparatus"	GO:0005794	2	Sym_102324_c0_g5	-7.1242932995422
"Golgi apparatus"	GO:0005794	2	Sym_131859_c1_g2	7.9919779886889
"Golgi apparatus"	GO:0005794	2	Sym_102764_c1_g1	-0.0428901345253357
"Golgi apparatus"	GO:0005794	2	Sym_136847_c3_g1	-19.6634207532735
"Golgi apparatus"	GO:0005794	2	Sym_125225_c1_g2	1.54171764055747
"Golgi apparatus"	GO:0005794	2	Sym_103005_c0_g1	-1.40693344838179
"Golgi apparatus"	GO:0005794	2	Sym_237540_c0_g1	6.46071531374832
"Golgi apparatus"	GO:0005794	2	Sym_101971_c0_g1	0.579911609850416
"Golgi apparatus"	GO:0005794	2	Sym_114907_c3_g1	-2.76289904456778
"Golgi apparatus"	GO:0005794	2	Sym_92829_c0_g1	-1.17648769658608
"Golgi apparatus"	GO:0005794	2	Sym_157759_c0_g1	-0.98856652323431
"Golgi apparatus"	GO:0005794	2	Sym_107499_c4_g1	-2.10255866094394
"Golgi apparatus"	GO:0005794	2	Sym_125225_c1_g1	5.63001896041506
"Golgi apparatus"	GO:0005794	2	Sym_114907_c2_g1	-1.89326198975053
"Golgi apparatus"	GO:0005794	2	Sym_125225_c1_g3	-3.73497716080894
"Golgi apparatus"	GO:0005794	2	Sym_114907_c1_g1	-3.16090162487435
"Golgi apparatus"	GO:0005794	2	Sym_110125_c3_g1	-2.55406795084629
"Golgi apparatus"	GO:0005794	2	Sym_115171_c4_g3	6.21504960593641
"Golgi apparatus"	GO:0005794	2	Sym_114907_c3_g2	-3.55294363365509
"Golgi apparatus"	GO:0005794	2	Sym_120986_c2_g1	6.12506367564368
"cell junction"	GO:0030054	2	Sym_140163_c0_g1	-12.9697659502789
"cell junction"	GO:0030054	2	Sym_131859_c1_g2	7.9919779886889
"cell junction"	GO:0030054	2	Sym_125225_c1_g2	1.54171764055747
"cell junction"	GO:0030054	2	Sym_237540_c0_g1	6.46071531374832
"cell junction"	GO:0030054	2	Sym_94907_c0_g2	-7.61574133376355
"cell junction"	GO:0030054	2	Sym_117309_c3_g2	-0.801835664113979
"cell junction"	GO:0030054	2	Sym_102695_c0_g1	-3.7789993700009
"cell junction"	GO:0030054	2	Sym_125225_c1_g1	5.63001896041506
"cell junction"	GO:0030054	2	Sym_125225_c1_g3	-3.73497716080894
"cell junction"	GO:0030054	2	Sym_128217_c2_g1	2.74973493051988
"cell junction"	GO:0030054	2	Sym_100008_c0_g3	-9.71500180513452
"cell junction"	GO:0030054	2	Sym_119843_c6_g1	0.209040577179986
"ribosome"	GO:0005840	3	Sym_310154_c0_g1	-0.470040704815338
"ribosome"	GO:0005840	3	Sym_278829_c0_g1	16.604073932379
"ribosome"	GO:0005840	3	Sym_110707_c7_g1	2.65277718562711
"ribosome"	GO:0005840	3	Sym_119843_c6_g1	0.209040577179986
"ribosome"	GO:0005840	3	Sym_122045_c4_g1	-0.221048742045348
"perinuclear region of cytoplasm"	GO:0048471	2	Sym_310154_c0_g1	-0.470040704815338
"perinuclear region of cytoplasm"	GO:0048471	2	Sym_30458_c0_g1	10.787867082922
"perinuclear region of cytoplasm"	GO:0048471	2	Sym_85763_c0_g2	0.821461937227807
"perinuclear region of cytoplasm"	GO:0048471	2	Sym_114907_c3_g1	-2.76289904456778
"perinuclear region of cytoplasm"	GO:0048471	2	Sym_43139_c0_g1	-1.60523659624176
"perinuclear region of cytoplasm"	GO:0048471	2	Sym_100008_c0_g3	-9.71500180513452
"spliceosomal complex"	GO:0005681	2	Sym_133740_c1_g1	18.4164830651176
"spliceosomal complex"	GO:0005681	2	Sym_105077_c3_g2	2.88743302061892
"spliceosomal complex"	GO:0005681	2	Sym_80984_c0_g1	1.8567057328453
"spliceosomal complex"	GO:0005681	2	Sym_107369_c3_g5	4.79102474473245
"spliceosomal complex"	GO:0005681	2	Sym_173607_c0_g1	4.29099146507564
"spliceosomal complex"	GO:0005681	2	Sym_104264_c2_g1	16.2783084589296
"spliceosomal complex"	GO:0005681	2	Sym_139545_c4_g1	12.8683585726544
"spliceosomal complex"	GO:0005681	2	Sym_101312_c0_g2	17.8091849131792
"spliceosomal complex"	GO:0005681	2	Sym_147119_c0_g1	13.8257491931907
"spliceosomal complex"	GO:0005681	2	Sym_128217_c2_g1	2.74973493051988
"spliceosomal complex"	GO:0005681	2	Sym_78927_c0_g1	7.81068326395671
"spliceosomal complex"	GO:0005681	2	Sym_66494_c0_g1	6.553490891989
"spliceosomal complex"	GO:0005681	2	Sym_245377_c0_g1	-0.611073094375424
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_94454_c0_g1	1.12535734065532
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_104246_c5_g1	-2.45968201614293
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_134584_c0_g2	-5.96368955340423
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_209908_c0_g1	3.28904737230595
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_118341_c1_g3	-0.895621382714422
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_104246_c3_g2	0.638170941076909
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c3_g3	-4.75894719724433
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c3_g1	0.257556435887963
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_134584_c0_g1	0.0471088051346519
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_104246_c5_g4	1.25141590475079
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c2_g2	-1.43447101805708
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_131189_c6_g1	0.0207894324911281
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c2_g1	-1.77552313557182
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_119017_c0_g5	0.230945333343812
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_142252_c2_g6	-0.653369259219001
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_118341_c1_g2	0.367952517937772
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_124087_c4_g1	-1.02768537161294
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c3_g4	0.0157985615877432
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_142252_c2_g5	-0.383909588014638
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_104246_c3_g1	3.6495225572451
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_275443_c0_g1	-1.44217701090486
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_103301_c0_g1	-2.49790190603875
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_135168_c1_g4	-0.26555814200328
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_135168_c1_g2	-0.0868781316439411
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_135168_c1_g5	-1.24202668339461
"photosystem"	GO:0030076;GO:0009523;GO:0009521	2	Sym_105943_c4_g1	-1.60634723606495
"transferase complex"	GO:1990234	2	Sym_103763_c6_g1	1.35620640810077
"transferase complex"	GO:1990234	2	Sym_101312_c0_g2	17.8091849131792
"transferase complex"	GO:1990234	2	Sym_100802_c0_g1	-0.512293511614504
"transferase complex"	GO:1990234	2	Sym_174615_c0_g1	10.8863413687072
"transferase complex"	GO:1990234	2	Sym_42974_c0_g1	4.79493628491728
"extracellular space"	GO:0005615	2	Sym_175570_c0_g1	12.015572513332
"extracellular space"	GO:0005615	2	Sym_310154_c0_g1	-0.470040704815338
"extracellular space"	GO:0005615	2	Sym_109358_c2_g1	0.0337533915191598
"extracellular space"	GO:0005615	2	Sym_44505_c0_g1	3.26689727119205
"extracellular space"	GO:0005615	2	Sym_114958_c5_g1	-1.98342096650364
"extracellular space"	GO:0005615	2	Sym_91477_c0_g1	-0.766808250778905
"extracellular space"	GO:0005615	2	Sym_242526_c0_g1	0.047520492346321
"extracellular space"	GO:0005615	2	Sym_53466_c0_g1	0.293600167866717
"oxidoreductase complex"	GO:1990204	2	Sym_119275_c3_g2	-5.87693243018022
"oxidoreductase complex"	GO:1990204	2	Sym_110848_c2_g1	54.6250108043551
"oxidoreductase complex"	GO:1990204	2	Sym_113783_c0_g1	-0.555391736711789
"oxidoreductase complex"	GO:1990204	2	Sym_116663_c1_g1	-0.607698246786793
"oxidoreductase complex"	GO:1990204	2	Sym_83072_c0_g2	-0.389108310770388
"oxidoreductase complex"	GO:1990204	2	Sym_174615_c0_g1	10.8863413687072
"cell projection"	GO:0120025;GO:0042995	3	Sym_310154_c0_g1	-0.470040704815338
"cell projection"	GO:0120025;GO:0042995	3	Sym_131859_c1_g2	7.9919779886889
"cell projection"	GO:0120025;GO:0042995	3	Sym_205051_c0_g1	4.41892620361149
"cell projection"	GO:0120025;GO:0042995	3	Sym_237540_c0_g1	6.46071531374832
"cell projection"	GO:0120025;GO:0042995	3	Sym_30900_c0_g1	0.67171896185625
"cell projection"	GO:0120025;GO:0042995	3	Sym_102785_c0_g1	1.40607494140324
"cell projection"	GO:0120025;GO:0042995	3	Sym_137236_c0_g1	10.959563724341
"cell projection"	GO:0120025;GO:0042995	3	Sym_128217_c2_g1	2.74973493051988
"cell projection"	GO:0120025;GO:0042995	3	Sym_119843_c6_g1	0.209040577179986
"cell projection"	GO:0120025;GO:0042995	3	Sym_115171_c4_g3	6.21504960593641
"cell projection"	GO:0120025;GO:0042995	3	Sym_124370_c1_g1	0.0534361618953391
"cell projection"	GO:0120025;GO:0042995	3	Sym_120913_c7_g2	-1.12808073146541
"cell projection"	GO:0120025;GO:0042995	3	Sym_94907_c0_g2	-7.61574133376355
"mitochondrial membrane"	GO:0031966	3	Sym_156351_c0_g1	-3.36706629533162
"mitochondrial membrane"	GO:0031966	3	Sym_103784_c0_g1	-3.73194946099988
"mitochondrial membrane"	GO:0031966	3	Sym_159792_c0_g1	-1.96728753976069
"mitochondrial membrane"	GO:0031966	3	Sym_113175_c1_g1	0.577357687433479
"mitochondrial membrane"	GO:0031966	3	Sym_105943_c4_g3	-3.07120238377895
"mitochondrial membrane"	GO:0031966	3	Sym_83072_c0_g2	-0.389108310770388
"mitochondrial membrane"	GO:0031966	3	Sym_135943_c0_g1	-11.6027861382162
"microtubule"	GO:0005874;GO:0099513;GO:0099512;GO:0099081	3	Sym_101851_c0_g1	-4.90476106236159
"microtubule"	GO:0005874;GO:0099513;GO:0099512;GO:0099081	3	Sym_107369_c3_g5	4.79102474473245
"microtubule"	GO:0005874;GO:0099513;GO:0099512;GO:0099081	3	Sym_113215_c4_g5	1.33285965078037
"microtubule"	GO:0005874;GO:0099513;GO:0099512;GO:0099081	3	Sym_205051_c0_g1	4.41892620361149
"microtubule"	GO:0005874;GO:0099513;GO:0099512;GO:0099081	3	Sym_120913_c7_g2	-1.12808073146541
"plasma membrane region"	GO:0098590	2	Sym_131859_c1_g2	7.9919779886889
"plasma membrane region"	GO:0098590	2	Sym_57115_c0_g1	1.98948966194321
"plasma membrane region"	GO:0098590	2	Sym_237540_c0_g1	6.46071531374832
"plasma membrane region"	GO:0098590	2	Sym_242526_c0_g1	0.047520492346321
"plasma membrane region"	GO:0098590	2	Sym_100008_c0_g3	-9.71500180513452
"vacuole"	GO:0005773	2	Sym_30458_c0_g1	10.787867082922
"vacuole"	GO:0005773	2	Sym_44505_c0_g1	3.26689727119205
"vacuole"	GO:0005773	2	Sym_125225_c1_g2	1.54171764055747
"vacuole"	GO:0005773	2	Sym_66220_c0_g2	5.13373502466528
"vacuole"	GO:0005773	2	Sym_109253_c1_g2	-6.67510339942345
"vacuole"	GO:0005773	2	Sym_237540_c0_g1	6.46071531374832
"vacuole"	GO:0005773	2	Sym_101971_c0_g1	0.579911609850416
"vacuole"	GO:0005773	2	Sym_85763_c0_g2	0.821461937227807
"vacuole"	GO:0005773	2	Sym_278829_c0_g1	16.604073932379
"vacuole"	GO:0005773	2	Sym_114958_c5_g1	-1.98342096650364
"vacuole"	GO:0005773	2	Sym_125225_c1_g1	5.63001896041506
"vacuole"	GO:0005773	2	Sym_109253_c1_g1	-1.96256514884043
"vacuole"	GO:0005773	2	Sym_91477_c0_g1	-0.766808250778905
"vacuole"	GO:0005773	2	Sym_125225_c1_g3	-3.73497716080894
"vacuole"	GO:0005773	2	Sym_37532_c0_g1	16.2835890542719
"vacuole"	GO:0005773	2	Sym_109253_c1_g3	-0.79547447244303
"vacuole"	GO:0005773	2	Sym_242526_c0_g1	0.047520492346321
"vacuole"	GO:0005773	2	Sym_100008_c0_g3	-9.71500180513452
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177	2	Sym_176037_c0_g1	-6.36234214615569
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177	2	Sym_101543_c0_g2	-12.8096928592529
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177	2	Sym_101543_c0_g3	-6.32569895265527
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177	2	Sym_208217_c0_g1	1.47008258924542
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177	2	Sym_179816_c0_g1	-1.30086282810478
"integral component of plasma membrane"	GO:0005887;GO:0031226	3	Sym_57115_c0_g1	1.98948966194321
"integral component of plasma membrane"	GO:0005887;GO:0031226	3	Sym_24952_c0_g1	0.34727173341827
"integral component of plasma membrane"	GO:0005887;GO:0031226	3	Sym_128149_c1_g1	-0.870429863292807
"integral component of plasma membrane"	GO:0005887;GO:0031226	3	Sym_141362_c0_g3	-12.8758755311374
"integral component of plasma membrane"	GO:0005887;GO:0031226	3	Sym_100008_c0_g3	-9.71500180513452
