"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
880 0.373853695386128 2 7 "GO:0000002" "mitochondrial genome maintenance" 0.850360818082538
-758 0.165446412285144 1 23 "GO:0000003" "reproduction" 0.732336130659284
99 0.915215942034934 4 8 "GO:0000012" "single strand break repair" 0.988374951062017
43 0.919731483693603 4 37 "GO:0000018" "regulation of DNA recombination" 0.988481107321128
385 0.642336781135644 5 10 "GO:0000019" "regulation of mitotic recombination" 0.928957171751761
-1593 0.00129863399045932 4 28 "GO:0000027" "ribosomal large subunit assembly" 0.125318180079324
-4211 5.36779850652335e-06 2 8 "GO:0000028" "ribosomal small subunit assembly" 0.00221996809662644
-256 0.769246402887154 4 9 "GO:0000032;GO:0006057;GO:0031506;GO:0006056" "mannoprotein biosynthetic process" 0.971626673803801
106 0.884031089776053 4 13 "GO:0000038" "very long-chain fatty acid metabolic process" 0.986328012932798
-276 0.583669580310786 2 27 "GO:0000041" "transition metal ion transport" 0.912832236540814
-233 0.656123146725408 2 25 "GO:0000045;GO:1905037" "autophagosome organization" 0.933623908350621
-147 0.881728006635607 6 7 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.986328012932798
-474 0.685386264428328 3 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.940352706603875
-494 0.496350710366752 4 13 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.898553904457085
-91 0.787170483615628 3 61 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.973696624172646
-182 0.854208136067145 7 7 "GO:0000076" "DNA replication checkpoint" 0.982492075452676
110 0.798018552916861 2 37 "GO:0000077;GO:0044773;GO:0044774" "DNA damage checkpoint" 0.973696624172646
393 0.427708132132557 6 28 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.871321231918049
1048 0.0989327490896155 4 17 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.688666380070338
93 0.839241317032839 2 33 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 0.980797250282676
1057 0.180448952169219 4 11 "GO:0000105;GO:0006547" "histidine metabolic process" 0.75819987885325
-226 0.37873334920966 2 105 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.850360818082538
-1001 0.204634142655913 2 11 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.767120741903575
-441 0.163336169847846 2 69 "GO:0000154" "rRNA modification" 0.729402041940515
-29 0.98028961366831 3 5 "GO:0000162;GO:0046219" "tryptophan biosynthetic process" 0.99695253093266
-497 0.283907790368748 2 32 "GO:0000165" "MAPK cascade" 0.811569684495957
