"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
94 0.00012060071769455 5 11 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.00259291543043282
-35 0.291476629466184 2 6 "GO:0002682" "regulation of immune system process" 0.661782198628378
-32 0.209758107408648 2 10 "GO:0003006" "developmental process involved in reproduction" 0.588588365796131
-26 0.176225726565996 3 18 "GO:0005975" "carbohydrate metabolic process" 0.580491786713195
-36 0.200807487801904 4 8 "GO:0006006;GO:0019318;GO:0005996" "monosaccharide metabolic process" 0.588588365796131
-18 0.612199719463965 5 5 "GO:0006096;GO:0006090;GO:0006757;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "glycolytic process" 0.863101243834443
12 0.668703850237583 2 8 "GO:0006259;GO:0006281;GO:0006974" "DNA metabolic process" 0.884328533325369
0 0.990967473218908 2 8 "GO:0006260" "DNA replication" 0.995455345763492
-38 0.242205089647604 2 6 "GO:0006275" "regulation of DNA replication" 0.621780230140118
15 0.685911523990271 2 5 "GO:0006325" "chromatin organization" 0.884328533325369
46 0.0596172723896145 6 11 "GO:0006355;GO:1903506;GO:2001141" "regulation of transcription, DNA-templated" 0.39439118657745
54 0.129744014402178 2 5 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.518976057608712
94 1.22628020752834e-06 2 18 "GO:0006397;GO:0008380" "mRNA processing" 0.000105460097847437
51 0.152810760650313 2 5 "GO:0006412" "translation" 0.547571892330288
34 0.208552289438967 6 9 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 0.588588365796131
57 0.114619118660067 2 5 "GO:0006457" "protein folding" 0.518976057608712
42 0.0176890591365132 3 22 "GO:0006508;GO:0051603" "proteolysis" 0.217322726534305
44 0.0451792695161624 3 14 "GO:0006511;GO:0019941;GO:0043632" "modification-dependent macromolecule catabolic process" 0.353219743489997
44 0.088099343237349 3 10 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.488809259252388
31 0.349750469396899 4 6 "GO:0006520" "cellular amino acid metabolic process" 0.73362293580813
3 0.883013023930406 3 14 "GO:0006629" "lipid metabolic process" 0.937520000716234
17 0.503630975138865 2 10 "GO:0006631;GO:0044255" "cellular lipid metabolic process" 0.787495706580771
9 0.802107879529221 4 5 "GO:0006633;GO:0072330" "fatty acid biosynthetic process" 0.92206965968591
-14 0.671157608661241 2 6 "GO:0006790" "sulfur compound metabolic process" 0.884328533325369
-24 0.13655761313071 4 27 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 0.533816124056412
-63 0.0793722070055396 4 5 "GO:0006869" "lipid transport" 0.468416997059922
23 0.389922547037064 4 9 "GO:0006886" "intracellular protein transport" 0.736483337947741
41 0.21216557371721 2 6 "GO:0006928;GO:0040011" "movement of cell or subcellular component" 0.588588365796131
