"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
39 0.114841984888366 3 11 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.470305271447594
-58 0.0778405158080712 3 6 "GO:0002682" "regulation of immune system process" 0.379718403632312
-35 0.176437790027119 2 10 "GO:0003006" "developmental process involved in reproduction" 0.605372738558108
-39 0.0440006603622502 2 18 "GO:0005975" "carbohydrate metabolic process" 0.3497703769057
-49 0.0832579302937895 4 8 "GO:0006006;GO:0019318;GO:0005996" "monosaccharide metabolic process" 0.387036865149508
-16 0.652727092667284 6 5 "GO:0006096;GO:0006090;GO:0006757;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "glycolytic process" 0.87675806301628
21 0.470128927851463 2 8 "GO:0006259;GO:0006281;GO:0006974" "DNA metabolic process" 0.785069665926715
69 0.0147480351807102 2 8 "GO:0006260" "DNA replication" 0.254128643971623
17 0.611517194623425 3 6 "GO:0006275" "regulation of DNA replication" 0.876507978960243
48 0.184460034966367 4 5 "GO:0006325" "chromatin organization" 0.605372738558108
23 0.351286186669901 5 11 "GO:0006355;GO:1903506;GO:2001141" "regulation of transcription, DNA-templated" 0.70709694002656
-4 0.91833887206567 2 5 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.994627837293182
38 0.0523517895024397 3 18 "GO:0006397;GO:0008380" "mRNA processing" 0.3497703769057
25 0.487117317928549 3 5 "GO:0006412" "translation" 0.79794455889248
-16 0.557872762353717 3 9 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 0.843063875471952
32 0.368144831074154 2 5 "GO:0006457" "protein folding" 0.719555806190392
23 0.18683668033833 3 22 "GO:0006508;GO:0051603" "proteolysis" 0.605372738558108
42 0.0510515762733938 3 14 "GO:0006511;GO:0019941;GO:0043632" "modification-dependent macromolecule catabolic process" 0.3497703769057
22 0.389860830302204 4 10 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.736496715025369
88 0.00691243187545503 2 6 "GO:0006520" "cellular amino acid metabolic process" 0.254128643971623
-20 0.361592541299858 2 14 "GO:0006629" "lipid metabolic process" 0.714872610385926
-25 0.332225774594094 2 10 "GO:0006631;GO:0044255" "cellular lipid metabolic process" 0.70709694002656
-45 0.210169227043139 4 5 "GO:0006633;GO:0072330" "fatty acid biosynthetic process" 0.623260466403792
-25 0.445364544554837 2 6 "GO:0006790" "sulfur compound metabolic process" 0.758442590727049
-12 0.43981584866655 2 27 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 0.758442590727049
-34 0.344392907043172 2 5 "GO:0006869" "lipid transport" 0.70709694002656
-29 0.279171333422156 5 9 "GO:0006886" "intracellular protein transport" 0.6587414935871
8 0.8045655355826 2 6 "GO:0006928;GO:0040011" "movement of cell or subcellular component" 0.954381187035912
12 0.699086786695755 2 7 "GO:0006952" "defense response" 0.877244923933964
-30 0.321908611700309 3 7 "GO:0006970" "response to osmotic stress" 0.70709694002656
-30 0.405633130523133 2 5 "GO:0006979" "response to oxidative stress" 0.736496715025369
-23 0.240400995714002 2 18 "GO:0006996" "organelle organization" 0.628561737982249
-2 0.954577774073858 5 5 "GO:0007010" "cytoskeleton organization" 0.994627837293182
41 0.214080370713207 2 6 "GO:0007017" "microtubule-based process" 0.624098707841892
-8 0.833083388393224 2 5 "GO:0007049" "cell cycle" 0.961680153044527
-19 0.337772898896979 2 18 "GO:0007165" "signal transduction" 0.70709694002656
-3 0.931912664807697 3 5 "GO:0007166" "cell surface receptor signaling pathway" 0.994627837293182
17 0.575136681553364 2 7 "GO:0007275" "multicellular organism development" 0.851232928857199
-36 0.183428645455554 4 9 "GO:0008610" "lipid biosynthetic process" 0.605372738558108
18 0.579036352769141 2 6 "GO:0009409;GO:0009266" "response to temperature stimulus" 0.851232928857199
-9 0.793312291376288 3 5 "GO:0009416;GO:0009314" "response to radiation" 0.954193805012039
10 0.589154465450058 2 22 "GO:0009605" "response to external stimulus" 0.858767525910254
0 0.989927118984429 2 22 "GO:0009628" "response to abiotic stimulus" 0.99571616646387
