"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-13 0.98971744587702 2 22 "GO:0000002" "mitochondrial genome maintenance" 0.997761861367719
-5 0.996423360361479 1 15 "GO:0000003" "reproduction" 0.998642407787291
-1225 0.372485269604238 4 11 "GO:0000012" "single strand break repair" 0.706160012624855
-1576 0.000676291673912542 4 97 "GO:0000018" "regulation of DNA recombination" 0.0191493421635657
-2012 0.0609844914664794 5 18 "GO:0000019" "regulation of mitotic recombination" 0.308394060262178
2766 0.000271840181691284 4 36 "GO:0000027" "ribosomal large subunit assembly" 0.0103493440601039
2555 0.0430983078850521 2 13 "GO:0000028" "ribosomal small subunit assembly" 0.259081314064998
-989 0.308809041644651 4 22 "GO:0000038" "very long-chain fatty acid metabolic process" 0.651320055346949
55 0.899912526333024 2 108 "GO:0000041" "transition metal ion transport" 0.967883085754508
706 0.242605981587998 2 57 "GO:0000045;GO:1905037" "autophagosome organization" 0.581379575630874
823 0.456464693872691 2 17 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.761133707783951
2416 0.160409928341594 3 7 "GO:0000052" "citrulline metabolic process" 0.484410718447986
4840 2.13613763371479e-05 6 16 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0000055" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.00145969404970511
4516 0.0151216535474177 7 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.146223676855844
2323 0.125927682533251 -1 9 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.439551111920254
-623 0.477509236694885 4 27 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.776662872012126
26 0.947281135872788 3 137 "GO:0000075" "cell cycle checkpoint" 0.984980190051104
-1573 0.105424081079464 7 22 "GO:0000076" "DNA replication checkpoint" 0.405418724497506
-140 0.765875761239872 2 94 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.923904633917561
-1274 0.0934537002132921 2 36 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.379655657116499
