"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1179 0.224914317929838 2 22 "GO:0000002" "mitochondrial genome maintenance" 0.58243120196728
-898 0.445328677303345 1 15 "GO:0000003" "reproduction" 0.770523866662036
-1306 0.34162203887656 4 11 "GO:0000012" "single strand break repair" 0.696041845264551
-223 0.630819480505427 4 97 "GO:0000018" "regulation of DNA recombination" 0.871910918410151
-2334 0.0297120895757248 5 18 "GO:0000019" "regulation of mitotic recombination" 0.216346226009034
-783 0.302832407685336 4 36 "GO:0000027" "ribosomal large subunit assembly" 0.664760352660579
-3193 0.0114971701862237 2 13 "GO:0000028" "ribosomal small subunit assembly" 0.125050483522979
-4826 6.74799255548385e-07 4 22 "GO:0000038" "very long-chain fatty acid metabolic process" 0.000108990304002209
-322 0.463510245607051 2 108 "GO:0000041" "transition metal ion transport" 0.783115556769494
279 0.644573638297466 2 57 "GO:0000045;GO:1905037" "autophagosome organization" 0.879051532641348
-2266 0.0402822780494931 2 17 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.255296720575265
-2704 0.116180763845654 3 7 "GO:0000052" "citrulline metabolic process" 0.437459031350729
-1431 0.208840494125032 6 16 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0000055" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.56486040504624
3734 0.0445721642870468 7 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.268021282301954
701 0.644442722055367 -1 9 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.879051532641348
349 0.690285325565591 4 27 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.898028016906175
-86 0.826466924080635 3 137 "GO:0000075" "cell cycle checkpoint" 0.948754836388065
306 0.752547561130373 7 22 "GO:0000076" "DNA replication checkpoint" 0.924424637203247
93 0.843602268049024 2 94 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.957903725756561
-28 0.970837643122951 2 36 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.993703240491454
637 0.226486731897784 5 75 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.583437254043348
-1776 0.176827621212086 2 12 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.523897287971328
1637 0.00203319539267402 2 74 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0440106210616877
-447 0.342693652629263 3 94 "GO:0000096" "sulfur amino acid metabolic process" 0.69621309780762
-166 0.772754013644344 2 63 "GO:0000097" "sulfur amino acid biosynthetic process" 0.932932895303088
-1121 0.414187444038211 5 11 "GO:0000098" "sulfur amino acid catabolic process" 0.749361533171644
-2333 0.0647574091176363 4 13 "GO:0000105" "histidine biosynthetic process" 0.325927281016999
335 0.153292198250748 2 387 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.489036761476114
-2730 0.00333264842283354 2 24 "GO:0000154;GO:0031167" "rRNA modification" 0.0586238154907682
763 0.0452303552263863 2 144 "GO:0000165" "MAPK cascade" 0.270569913980515
674 0.24855311786197 3 61 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.609658590982191
-630 0.714439609238773 2 7 "GO:0000185" "activation of MAPKKK activity" 0.90925575865393
560 0.507989765673819 6 29 "GO:0000186" "activation of MAPKK activity" 0.808329232681624
970 0.0287530566961305 6 106 "GO:0000187" "activation of MAPK activity" 0.212535066644057
3458 0.0894527006782572 2 5 "GO:0000188" "inactivation of MAPK activity" 0.389528508672476
1248 1.17354884350186e-07 9 383 "GO:0000209" "protein polyubiquitination" 2.55687244064101e-05
841 0.433405490129976 2 18 "GO:0000212" "meiotic spindle organization" 0.764158538667804
404 0.0842020251356495 2 388 "GO:0000226" "microtubule cytoskeleton organization" 0.37438846818155
-1503 0.186965083393303 5 16 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.537824825527111
-660 0.550156895304308 2 17 "GO:0000245" "spliceosomal complex assembly" 0.831084413511126
-3197 0.1164642336748 3 5 "GO:0000255" "allantoin metabolic process" 0.437459031350729
-27 0.983006486282894 2 13 "GO:0000266" "mitochondrial fission" 0.995553869961909
-2103 0.00176112450207219 5 46 "GO:0000272" "polysaccharide catabolic process" 0.0401145025471999
298 0.439934723617029 3 140 "GO:0000278" "mitotic cell cycle" 0.768803959632382
397 0.369102445059972 2 107 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.7159083086498
2711 0.115257860746143 3 7 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.435382280493935
834 0.450264187744676 3 17 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.772917269139814
772 0.540882804828148 5 13 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 0.826109961120609
-677 0.407956074437851 3 31 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.745425394841874
651 0.118859744840099 2 120 "GO:0000302" "response to reactive oxygen species" 0.441260105689759
-4725 0.00604844401658783 7 7 "GO:0000338" "protein deneddylation" 0.0850150394124928
-1723 0.397592678494166 5 5 "GO:0000354" "cis assembly of pre-catalytic spliceosome" 0.736193065257131
2561 0.0621539955048214 8 11 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.319460748351686
-456 0.560015212827178 2 34 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.837494823083287
-884 0.193154778407921 2 45 "GO:0000387" "spliceosomal snRNP assembly" 0.547139154375244
316 0.854560309425215 2 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.960764034041192
-658 0.664690249766533 3 9 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.887883489013533
2970 0.144681600124531 2 5 "GO:0000395" "mRNA 5'-splice site recognition" 0.478976974325311
-273 0.445486725923202 3 164 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.770523866662036
-22 0.980726464186161 3 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.995553869961909
2542 0.139672727899473 8 7 "GO:0000414" "regulation of histone H3-K36 methylation" 0.472970546190719
406 0.559646102992169 2 43 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.837494823083287
548 0.717977676798359 3 9 "GO:0000423" "mitophagy" 0.910326795688475
-113 0.923541082235175 9 15 "GO:0000447;GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.978059046149962
-799 0.497086009710891 2 15 "GO:0000460" "maturation of 5.8S rRNA" 0.802382929060887
-2372 0.000863105872677682 3 41 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.025001925550935
