"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
4 0.562612994668477 2 9 "GO:0005975" "carbohydrate metabolic process" 0.839383533306156
16 0.0897465226771724 2 5 "GO:0005996" "monosaccharide metabolic process" 0.825351472447038
-3 0.744527808821085 3 5 "GO:0006259" "DNA metabolic process" 0.839984609694098
9 0.296504351702841 2 6 "GO:0006508" "proteolysis" 0.825351472447038
10 0.219643874913174 2 8 "GO:0006796;GO:0006793;GO:0046034;GO:0009117;GO:0009150;GO:0006753;GO:0019637;GO:0055086;GO:0006163;GO:0009259;GO:0072521;GO:0019693;GO:1901135" "phosphate-containing compound metabolic process" 0.825351472447038
5 0.556343346399873 2 7 "GO:0009057" "macromolecule catabolic process" 0.839383533306156
-19 0.0442871366404996 2 5 "GO:0009605" "response to external stimulus" 0.825351472447038
4 0.609260137693683 2 7 "GO:0009628" "response to abiotic stimulus" 0.839383533306156
11 0.164183265278887 3 8 "GO:0009765;GO:0018298" "photosynthesis, light harvesting" 0.825351472447038
-4 0.66430429216287 2 7 "GO:0009893;GO:0048518;GO:0031325;GO:0048522" "positive regulation of biological process" 0.839984609694098
2 0.744601113672089 4 11 "GO:0010468;GO:0010605;GO:0009892;GO:0048519;GO:0048523" "negative regulation of cellular process" 0.839984609694098
-8 0.412058500316913 2 5 "GO:0010604;GO:0051173" "positive regulation of macromolecule metabolic process" 0.825351472447038
-1 0.893109241965883 6 6 "GO:0010629;GO:0048583" "negative regulation of gene expression" 0.917917832020491
-8 0.312851040616572 6 8 "GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036" "protein localization" 0.825351472447038
8 0.424984721102901 3 5 "GO:0016052" "carbohydrate catabolic process" 0.825351472447038
-12 0.204176163986361 2 5 "GO:0016192" "vesicle-mediated transport" 0.825351472447038
7 0.402460791905602 2 6 "GO:0018130;GO:0019438;GO:1901362;GO:0090407" "heterocycle biosynthetic process" 0.825351472447038
-9 0.328277243851337 5 5 "GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.825351472447038
14 0.118577931384896 2 6 "GO:0019752" "carboxylic acid metabolic process" 0.825351472447038
-3 0.721221698760173 2 7 "GO:0031324;GO:0051172" "negative regulation of cellular metabolic process" 0.839984609694098
-10 0.317279957932415 2 5 "GO:0031327;GO:0009890" "negative regulation of cellular biosynthetic process" 0.825351472447038
-5 0.495282641061759 2 8 "GO:0033554;GO:0051716" "cellular response to stress" 0.839383533306156
-1 0.924272010431075 2 9 "GO:0042221" "response to chemical" 0.924272010431075
8 0.438144780058653 3 5 "GO:0043632;GO:0044265" "modification-dependent macromolecule catabolic process" 0.825351472447038
1 0.849239282765934 3 10 "GO:0044271;GO:1901566" "cellular nitrogen compound biosynthetic process" 0.917917832020491
-5 0.612523118899087 3 6 "GO:0046907;GO:0051641;GO:0051649" "establishment of localization in cell" 0.839383533306156
9 0.33951879997505 2 5 "GO:0048856" "anatomical structure development" 0.825351472447038
-4 0.656711633323188 2 6 "GO:0051239" "regulation of multicellular organismal process" 0.839984609694098
8 0.386916317769068 2 5 "GO:0051246" "regulation of protein metabolic process" 0.825351472447038
13 0.181169416703867 -1 5 "GO:0055114" "obsolete oxidation-reduction process" 0.825351472447038
-14 0.15356364549754 2 5 "GO:0065008" "regulation of biological quality" 0.825351472447038
2 0.749175462700142 4 9 "GO:0080090" "regulation of primary metabolic process" 0.839984609694098
-6 0.446135931052453 2 7 "GO:0090304" "nucleic acid metabolic process" 0.825351472447038
-5 0.5395261160336 6 9 "GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220" "ion transmembrane transport" 0.839383533306156
-5 0.612523118899087 2 6 "GO:1901700" "response to oxygen-containing compound" 0.839383533306156
2 0.883860889640799 2 5 "GO:1902600" "proton transmembrane transport" 0.917917832020491
-8 0.287413776717035 5 8 "GO:2000112;GO:0010556;GO:0031326;GO:0009889" "regulation of cellular biosynthetic process" 0.825351472447038
