"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
357 0.712939352738308 2 22 "GO:0000002" "mitochondrial genome maintenance" 0.926299790517955
279 0.812577555653055 1 15 "GO:0000003" "reproduction" 0.953654638271852
682 0.619468637710944 4 11 "GO:0000012" "single strand break repair" 0.897330675876124
-252 0.587187394688372 4 97 "GO:0000018" "regulation of DNA recombination" 0.880368161375253
-2389 0.026081603208967 5 18 "GO:0000019" "regulation of mitotic recombination" 0.292985816947566
-2197 0.00382933707392812 4 36 "GO:0000027" "ribosomal large subunit assembly" 0.113393761563344
-2407 0.0566890965342814 2 13 "GO:0000028" "ribosomal small subunit assembly" 0.383929967633697
-3774 0.000102087664893206 4 22 "GO:0000038" "very long-chain fatty acid metabolic process" 0.0129554108066854
-51 0.90676503340513 2 108 "GO:0000041" "transition metal ion transport" 0.973229486115454
-487 0.419988409283317 2 57 "GO:0000045;GO:1905037" "autophagosome organization" 0.795626678688482
-962 0.384076919538275 2 17 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.775133211775189
84 0.961088576873549 3 7 "GO:0000052" "citrulline metabolic process" 0.991806816925199
-2226 0.0506197728193279 6 16 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0000055" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.371118829610753
3280 0.0776787310087827 7 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.438134406311208
1675 0.269877207297888 -1 9 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.701861255737493
193 0.826059038602297 4 27 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.955178754071109
-355 0.363428409208962 3 137 "GO:0000075" "cell cycle checkpoint" 0.765944413239924
-2009 0.0385939038703668 7 22 "GO:0000076" "DNA replication checkpoint" 0.337303816947432
-347 0.46183309395756 2 94 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.814068823312746
700 0.356680341154209 2 36 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.761356114678388
-431 0.413454997675179 5 75 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.795347228635007
-2759 0.0358868888225147 2 12 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.33035771575821
