"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
113 0.838595237960602 2 13 "GO:0000109" "nucleotide-excision repair complex" 0.965901057666612
-338 0.632002314890118 3 8 "GO:0000118" "histone deacetylase complex" 0.913953867942499
-227 0.763200569059614 3 7 "GO:0000123" "histone acetyltransferase complex" 0.948555672661164
-615 0.490222287234714 3 5 "GO:0000131" "incipient cellular bud site" 0.843507274251347
-1193 0.142599068930807 3 6 "GO:0000136;GO:0031501" "mannosyltransferase complex" 0.563366744156216
619 0.351388167311336 3 9 "GO:0000138" "Golgi trans cisterna" 0.776521322466176
359 0.00151806356975685 2 326 "GO:0000139" "Golgi membrane" 0.0503474156877866
150 0.821928317174716 2 9 "GO:0000148" "1,3-beta-D-glucan synthase complex" 0.965901057666612
322 0.0911042784275484 3 111 "GO:0000151" "ubiquitin ligase complex" 0.452296461927917
853 0.123049308381356 2 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.541887885824769
-815 0.31692994537955 3 6 "GO:0000159" "protein phosphatase type 2A complex" 0.755755318167677
789 0.189626836705819 2 11 "GO:0000164" "protein phosphatase type 1 complex" 0.633218186856931
-380 0.527121080137276 3 11 "GO:0000177;GO:0000176" "cytoplasmic exosome (RNase complex)" 0.852852202670151
-713 0.181109430463308 3 14 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.615843163832981
-376 0.265433578429592 6 35 "GO:0000228" "nuclear chromosome" 0.705516310047239
135 0.711677227805297 2 30 "GO:0000242" "pericentriolar material" 0.945821698532109
-1072 0.229068054882419 2 5 "GO:0000243" "commitment complex" 0.678419249398724
-546 0.323317783173338 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.755755318167677
-341 0.402172453224764 5 24 "GO:0000324;GO:0000322" "storage vacuole" 0.793042842104
-822 0.0803082943739648 4 18 "GO:0000325" "plant-type vacuole" 0.431451504989744
6 0.984221841492535 2 40 "GO:0000329" "fungal-type vacuole membrane" 0.99929988708816
547 0.386034632272398 4 10 "GO:0000331" "contractile vacuole" 0.786090314546859
-502 0.299427080736675 2 17 "GO:0000407" "phagophore assembly site" 0.739993798648787
296 0.694359547233589 2 7 "GO:0000421" "autophagosome membrane" 0.939614638821929
56 0.856958549447053 3 42 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.967201529975894
510 0.176349043483153 3 28 "GO:0000775" "chromosome, centromeric region" 0.614483313006514
-301 0.347109923121019 3 39 "GO:0000776" "kinetochore" 0.776521322466176
9 0.981894900277986 2 27 "GO:0000777" "condensed chromosome kinetochore" 0.99929988708816
-702 0.290612747608902 3 9 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.736242818379441
191 0.57082675882607 3 35 "GO:0000781" "chromosome, telomeric region" 0.87976321895996
-457 0.0637188310611377 2 66 "GO:0000785" "chromatin" 0.396753559937986
150 0.777925330888088 2 14 "GO:0000786;GO:0044815" "DNA packaging complex" 0.949993602324434
-1091 0.180105914686702 3 6 "GO:0000791" "euchromatin" 0.615843163832981
-1137 0.13133202227676 3 7 "GO:0000792" "heterochromatin" 0.555736572343387
225 0.580070427376607 4 24 "GO:0000793" "condensed chromosome" 0.884292146082273
-13 0.979096167469455 2 17 "GO:0000794" "condensed nuclear chromosome" 0.99929988708816
-399 0.507429228354468 5 11 "GO:0000803" "sex chromosome" 0.851321095099378
-233 0.740897001320524 4 8 "GO:0000835;GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.948555672661164
478 0.592159765875519 2 5 "GO:0000837" "Doa10p ubiquitin ligase complex" 0.89618159487287
-307 0.297028871712494 2 46 "GO:0000922" "spindle pole" 0.739993798648787
-97 0.692959559894744 3 67 "GO:0000932" "P-body" 0.939614638821929
-619 0.351474692628235 3 9 "GO:0000935" "division septum" 0.776521322466176
797 0.37117739181771 3 5 "GO:0000941;GO:0000939" "condensed nuclear chromosome inner kinetochore" 0.784832007853762
-380 0.138399631675086 5 61 "GO:0001518;GO:0034706" "sodium channel complex" 0.558576930717433
-55 0.889635056776225 2 25 "GO:0001650" "fibrillar center" 0.968738560016482
238 0.594166149702652 2 20 "GO:0001669" "acrosomal vesicle" 0.89618159487287
-927 0.123013143085975 2 11 "GO:0001726" "ruffle" 0.541887885824769
-358 0.446297858830852 2 18 "GO:0001750" "photoreceptor outer segment" 0.8263138574393
-836 0.235814177598487 2 8 "GO:0001891" "phagocytic cup" 0.678419249398724
127 0.832450735994765 2 11 "GO:0001917" "photoreceptor inner segment" 0.965901057666612
-1003 0.260650935395908 2 5 "GO:0002177" "manchette" 0.703005647870694
-112 0.291347425454966 2 376 "GO:0005576" "extracellular region" 0.736242818379441
-979 0.032384549747381 2 19 "GO:0005604" "basement membrane" 0.327061404541077
58 0.69079656618163 2 195 "GO:0005615" "extracellular space" 0.939614638821929
-630 0.00152567926326626 2 102 "GO:0005618" "cell wall" 0.0503474156877866
-1177 0.0767035823426336 3 9 "GO:0005619;GO:0031160" "spore wall" 0.431451504989744
-677 0.0634519525751068 -1 30 "GO:0005623" "obsolete cell" 0.396753559937986
-572 0.300979029272132 3 13 "GO:0005628" "prospore membrane" 0.740566822024851
-78 0.740878369429789 2 73 "GO:0005635" "nuclear envelope" 0.948555672661164
279 0.600206506132517 2 14 "GO:0005637" "nuclear inner membrane" 0.898963349281723
304 0.403674631178683 2 30 "GO:0005643" "nuclear pore" 0.793042842104
-58 0.537588570720407 2 478 "GO:0005654" "nucleoplasm" 0.852852202670151
-118 0.759643779751749 2 27 "GO:0005657" "replication fork" 0.948555672661164
139 0.834647872401689 2 9 "GO:0005662" "DNA replication factor A complex" 0.965901057666612
-1022 0.251440700107771 2 5 "GO:0005663" "DNA replication factor C complex" 0.69814522252714
-722 0.252307258529639 3 10 "GO:0005665" "RNA polymerase II, core complex" 0.69814522252714
-1501 0.0239235172036322 3 9 "GO:0005666" "RNA polymerase III complex" 0.284504478367248
634 0.0422614347568384 2 41 "GO:0005667" "transcription regulator complex" 0.358175658143877
1056 0.161050371274827 2 7 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.587478990540654
656 0.352214498577362 2 8 "GO:0005680" "anaphase-promoting complex" 0.776521322466176
-328 0.065771980524479 3 127 "GO:0005681" "spliceosomal complex" 0.396753559937986
-1 0.998553772798112 2 14 "GO:0005682" "U5 snRNP" 0.99929988708816
-166 0.594259453284684 2 41 "GO:0005684" "U2-type spliceosomal complex" 0.89618159487287
-527 0.323289434349163 2 14 "GO:0005685" "U1 snRNP" 0.755755318167677
-626 0.257604386921779 2 13 "GO:0005686" "U2 snRNP" 0.69814522252714
-526 0.555011215295319 2 5 "GO:0005689" "U12-type spliceosomal complex" 0.867301648414134
-668 0.00030513453603549 2 118 "GO:0005694" "chromosome" 0.01556186133781
-748 0.288743466442917 2 8 "GO:0005697" "telomerase holoenzyme complex" 0.736242818379441
-919 0.302644316564737 2 5 "GO:0005703" "polytene chromosome puff" 0.741092861366277
882 0.322544362070482 2 5 "GO:0005726" "perichromatin fibrils" 0.755755318167677
-72 0.542724128971914 3 300 "GO:0005730" "nucleolus" 0.852852202670151
143 0.761136145057072 3 18 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.948555672661164
-1467 0.0373834297969645 2 8 "GO:0005736" "RNA polymerase I complex" 0.345862687932307
-179 0.0134779395975261 3 864 "GO:0005739" "mitochondrion" 0.202190690724194
166 0.560826976303595 3 49 "GO:0005741" "mitochondrial outer membrane" 0.867609849762882
348 0.0247815169328043 2 169 "GO:0005743;GO:0019866" "organelle inner membrane" 0.284504478367248
82 0.803032171722532 4 37 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.962164237049793
149 0.452397376008106 2 102 "GO:0005759" "mitochondrial matrix" 0.82691000714138
-599 0.319318652969681 3 11 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 0.755755318167677
169 0.231403595758146 6 206 "GO:0005764;GO:0000323" "lytic vacuole" 0.678419249398724
-119 0.688944947091084 4 45 "GO:0005765" "lysosomal membrane" 0.939614638821929
231 0.0795322446696568 3 236 "GO:0005768" "endosome" 0.431451504989744
160 0.495432084072649 2 73 "GO:0005769" "early endosome" 0.846994992944274
452 0.106855238094498 2 51 "GO:0005770" "late endosome" 0.503746122445491
295 0.695481276074763 3 7 "GO:0005771" "multivesicular body" 0.939614638821929
59 0.613892409783108 2 309 "GO:0005773" "vacuole" 0.901156234078571
110 0.403316358479015 2 239 "GO:0005774" "vacuolar membrane" 0.793042842104
-92 0.868428143839227 3 13 "GO:0005775" "vacuolar lumen" 0.967201529975894
500 0.365663457720399 4 13 "GO:0005776" "autophagosome" 0.784832007853762
318 0.136705253089817 4 88 "GO:0005777;GO:0042579" "microbody" 0.555736572343387
288 0.470303420005115 4 25 "GO:0005778;GO:0031903" "microbody membrane" 0.837128115927391
435 0.449669162129225 2 12 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 0.82691000714138
-245 0.612254700521514 2 17 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.901156234078571
302 0.000609709812023467 2 555 "GO:0005783" "endoplasmic reticulum" 0.0244319431817975
256 0.156518385460702 2 124 "GO:0005788" "endoplasmic reticulum lumen" 0.587478990540654
137 0.181130342303818 4 402 "GO:0005789" "endoplasmic reticulum membrane" 0.615843163832981
-443 0.481950697995306 4 10 "GO:0005791" "rough endoplasmic reticulum" 0.842311945048568
702 0.159397137239808 3 16 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.587478990540654
274 0.00180150591208571 3 562 "GO:0005794" "Golgi apparatus" 0.0561469342600046
545 0.246390046332274 2 18 "GO:0005795" "Golgi stack" 0.694597065288471
164 0.840075323759464 2 6 "GO:0005796" "Golgi lumen" 0.965901057666612
520 0.409652189598588 3 10 "GO:0005797" "Golgi medial cisterna" 0.793142189141242
-463 0.511763617308739 3 8 "GO:0005798" "Golgi-associated vesicle" 0.852116578506393
849 0.140379860555796 3 12 "GO:0005801" "cis-Golgi network" 0.559729706152479
465 0.225831981633707 3 27 "GO:0005811" "lipid droplet" 0.67389224306654
217 0.124336044216869 3 205 "GO:0005813" "centrosome" 0.541887885824769
197 0.380506196210394 3 80 "GO:0005814" "centriole" 0.78513574645811
235 0.0381848334161463 2 324 "GO:0005815" "microtubule organizing center" 0.345862687932307
-280 0.161268742501356 3 101 "GO:0005819" "spindle" 0.587478990540654
181 0.78599248890308 3 9 "GO:0005826;GO:0070938" "contractile ring" 0.95235806970762
19 0.97599041773635 2 10 "GO:0005839" "proteasome core complex" 0.99929988708816
-1031 1.6348134899493e-07 3 104 "GO:0005840" "ribosome" 1.5285506131026e-05
-423 0.245952486142271 3 30 "GO:0005844" "polysome" 0.694597065288471
706 0.385638844870226 2 6 "GO:0005845;GO:0034518" "RNA cap binding complex" 0.786090314546859
125 0.828777189673425 2 12 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 0.965901057666612
397 0.411416001854013 3 17 "GO:0005849" "mRNA cleavage factor complex" 0.793142189141242
499 3.24594429324267e-05 4 287 "GO:0005856" "cytoskeleton" 0.0026013924978702
-494 0.0648764474619668 2 56 "GO:0005858" "axonemal dynein complex" 0.396753559937986
92 0.895967375298424 3 8 "GO:0005865;GO:0036379" "striated muscle thin filament" 0.968738560016482
-541 0.263317435831585 4 17 "GO:0005868" "cytoplasmic dynein complex" 0.705516310047239
71 0.925154755489832 3 7 "GO:0005869" "dynactin complex" 0.98353477829547
-39 0.85459895201378 3 89 "GO:0005871" "kinesin complex" 0.966592766289779
-34 0.761563904952189 2 333 "GO:0005874;GO:0099513;GO:0099512;GO:0099081" "supramolecular fiber" 0.948555672661164
-200 0.145853862979764 2 216 "GO:0005875" "microtubule associated complex" 0.568222341191997
699 0.0930057137862051 2 23 "GO:0005876" "spindle microtubule" 0.453706134209227
180 0.678675267833762 4 21 "GO:0005881" "cytoplasmic microtubule" 0.936020994212624
812 0.221771169743957 2 9 "GO:0005884" "actin filament" 0.671541357456779
-244 0.763958057180978 2 6 "GO:0005885" "Arp2/3 protein complex" 0.948555672661164
26 0.800414251556853 2 390 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.961525471356305
-18 0.92390431449295 2 111 "GO:0005891;GO:0034704" "calcium channel complex" 0.98353477829547
359 0.501244078167683 4 14 "GO:0005901" "caveola" 0.849540567528913
205 0.662323982092538 2 18 "GO:0005902" "microvillus" 0.926670083589585
223 0.698695347383749 3 12 "GO:0005903;GO:0098862" "cluster of actin-based cell projections" 0.939971438566626
-279 0.576223714129768 2 16 "GO:0005905" "clathrin-coated pit" 0.882483300139978
123 0.372193443788966 4 215 "GO:0005911;GO:0070161" "anchoring junction" 0.784832007853762
762 0.204962439482441 5 11 "GO:0005912" "adherens junction" 0.664646985836124
272 0.738298064135774 2 6 "GO:0005923;GO:0070160" "tight junction" 0.948555672661164
252 0.648386267297907 3 13 "GO:0005925;GO:0030055" "cell-substrate junction" 0.920872647985129
202 0.092416929477634 2 287 "GO:0005929" "cilium" 0.453706134209227
-207 0.411001405691284 2 63 "GO:0005930" "axoneme" 0.793142189141242
-636 0.338308970210391 2 9 "GO:0005934" "cellular bud tip" 0.776521322466176
-672 0.372708788297511 2 7 "GO:0005935" "cellular bud neck" 0.784832007853762
-64 0.764255194372275 3 87 "GO:0005938" "cell cortex" 0.948555672661164
-233 0.473029612743285 3 38 "GO:0005952" "cAMP-dependent protein kinase complex" 0.837128115927391
-1292 0.0121581108708229 2 15 "GO:0008023" "transcription elongation factor complex" 0.194877148529476
426 0.0590393504863542 2 79 "GO:0008076;GO:0034705" "potassium channel complex" 0.387108450644455
561 0.42644812314512 2 8 "GO:0008250" "oligosaccharyltransferase complex" 0.805513121496338
-1966 0.00529655208711485 2 8 "GO:0008278" "cohesin complex" 0.114283296956593
71 0.862636309240209 3 24 "GO:0008287;GO:1903293" "phosphatase complex" 0.967201529975894
-252 0.777427611333803 2 5 "GO:0008540" "proteasome regulatory particle, base subcomplex" 0.949993602324434
11 0.989968288091387 2 5 "GO:0008541" "proteasome regulatory particle, lid subcomplex" 0.99929988708816
-343 0.39943980448921 3 24 "GO:0009277" "fungal-type cell wall" 0.793042842104
-1163 0.0651887759820018 2 10 "GO:0009279" "cell outer membrane" 0.396753559937986
-461 0.130551569836837 2 43 "GO:0009295" "nucleoid" 0.555736572343387
-527 0.484095928467094 5 7 "GO:0009501" "amyloplast" 0.842311945048568
-274 0.528898522430264 2 21 "GO:0009505" "plant-type cell wall" 0.852852202670151
-470 0.0289424983385571 2 87 "GO:0009506" "plasmodesma" 0.31224503015251
-158 0.070290156126605 4 569 "GO:0009507;GO:0009536" "plastid" 0.414877675815784
-1036 0.0442078896009922 5 15 "GO:0009508;GO:0000229" "plastid chromosome" 0.358175658143877
753 0.232510235734505 2 10 "GO:0009522" "photosystem I" 0.678419249398724
-595 0.264676141469627 2 14 "GO:0009524" "phragmoplast" 0.705516310047239
1949 0.0288361574549061 2 5 "GO:0009533" "chloroplast stromal thylakoid" 0.31224503015251
628 0.0559918693769261 4 37 "GO:0009534;GO:0031976" "chloroplast thylakoid" 0.385677160247097
311 0.0461603588433635 3 167 "GO:0009535;GO:0055035;GO:0042651;GO:0034357" "thylakoid membrane" 0.358175658143877
74 0.89365506239731 3 13 "GO:0009543;GO:0031978" "plastid thylakoid lumen" 0.968738560016482
64 0.756264882077038 3 95 "GO:0009570;GO:0009532" "chloroplast stroma" 0.948555672661164
-171 0.84829641693307 2 5 "GO:0009574" "preprophase band" 0.966592766289779
312 0.255438029364678 2 53 "GO:0009579" "thylakoid" 0.69814522252714
-582 0.51395956317431 2 5 "GO:0009654" "photosystem II oxygen evolving complex" 0.852116578506393
45 0.900319963426885 6 31 "GO:0009705" "plant-type vacuole membrane" 0.969442417432788
310 0.456200532743664 6 23 "GO:0009706;GO:0009528" "chloroplast inner membrane" 0.828247569155973
-10 0.985660627601432 5 13 "GO:0009707;GO:0009527" "plastid outer membrane" 0.99929988708816
13 0.974811543362387 2 25 "GO:0009897" "external side of plasma membrane" 0.99929988708816
397 0.133796197319936 3 57 "GO:0009898;GO:0098562" "cytoplasmic side of membrane" 0.555736572343387
851 0.0032071865207426 2 48 "GO:0009925" "basal plasma membrane" 0.0782274625276782
252 0.209689109674743 2 100 "GO:0009941;GO:0009526" "chloroplast envelope" 0.671541357456779
248 0.134821579215132 2 147 "GO:0009986" "cell surface" 0.555736572343387
392 0.00981102389215067 2 177 "GO:0010008" "endosome membrane" 0.171999512609266
725 0.0466075277085615 2 30 "GO:0010287" "plastoglobule" 0.358175658143877
-568 0.485280528747989 2 6 "GO:0010319" "stromule" 0.842311945048568
-348 0.696540785444375 2 5 "GO:0010339" "external side of cell wall" 0.939614638821929
-408 0.130639102904731 3 55 "GO:0010494" "cytoplasmic stress granule" 0.555736572343387
71 0.85089084212036 2 28 "GO:0012505" "endomembrane system" 0.966592766289779
673 0.408022568495059 2 6 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.793142189141242
89 0.731312613463693 3 59 "GO:0014069;GO:0099572" "postsynaptic specialization" 0.948555672661164
682 0.00282116428120672 3 77 "GO:0014704;GO:0044291" "cell-cell contact zone" 0.0719396891707714
-1205 0.023745351948313 2 14 "GO:0015030" "Cajal body" 0.284504478367248
256 0.53891219626369 2 23 "GO:0015629" "actin cytoskeleton" 0.852852202670151
304 0.306924318755969 2 45 "GO:0015630" "microtubule cytoskeleton" 0.742847036571504
-1971 1.69995441905772e-13 2 56 "GO:0015934" "large ribosomal subunit" 2.38418607272845e-11
-2073 3.13041911638083e-11 2 41 "GO:0015935;GO:0022627" "small ribosomal subunit" 3.51233024857929e-09
397 0.373546565155629 2 20 "GO:0016234" "inclusion body" 0.784832007853762
13 0.983020966526593 3 10 "GO:0016235" "aggresome" 0.99929988708816
179 0.799382332254267 2 8 "GO:0016281" "eukaryotic translation initiation factor 4F complex" 0.961525471356305
684 0.255285304368246 4 11 "GO:0016282;GO:0070993" "translation preinitiation complex" 0.69814522252714
317 0.0564680073033146 4 147 "GO:0016323" "basolateral plasma membrane" 0.385677160247097
244 0.222650075734333 4 101 "GO:0016324" "apical plasma membrane" 0.671541357456779
1037 0.000245318134119183 2 50 "GO:0016328" "lateral plasma membrane" 0.0137623473240862
0 0.99929988708816 2 21 "GO:0016363" "nuclear matrix" 0.99929988708816
-751 0.318798375958343 3 7 "GO:0016442;GO:0031332" "RNAi effector complex" 0.755755318167677
-819 0.0443563919433627 2 24 "GO:0016459" "myosin complex" 0.358175658143877
-519 0.560442156504019 2 5 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.867609849762882
-1075 0.186447548370691 2 6 "GO:0016528" "sarcoplasm" 0.626329788239267
-1141 0.200466726132097 2 5 "GO:0016592" "mediator complex" 0.658818337775861
-1778 0.0461299701678194 3 5 "GO:0016593" "Cdc73/Paf1 complex" 0.358175658143877
-243 0.0881802111914544 2 202 "GO:0016604" "nuclear body" 0.445450246348036
-3 0.994718790217526 2 24 "GO:0016605" "PML body" 0.99929988708816
-357 0.0399895049725054 3 134 "GO:0016607" "nuclear speck" 0.350533004524618
621 0.445820316895802 2 6 "GO:0016938" "kinesin I complex" 0.8263138574393
263 0.746432575319105 2 6 "GO:0016939" "kinesin II complex" 0.948555672661164
656 0.352168552103675 5 8 "GO:0017071" "intracellular cyclic nucleotide activated cation channel complex" 0.776521322466176
1553 0.0563511476546391 2 6 "GO:0017101" "aminoacyl-tRNA synthetase multienzyme complex" 0.385677160247097
248 0.780613811133884 3 5 "GO:0017109" "glutamate-cysteine ligase complex" 0.949993602324434
1099 0.217799757372231 2 5 "GO:0017119" "Golgi transport complex" 0.671541357456779
561 0.276290650848547 2 15 "GO:0019005" "SCF ubiquitin ligase complex" 0.715375811892723
1224 0.0824274687967952 1 8 "GO:0019012" "virion" 0.431451504989744
142 0.861444587521744 2 6 "GO:0019773" "proteasome core complex, alpha-subunit complex" 0.967201529975894
-49 0.833585685964462 3 74 "GO:0019867;GO:0031968" "outer membrane" 0.965901057666612
300 0.403707773806813 2 31 "GO:0019897" "extrinsic component of plasma membrane" 0.793042842104
85 0.732651694446196 2 64 "GO:0019898" "extrinsic component of membrane" 0.948555672661164
-2482 8.63815224941799e-15 3 39 "GO:0022625" "cytosolic large ribosomal subunit" 1.61533447064116e-12
-1433 0.000146774352302842 2 28 "GO:0022626" "cytosolic ribosome" 0.00914893462687715
567 0.524877077721308 3 5 "GO:0030008" "TRAPP complex" 0.852852202670151
-172 0.756194465468144 2 13 "GO:0030014" "CCR4-NOT complex" 0.948555672661164
400 0.469240795208978 2 13 "GO:0030015" "CCR4-NOT core complex" 0.837128115927391
28 0.958185674686583 5 14 "GO:0030016;GO:0043292" "contractile fiber" 0.994416509142918
208 0.69675524019594 2 14 "GO:0030017" "sarcomere" 0.939614638821929
422 0.0136956261096602 2 138 "GO:0030018" "Z disc" 0.202190690724194
30 0.943483634959724 2 22 "GO:0030027" "lamellipodium" 0.993047503212768
33 0.737902449816209 2 449 "GO:0030054" "cell junction" 0.948555672661164
440 0.0787507178571882 2 64 "GO:0030076;GO:0009523;GO:0009521" "photosystem" 0.431451504989744
-47 0.90005605602524 2 28 "GO:0030117;GO:0030120" "membrane coat" 0.969442417432788
-836 0.235533684746767 3 8 "GO:0030118" "clathrin coat" 0.678419249398724
-529 0.235674840581169 2 20 "GO:0030119" "AP-type membrane coat adaptor complex" 0.678419249398724
-312 0.679074054624845 2 7 "GO:0030122" "AP-2 adaptor complex" 0.936020994212624
312 0.531818716104515 4 16 "GO:0030127" "COPII vesicle coat" 0.852852202670151
-609 0.290317499538964 2 12 "GO:0030131" "clathrin adaptor complex" 0.736242818379441
-139 0.875822461853004 2 5 "GO:0030132" "clathrin coat of coated pit" 0.967201529975894
644 0.0600385192398017 3 34 "GO:0030133" "transport vesicle" 0.387144934408376
651 0.221753401895525 4 14 "GO:0030134" "COPII-coated ER to Golgi transport vesicle" 0.671541357456779
337 0.354883212647558 2 30 "GO:0030135" "coated vesicle" 0.776521322466176
-81 0.870978350072216 3 16 "GO:0030136" "clathrin-coated vesicle" 0.967201529975894
48 0.87089692552598 5 46 "GO:0030141" "secretory granule" 0.967201529975894
-287 0.295866369316247 5 53 "GO:0030173;GO:0031228" "intrinsic component of Golgi membrane" 0.739993798648787
-1515 0.0162540292554029 2 10 "GO:0030175" "filopodium" 0.227962760307026
-11 0.955528972753161 5 101 "GO:0030176;GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 0.994416509142918
-501 0.0104990939035528 3 105 "GO:0030286" "dynein complex" 0.173235049408621
134 0.880514279020165 3 5 "GO:0030288" "outer membrane-bounded periplasmic space" 0.967201529975894
