"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-17 0.0289829232840663 2 5 "GO:0005576" "extracellular region" 0.096609744280221
19 0.0157964927885967 2 5 "GO:0005739" "mitochondrion" 0.0789824639429835
4 0.585114275486102 2 5 "GO:0005783" "endoplasmic reticulum" 0.726593878964261
-8 0.240114609770548 2 7 "GO:0005794" "Golgi apparatus" 0.385255867374376
-7 0.269679107162063 3 9 "GO:0005886" "plasma membrane" 0.385255867374376
0 1 3 9 "GO:0030076;GO:0009523;GO:0009521" "photosystem" 1
-3 0.653934491067835 3 8 "GO:0031090" "organelle membrane" 0.726593878964261
11 0.0540175579401836 3 9 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 0.135043894850459
18 0.00545981457191224 2 7 "GO:0043233;GO:0070013;GO:0031974" "organelle lumen" 0.0545981457191224
8 0.240114609770548 2 7 "GO:1902494" "catalytic complex" 0.385255867374376
