"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
32 0.214778640593796 2 6 "GO:0000139" "Golgi membrane" 0.5262076694548
-7 0.692749874646498 2 14 "GO:0005576" "extracellular region" 0.946836999751226
-14 0.523964819096824 2 8 "GO:0005615" "extracellular space" 0.916938433419442
3 0.890632960630704 2 9 "GO:0005618;GO:0030312" "cell wall" 0.992495126593319
41 0.0542235257726296 2 9 "GO:0005654" "nucleoplasm" 0.32888248368423
33 0.0658510343935981 2 13 "GO:0005681" "spliceosomal complex" 0.32888248368423
41 0.0535391277696831 2 9 "GO:0005730" "nucleolus" 0.32888248368423
20 0.124463103147222 2 25 "GO:0005739" "mitochondrion" 0.464522461368536
-4 0.889563385530695 4 5 "GO:0005743;GO:0019866" "organelle inner membrane" 0.992495126593319
0 1 6 10 "GO:0005764;GO:0000323" "lytic vacuole" 1
10 0.505266324431677 2 18 "GO:0005773" "vacuole" 0.916938433419442
12 0.628317495617364 2 7 "GO:0005774" "vacuolar membrane" 0.943768152380732
-2 0.888155863088538 2 14 "GO:0005783" "endoplasmic reticulum" 0.992495126593319
33 0.0978224685084917 3 10 "GO:0005788" "endoplasmic reticulum lumen" 0.435754632446918
-24 0.259519601522092 4 9 "GO:0005789" "endoplasmic reticulum membrane" 0.605545736884881
-15 0.290838452086543 2 20 "GO:0005794" "Golgi apparatus" 0.647776552374573
9 0.753327643798055 2 5 "GO:0005815" "microtubule organizing center" 0.992495126593319
-21 0.447220070631585 2 5 "GO:0005840" "ribosome" 0.876551338437907
44 0.0671188742212714 2 7 "GO:0005856" "cytoskeleton" 0.32888248368423
37 0.190813516652575 5 5 "GO:0005874;GO:0099513;GO:0099512;GO:0099081" "polymeric cytoskeletal fiber" 0.51943679533201
21 0.405073554789707 3 6 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.862982790638941
15 0.481422155284986 4 9 "GO:0005911;GO:0070161" "anchoring junction" 0.907295600344781
12 0.637305793977546 2 6 "GO:0005929" "cilium" 0.943768152380732
12 0.651696550876416 2 6 "GO:0009506" "plasmodesma" 0.943768152380732
-12 0.426855803359858 2 20 "GO:0009507;GO:0009536" "plastid" 0.871497265193043
52 0.00725874780487708 2 11 "GO:0016607;GO:0016604" "nuclear body" 0.166810831345384
3 0.887431027793716 2 12 "GO:0030054" "cell junction" 0.992495126593319
-40 0.00186773696678608 2 26 "GO:0030076;GO:0009523;GO:0009521" "photosystem" 0.0915191113725179
39 0.0653955253687791 3 9 "GO:0030532;GO:0120114;GO:0097525;GO:0005684" "U2-type spliceosomal complex" 0.32888248368423
-43 0.123063818628087 3 5 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.464522461368536
-5 0.852295058640743 4 7 "GO:0031966" "mitochondrial membrane" 0.992495126593319
0 0.991627581925373 2 16 "GO:0031982;GO:0031410;GO:0097708" "vesicle" 1
-42 0.134083700424248 3 5 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.464522461368536
-40 0.154125907521212 3 5 "GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 0.472010591783712
-1 0.959997846984041 2 6 "GO:0043005" "neuron projection" 1
6 0.608061790644311 3 29 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.943768152380732
43 0.0102129080415541 2 15 "GO:0043233;GO:0031974;GO:0070013" "organelle lumen" 0.166810831345384
-10 0.695635346756003 2 6 "GO:0048471" "perinuclear region of cytoplasm" 0.946836999751226
7 0.654859534304998 4 16 "GO:0098588" "bounding membrane of organelle" 0.943768152380732
36 0.206112746704195 3 5 "GO:0098590" "plasma membrane region" 0.5262076694548
-3 0.891220113675633 2 8 "GO:0098791;GO:0031984" "organelle subcompartment" 0.992495126593319
-2 0.935382151421379 2 10 "GO:0099080" "supramolecular complex" 1
0 0.988937606830102 3 13 "GO:0120025;GO:0042995" "cell projection" 1
21 0.164490503944283 2 18 "GO:0140513" "nuclear protein-containing complex" 0.474119687839404
12 0.642087882333859 2 6 "GO:0140535" "intracellular protein-containing complex" 0.943768152380732
32 0.0282273221594035 2 20 "GO:1902494" "catalytic complex" 0.32888248368423
49 0.0570934006267207 3 6 "GO:1990204" "oxidoreductase complex" 0.32888248368423
8 0.770034399256133 2 5 "GO:1990234" "transferase complex" 0.992495126593319
20 0.142200753480164 2 24 "GO:1990904" "ribonucleoprotein complex" 0.464522461368536
