"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
111 0.908266663412286 2 17 "GO:0000109" "nucleotide-excision repair complex" 0.949197415176547
1285 0.0219038986565633 3 50 "GO:0000118" "histone deacetylase complex" 0.0825900248046175
1370 0.00201081043532448 3 80 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.0148425075353188
620 0.531055420967038 5 16 "GO:0000124" "SAGA complex" 0.686366320101509
2443 0.130497728518109 6 6 "GO:0000125" "PCAF complex" 0.26998461173224
1945 0.140341151975069 3 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 0.284272426442523
1596 0.367146971859533 2 5 "GO:0000137" "Golgi cis cisterna" 0.550404496539851
3745 0.034332768929113 3 5 "GO:0000138" "Golgi trans cisterna" 0.10994059462227
-38 0.811312225095001 2 655 "GO:0000139" "Golgi membrane" 0.888871632777039
-2328 0.00706016295114341 2 21 "GO:0000145" "exocyst" 0.03781630211577
840 5.57221233508559e-05 3 370 "GO:0000151" "ubiquitin ligase complex" 0.000866678025689205
430 0.382457289186193 2 65 "GO:0000152" "nuclear ubiquitin ligase complex" 0.561754298281912
757 0.490299228932324 4 13 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.658540071273607
1072 0.368981111287474 3 11 "GO:0000159" "protein phosphatase type 2A complex" 0.552203690603763
238 0.873515667023747 2 7 "GO:0000164" "protein phosphatase type 1 complex" 0.924135801047881
3009 0.0891220942455903 2 5 "GO:0000172" "ribonuclease MRP complex" 0.209798227264619
2672 0.00326879555293957 3 19 "GO:0000176" "nuclear exosome (RNase complex)" 0.0220707048574447
1425 0.0843634250290909 3 23 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.201432147066307
1367 0.0441962399912226 3 34 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.127466639179983
2420 0.171468914638662 2 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.33054483077392
-963 0.0299299707805816 6 80 "GO:0000228" "nuclear chromosome" 0.101042653294134
-1007 0.157113895315057 2 31 "GO:0000242" "pericentriolar material" 0.310988190193078
-1313 0.458104131287913 4 5 "GO:0000306" "extrinsic component of vacuolar membrane" 0.628360154884681
