"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-5 0.527302519270273 2 5 "GO:0005576" "extracellular region" 1
0 1 4 5 "GO:0005739" "mitochondrion" 1
0 1 2 5 "GO:0005783" "endoplasmic reticulum" 1
-2 0.808484641514608 2 7 "GO:0005794" "Golgi apparatus" 1
-11 0.0540175579401836 3 9 "GO:0005886" "plasma membrane" 0.540175579401836
7 0.241571118749651 2 9 "GO:0030076;GO:0009523;GO:0009521" "photosystem II" 0.805237062498837
-2 0.791653368916727 2 8 "GO:0031090" "organelle membrane" 1
3 0.676726645269534 3 9 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 1
9 0.161209611697958 2 7 "GO:0043233;GO:0070013;GO:0031974" "organelle lumen" 0.805237062498837
-4 0.527545850376039 2 7 "GO:1902494" "catalytic complex" 1
