"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-14 0.0659268024371895 2 5 "GO:0005576" "extracellular region" 0.311541949937384
11 0.150815463704892 2 5 "GO:0005739" "mitochondrion" 0.311541949937384
1 0.954173764672699 2 5 "GO:0005783" "endoplasmic reticulum" 0.97252531658747
-10 0.132928413305772 2 7 "GO:0005794" "Golgi apparatus" 0.311541949937384
-9 0.119652885563778 2 9 "GO:0005886" "plasma membrane" 0.311541949937384
9 0.155770974968692 2 9 "GO:0030076;GO:0009523;GO:0009521" "photosystem II" 0.311541949937384
0 0.97252531658747 2 8 "GO:0031090" "organelle membrane" 0.97252531658747
0 0.947562480329247 3 9 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 0.97252531658747
8 0.260672834379827 3 7 "GO:0043233;GO:0070013;GO:0031974" "intracellular organelle lumen" 0.41947102102485
7 0.293629714717395 2 7 "GO:1902494" "catalytic complex" 0.41947102102485
