"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
316 0.777445039457388 2 6 "GO:0000009" "alpha-1,6-mannosyltransferase activity" 0.929885243272562
374 0.717460235260011 2 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.907233062511508
-23 0.982463199988396 6 7 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.994693032353397
120 0.816115883331851 5 28 "GO:0000030" "mannosyltransferase activity" 0.941414894302376
935 0.00729135301849313 3 62 "GO:0000049" "tRNA binding" 0.124848430632444
-1126 0.0998631942936489 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.443029443775461
-10 0.991900142877085 2 8 "GO:0000095" "S-adenosyl-L-methionine transmembrane transporter activity" 0.998551797159711
-671 0.396070052293246 4 12 "GO:0000104" "succinate dehydrogenase activity" 0.742267999253019
-511 0.621342968716406 8 7 "GO:0000146" "microfilament motor activity" 0.878885126764076
685 0.144628389174883 3 34 "GO:0000149" "SNARE binding" 0.513299301217039
-1199 0.246326137233683 2 7 "GO:0000155;GO:0140299" "small molecule sensor activity" 0.620978024483831
-82 0.941735392788541 7 6 "GO:0000210" "NAD+ diphosphatase activity" 0.981727547259344
625 0.518174853513602 4 8 "GO:0000215" "tRNA 2'-phosphotransferase activity" 0.8170857055929
547 0.439310822088953 5 15 "GO:0000217" "DNA secondary structure binding" 0.768400290965624
-802 0.438095131760104 5 7 "GO:0000254" "C-4 methylsterol oxidase activity" 0.767649638416268
79 0.697284664816552 2 186 "GO:0000287" "magnesium ion binding" 0.899967643593492
290 0.604449437763252 5 24 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine nucleotide transmembrane transporter activity" 0.871295664047421
964 0.318946003376371 4 8 "GO:0000339" "RNA cap binding" 0.680419970375292
1772 0.147445176835486 6 5 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.520380629556551
3225 0.00181590484002984 3 7 "GO:0000386" "second spliceosomal transesterification activity" 0.0506378035391178
497 0.60734697600236 2 8 "GO:0000400" "four-way junction DNA binding" 0.871295664047421
-1091 0.372637746262087 2 5 "GO:0000403" "Y-form DNA binding" 0.711730803036785
