"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2290 0.0403502886451279 2 6 "GO:0000009" "alpha-1,6-mannosyltransferase activity" 0.470377856855012
1883 0.0686345481668008 2 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.572347346367158
222 0.82989838075912 6 7 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.977078930887953
-194 0.707745459754088 5 28 "GO:0000030" "mannosyltransferase activity" 0.950150713507551
-90 0.795670205510423 3 62 "GO:0000049" "tRNA binding" 0.975999944161177
-83 0.90323028791499 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.991536305606197
826 0.39332976404592 2 8 "GO:0000095" "S-adenosyl-L-methionine transmembrane transporter activity" 0.83974166204408
-176 0.823697072548562 4 12 "GO:0000104" "succinate dehydrogenase activity" 0.976973888130786
-2299 0.0261897999489426 8 7 "GO:0000146" "microfilament motor activity" 0.423568703638736
296 0.528925789219826 3 34 "GO:0000149" "SNARE binding" 0.880222638952493
-2254 0.0292899255124265 2 7 "GO:0000155;GO:0140299" "small molecule sensor activity" 0.43979949692505
2140 0.0554142783441351 7 6 "GO:0000210" "NAD+ diphosphatase activity" 0.530238584939959
-952 0.325202871536261 4 8 "GO:0000215" "tRNA 2'-phosphotransferase activity" 0.830566014006628
-991 0.161008251406378 5 15 "GO:0000217" "DNA secondary structure binding" 0.702925654234717
59 0.954249302421168 5 7 "GO:0000254" "C-4 methylsterol oxidase activity" 0.991536305606197
148 0.464746483611764 2 186 "GO:0000287" "magnesium ion binding" 0.859371469561966
-25 0.964386461439617 5 24 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine nucleotide transmembrane transporter activity" 0.991536305606197
1727 0.0742441714397871 4 8 "GO:0000339" "RNA cap binding" 0.572347346367158
808 0.509077566318189 6 5 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.876567491935715
1066 0.302463229261971 3 7 "GO:0000386" "second spliceosomal transesterification activity" 0.828756832802371
-292 0.762725388689073 2 8 "GO:0000400" "four-way junction DNA binding" 0.973897574152604
-679 0.579156207825353 2 5 "GO:0000403" "Y-form DNA binding" 0.904908102878172
-437 0.720937722289523 2 5 "GO:0000405" "bubble DNA binding" 0.950792496295626
-836 0.419147771648506 2 7 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 0.855057062557354
971 0.427539509721045 2 5 "GO:0000822" "inositol hexakisphosphate binding" 0.855057062557354
-775 0.423079900350418 2 8 "GO:0000900;GO:0030371" "translation repressor activity" 0.855057062557354
10 0.973595901583452 3 84 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 0.991536305606197
575 0.096514748409855 2 63 "GO:0000978;GO:0000977;GO:0000987" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.627989296320123
-625 0.263407164570443 3 24 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.810446696525826
1271 0.00166771537320109 4 46 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.162769020424426
634 0.511997421465366 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.876567491935715
115 0.925073747884562 2 5 "GO:0001069" "regulatory region RNA binding" 0.991536305606197
73 0.947796734402975 3 6 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.991536305606197
-115 0.918120006155329 4 6 "GO:0001103;GO:0070491" "repressing transcription factor binding" 0.991536305606197
1674 0.00946199889313432 3 18 "GO:0001162;GO:0001161" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.301216637941092
400 0.720303604040952 3 6 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.950792496295626
-645 0.434310700490158 2 11 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.855057062557354
-87 0.898956815611321 2 16 "GO:0001540" "amyloid-beta binding" 0.991536305606197
1323 0.279650977467932 3 5 "GO:0001618;GO:0140272" "virus receptor activity" 0.821608854054258
365 0.63059174546561 2 13 "GO:0001653" "peptide receptor activity" 0.925500065525467
921 0.208138390207771 2 14 "GO:0001664" "G protein-coupled receptor binding" 0.76695542081247
665 0.331066633557858 2 16 "GO:0001671" "ATPase activator activity" 0.830566014006628
338 0.632033826970066 2 15 "GO:0002020" "protease binding" 0.926223746430607
-144 0.80487515188471 3 22 "GO:0002039" "p53 binding" 0.975999944161177
-174 0.866500462949562 4 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.988317468299064
-469 2.65800190108944e-05 3 645 "GO:0003677" "DNA binding" 0.00518841971092659
106 0.855617648955198 2 22 "GO:0003678" "DNA helicase activity" 0.987095538274555
-317 0.21720842934061 2 115 "GO:0003682" "chromatin binding" 0.776715683457093
834 0.0460109035676626 2 43 "GO:0003684" "damaged DNA binding" 0.502915160484128
145 0.90548015831094 2 5 "GO:0003688" "DNA replication origin binding" 0.991536305606197
-826 0.459800730135358 2 6 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.859371469561966
-112 0.650713345428531 5 123 "GO:0003690" "double-stranded DNA binding" 0.930682489378307
-286 0.435813228014512 5 56 "GO:0003697" "single-stranded DNA binding" 0.855057062557354
-370 0.303859807734101 2 58 "GO:0003700" "DNA-binding transcription factor activity" 0.828756832802371
847 0.0158753603931112 2 61 "GO:0003712" "transcription coregulator activity" 0.358151294188161
1044 0.0242464773174534 3 35 "GO:0003713" "transcription coactivator activity" 0.423568703638736
461 0.430107844767151 2 22 "GO:0003714" "transcription corepressor activity" 0.855057062557354
-714 0.366050484666968 3 12 "GO:0003724" "RNA helicase activity" 0.839371984241822
56 0.922107121049608 3 23 "GO:0003725" "double-stranded RNA binding" 0.991536305606197
-491 0.134171382793095 3 70 "GO:0003727" "single-stranded RNA binding" 0.686907136722027
-580 0.00149896070571764 3 230 "GO:0003729" "mRNA binding" 0.162553960975602
-909 0.00369110642104328 5 77 "GO:0003730" "mRNA 3'-UTR binding" 0.202885823598155
-2461 1.20184028732826e-27 2 149 "GO:0003735" "structural constituent of ribosome" 1.17299612043238e-24
371 0.40982882086278 3 37 "GO:0003743" "translation initiation factor activity" 0.848161062709068
401 0.423279252652194 3 30 "GO:0003746" "translation elongation factor activity" 0.855057062557354
-1602 0.0640908365302317 6 10 "GO:0003747;GO:0008079" "translation release factor activity" 0.572347346367158
135 0.590137367725811 2 120 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.904908102878172
935 0.0332255340713143 4 39 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.450390572966705
-439 0.0192543653357586 2 218 "GO:0003777;GO:0003774" "motor activity" 0.389524085268643
-186 0.484368790050387 4 107 "GO:0003779" "actin binding" 0.865831390273219
-461 0.594350762040402 2 10 "GO:0003785" "actin monomer binding" 0.904908102878172
431 0.699957839762598 2 6 "GO:0003841;GO:0042171" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.949427787733451
179 0.844270387283055 2 9 "GO:0003843" "1,3-beta-D-glucan synthase activity" 0.98131270631822
68 0.947533580343256 2 7 "GO:0003844;GO:0102752" "1,4-alpha-glucan branching enzyme activity" 0.991536305606197
-26 0.981357116091768 3 6 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.991536305606197
972 0.38398863615015 3 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.839371984241822
-1169 0.123659875807535 2 13 "GO:0003872" "6-phosphofructokinase activity" 0.675496147699689
1250 0.263160126877624 2 6 "GO:0003873;GO:0004331" "6-phosphofructo-2-kinase activity" 0.810446696525826
591 0.517410296600047 2 9 "GO:0003886" "DNA (cytosine-5-)-methyltransferase activity" 0.876567491935715
976 0.0509339949164988 4 30 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.503406775584329
-1514 0.143191517911263 2 7 "GO:0003896" "DNA primase activity" 0.686907136722027
-1183 0.00956733173788304 3 36 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.301216637941092
-1077 0.265646146596812 3 8 "GO:0003909;GO:0016886" "ligase activity, forming phosphoric ester bonds" 0.810446696525826
390 0.706281799989921 3 7 "GO:0003913" "DNA photolyase activity" 0.950150713507551
