"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-139 0.907497377938447 2 14 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.96615189256192
-407 0.606800932474762 5 32 "GO:0000030" "mannosyltransferase activity" 0.841599022713341
1948 0.000205745161324364 3 73 "GO:0000049" "tRNA binding" 0.00538611440181281
363 0.697419231047168 7 23 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 0.878871908125928
-617 0.527313701939607 8 21 "GO:0000146" "microfilament motor activity" 0.79859699074738
1249 0.00414902223290944 3 106 "GO:0000149" "SNARE binding" 0.0486597327475619
1524 0.0335607098477839 4 39 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.183475659959289
383 0.776747191250907 2 11 "GO:0000182" "rDNA binding" 0.913995738688604
-2007 0.00329163447110657 5 43 "GO:0000217" "DNA secondary structure binding" 0.0435040584423546
3116 0.0879514584471078 5 6 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 0.323149970133985
1201 0.548385617011795 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.814522101863517
58 0.839205828595861 2 250 "GO:0000287" "magnesium ion binding" 0.940922488716088
1042 0.400865490879825 5 13 "GO:0000295;GO:0005346;GO:0015216" "purine nucleotide transmembrane transporter activity" 0.696757864761327
1312 0.121040047693612 4 28 "GO:0000339;GO:0000340" "RNA cap binding" 0.379967258926842
5497 0.0026092461475883 3 6 "GO:0000386" "second spliceosomal transesterification activity" 0.0373421281736829
-1754 0.0660859362970774 2 22 "GO:0000400" "four-way junction DNA binding" 0.276157025511826
-2789 0.0196715191512141 2 14 "GO:0000403" "Y-form DNA binding" 0.13913664970516
-1538 0.254353047374792 2 11 "GO:0000405" "bubble DNA binding" 0.553609641393743
-2872 0.0894120512512327 2 7 "GO:0000406" "double-strand/single-strand DNA junction binding" 0.324338597537493
845 0.672618486417387 2 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.865723179181641
1872 0.349465646001932 2 5 "GO:0000822" "inositol hexakisphosphate binding" 0.655136364499786
-3130 0.117721050234176 2 5 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.374358046948594
56 0.836439689527372 2 274 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.940922488716088
