"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
8 0.28116582639776 2 8 "GO:0003677" "DNA binding" 0.627952369523577
7 0.358829925442044 4 9 "GO:0003723" "RNA binding" 0.627952369523577
-17 0.0310535474571522 6 7 "GO:0005506" "iron ion binding" 0.356786851736416
13 0.0509695502480594 2 10 "GO:0005515" "protein binding" 0.356786851736416
4 0.646093665660457 5 8 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "purine ribonucleoside binding" 0.799684063123776
-6 0.492920546545877 2 7 "GO:0008233" "peptidase activity" 0.703268936104703
4 0.685443482677522 2 5 "GO:0009055" "electron transfer activity" 0.799684063123776
-6 0.502334954360502 3 6 "GO:0015078" "proton transmembrane transporter activity" 0.703268936104703
-8 0.29823828512327 4 8 "GO:0016168" "chlorophyll binding" 0.627952369523577
-3 0.77233744129278 2 5 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.831748013699917
-8 0.343299054248384 2 6 "GO:0016874" "ligase activity" 0.627952369523577
9 0.291815926471064 3 6 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.627952369523577
0 1 2 9 "GO:0022890;GO:0008324" "inorganic cation transmembrane transporter activity" 1
14 0.123761355606477 3 5 "GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.577552992830226
