"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-75 0.950298839116876 2 14 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.988164332750878
-186 0.813878399871613 5 32 "GO:0000030" "mannosyltransferase activity" 0.937942320081593
1521 0.00374957317380314 3 73 "GO:0000049" "tRNA binding" 0.054968742727954
1644 0.078111782712472 7 23 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 0.324396242086357
-1119 0.252013779803352 8 21 "GO:0000146" "microfilament motor activity" 0.57404271850857
1604 0.000233038981815608 3 106 "GO:0000149" "SNARE binding" 0.00697214586411595
1553 0.0302657767715984 4 39 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.193753837323857
-7 0.99572178844489 2 11 "GO:0000182" "rDNA binding" 0.998255712960104
-1953 0.00423273334755024 5 43 "GO:0000217" "DNA secondary structure binding" 0.0579924026869967
861 0.637437181828897 5 6 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 0.860363767953042
1868 0.350519919168739 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.657338194558197
160 0.57431187011164 2 250 "GO:0000287" "magnesium ion binding" 0.817312461607578
272 0.826295847257594 5 13 "GO:0000295;GO:0005346;GO:0015216" "purine nucleotide transmembrane transporter activity" 0.940427318209548
1122 0.184566490273579 4 28 "GO:0000339;GO:0000340" "RNA cap binding" 0.498460302027017
5666 0.00191656178568936 3 6 "GO:0000386" "second spliceosomal transesterification activity" 0.033565965216151
-1800 0.0592029032334057 2 22 "GO:0000400" "four-way junction DNA binding" 0.275555403384943
-2232 0.0619244826830163 2 14 "GO:0000403" "Y-form DNA binding" 0.280471758298793
968 0.472820925519481 2 11 "GO:0000405" "bubble DNA binding" 0.741342755948192
-4406 0.00915980824588024 2 7 "GO:0000406" "double-strand/single-strand DNA junction binding" 0.095236020485535
2247 0.261259942140972 2 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.579435817214319
911 0.64868593534399 2 5 "GO:0000822" "inositol hexakisphosphate binding" 0.865308081177697
-3316 0.0973433164824176 2 5 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.368747550292569
