"","pval","direction","color"
"7/8 purine ribonucleotide biosynthetic process",0.0342161381053508,0,"skyblue2"
"14/17 transmembrane transport",0.000105460097848437,0,"dodgerblue2"
"9/11 inorganic ion transmembrane transport",0.00259291543043382,0,"dodgerblue2"
"9/9 protein catabolic process",0.00259291543043382,1,"firebrick1"
"11/13 organonitrogen compound catabolic process",0.00259291543043382,1,"firebrick1"
"22/25 RNA metabolic process",0.00109145556471866,1,"firebrick1"
"10/11 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.00259291543043382,1,"firebrick1"
"17/18 mRNA processing",0.000105460097848437,1,"firebrick1"
"14/18 protein-containing complex assembly",0.00596462363416617,1,"firebrick1"
"19/24 cellular component assembly",0.00259291543043382,1,"firebrick1"
"7/7 ribonucleoprotein complex subunit organization",0.0107313685382686,1,"lightcoral"
