"","pval","direction","color"
"58/111 chloroplast-nucleus signaling pathway",0.00660802330767071,0,"dodgerblue2"
"65/141 protein localization to cell periphery",0.00525311403402046,1,"firebrick1"
"92/207 Golgi vesicle transport",0.00951724807590806,1,"firebrick1"
"61/133 endoplasmic reticulum to Golgi vesicle-mediated transport",0.000735013709392814,1,"firebrick1"
"186/474 vesicle-mediated transport",0.00323470224458948,1,"firebrick1"
"120/284 posttranscriptional regulation of gene expression",0.00784170563418339,0,"dodgerblue2"
"54/122 regulation of mRNA catabolic process",0.0120993925461226,0,"skyblue2"
"347/707 cellular nitrogen compound biosynthetic process",0.0198641539810301,0,"skyblue2"
"185/325 cellular amide metabolic process",5.15911198809995e-09,0,"dodgerblue2"
"165/287 peptide metabolic process",3.9378733769601e-09,0,"dodgerblue2"
"16/23 cytoplasmic translation",0.000825654728792802,0,"dodgerblue2"
"119/176 peptide biosynthetic process",1.06032586277795e-15,0,"dodgerblue2"
"8/8 ribosomal small subunit assembly",0.00221996809662744,0,"dodgerblue2"
"286/557 macromolecule biosynthetic process",2.55352333767031e-06,0,"dodgerblue2"
