"","pval","direction","color"
"14/17 methyltransferase complex",0.0455150504378274,1,"lightcoral"
"103/202 nuclear body",5.67094709548972e-05,1,"firebrick1"
"71/134 nuclear speck",0.000322983092289163,1,"firebrick1"
"17/41 catalytic step 2 spliceosome",0.0145051775484246,1,"lightcoral"
"209/416 nuclear protein-containing complex",1.10479648308463e-08,1,"firebrick1"
"70/127 spliceosomal complex",7.37471369149441e-06,1,"firebrick1"
"30/41 U2-type spliceosomal complex",0.028190485414947,1,"lightcoral"
"11/14 U5 snRNP",0.00636965051148026,1,"firebrick1"
"206/420 ribonucleoprotein complex",1.38506464989505e-06,1,"firebrick1"
"152/300 nucleolus",0.00636965051148026,1,"firebrick1"
"235/478 nucleoplasm",0.00636965051148026,1,"firebrick1"
"8/10 proteasome core complex",0.00626786100779211,1,"firebrick1"
"109/287 cilium",0.0304227474467197,0,"skyblue2"
"47/137 motile cilium",0.010614163875182,0,"skyblue2"
"47/111 calcium channel complex",5.67094709548972e-05,0,"dodgerblue2"
"136/341 transporter complex",1.10479648308463e-08,0,"dodgerblue2"
"270/591 membrane protein complex",1.92557805184822e-07,0,"dodgerblue2"
"26/61 sodium channel complex",0.000702446928857373,0,"dodgerblue2"
"8/18 C-fiber",0.00803533470402135,0,"dodgerblue2"
"151/390 intrinsic component of plasma membrane",0.000663223707265583,0,"dodgerblue2"
"20/52 integral component of presynaptic membrane",0.00292355766944747,0,"dodgerblue2"
"269/569 plastid",0.000702446928857373,0,"dodgerblue2"
"5/9 proton-transporting ATP synthase complex, coupling factor F(o)",0.0267566016587158,0,"skyblue2"
"94/167 thylakoid membrane",1.82946127315404e-07,0,"dodgerblue2"
"40/64 photosystem",1.33517975366026e-05,0,"dodgerblue2"
