"","pval","direction","color"
"13/78 RNA-directed RNA polymerase complex",0.0383841669520462,1,"lightcoral"
"5/8 proteasome regulatory particle",0.00239622151110572,0,"dodgerblue2"
"4/6 proteasome regulatory particle, lid subcomplex",0.023218228521407,0,"skyblue2"
"7/17 proteasome accessory complex",0.0121730596316012,0,"skyblue2"
"83/333 organelle inner membrane",0.0495562940359319,0,"skyblue2"
"108/485 mitochondrial membrane",0.0383841669520462,0,"skyblue2"
"229/1077 mitochondrion",0.00239622151110572,0,"dodgerblue2"
"39/171 mitochondrial protein-containing complex",0.0400069819442245,0,"skyblue2"
"16/62 small nuclear ribonucleoprotein complex",0.0458512865312052,0,"skyblue2"
"18/80 Sm-like protein family complex",0.0400069819442245,0,"skyblue2"
"28/84 preribosome",0.0458512865312052,0,"skyblue2"
"10/21 sno(s)RNA-containing ribonucleoprotein complex",0.0383841669520462,0,"skyblue2"
"147/572 ribonucleoprotein complex",2.58857563545687e-05,0,"dodgerblue2"
"36/139 ribosomal subunit",2.58857563545687e-05,0,"dodgerblue2"
"21/77 large ribosomal subunit",0.00239622151110572,0,"dodgerblue2"
"10/36 cytosolic large ribosomal subunit",0.0383841669520462,0,"skyblue2"
"15/62 small ribosomal subunit",0.0383841669520462,0,"skyblue2"
"10/38 cytosolic small ribosomal subunit",0.0383841669520462,0,"skyblue2"
"4/7 Arp2/3 protein complex",0.048226906604739,0,"skyblue2"
"6/17 proteasome core complex",0.0383841669520462,0,"skyblue2"
"49/192 endoplasmic reticulum lumen",0.00239622151110572,1,"firebrick1"
"57/348 transporter complex",0.0383841669520462,1,"lightcoral"
"88/483 plasma membrane protein complex",0.0137776877047947,1,"lightcoral"
"26/141 mitotic spindle",0.023218228521407,1,"lightcoral"
"40/202 spindle pole",0.0406944014186306,1,"lightcoral"
"128/735 microtubule organizing center",0.00239622151110572,1,"firebrick1"
"13/36 extrinsic component of cytoplasmic side of plasma membrane",0.0458512865312052,1,"lightcoral"
"20/85 extrinsic component of plasma membrane",0.0495562940359319,1,"lightcoral"
"48/234 extrinsic component of membrane",0.0400069819442245,1,"lightcoral"
"117/541 perinuclear region of cytoplasm",0.0270542939069438,1,"lightcoral"
"242/1296 intracellular vesicle",0.0383841669520462,1,"lightcoral"
"5/8 postsynaptic recycling endosome",0.0444761310512788,1,"lightcoral"
"162/948 supramolecular complex",0.0458512865312052,1,"lightcoral"
"29/131 cytoplasmic region",0.0137776877047947,1,"lightcoral"
"278/1479 cell junction",0.0262146317509928,1,"lightcoral"
"6/14 hemidesmosome",0.0383841669520462,1,"lightcoral"
