"","pval","direction","color"
"9/12 threonine-type peptidase activity",0.0152459721463591,1,"lightcoral"
"6/10 L-ascorbate peroxidase activity",0.0306872069336878,0,"skyblue2"
"18/36 oxidoreductase activity, acting on peroxide as acceptor",0.0224166701712642,0,"skyblue2"
"26/59 antioxidant activity",0.0332379641439077,0,"skyblue2"
"34/55 chlorophyll binding",6.40055387283319e-05,0,"dodgerblue2"
"99/174 tetrapyrrole binding",1.92216700849949e-05,0,"dodgerblue2"
"63/120 cis-trans isomerase activity",0.0173064398964332,1,"lightcoral"
"234/450 zinc ion binding",0.0413888808169143,1,"lightcoral"
"86/157 unfolded protein binding",0.00181661576986386,1,"firebrick1"
"33/68 ribonucleoprotein complex binding",0.00374444435708541,1,"firebrick1"
"152/324 protein-containing complex binding",0.00301525590127816,1,"firebrick1"
"110/230 mRNA binding",3.26874801768488e-05,1,"firebrick1"
"11/17 pre-mRNA binding",0.0173064398964332,1,"lightcoral"
"93/184 catalytic activity, acting on DNA",0.01390816761011,1,"lightcoral"
"63/106 intramolecular transferase activity",0.0243280050591681,0,"skyblue2"
"235/436 catalytic activity, acting on RNA",0.00256524587437782,1,"firebrick1"
"162/294 S-adenosylmethionine-dependent methyltransferase activity",0.048345886473036,1,"lightcoral"
"237/430 transferase activity, transferring one-carbon groups",0.031860513889542,1,"lightcoral"
"68/119 RNA methyltransferase activity",0.0237618645521192,1,"lightcoral"
"69/135 cysteine-type peptidase activity",0.0367007806937387,0,"skyblue2"
"237/577 calcium ion binding",0.00181661576986386,0,"dodgerblue2"
"137/369 active transmembrane transporter activity",0.0332379641439077,0,"skyblue2"
"56/146 active ion transmembrane transporter activity",0.0367007806937387,0,"skyblue2"
"40/98 sodium channel activity",0.00331324046270455,0,"dodgerblue2"
"61/146 sodium ion transmembrane transporter activity",5.15776636684538e-05,0,"dodgerblue2"
"98/251 voltage-gated cation channel activity",0.000222918261256702,0,"dodgerblue2"
"13/29 high voltage-gated calcium channel activity",0.0132660680796102,0,"skyblue2"
"133/335 voltage-gated channel activity",1.31095958082054e-06,0,"dodgerblue2"
"189/456 passive transmembrane transporter activity",2.13738561138183e-08,0,"dodgerblue2"
"173/450 metal ion transmembrane transporter activity",1.35905626122654e-06,0,"dodgerblue2"
"248/612 cation transmembrane transporter activity",1.31095958082054e-06,0,"dodgerblue2"
"73/177 calcium ion transmembrane transporter activity",1.92918432431919e-05,0,"dodgerblue2"
"61/141 calcium channel activity",1.92918432431919e-05,0,"dodgerblue2"
"361/910 ion transmembrane transporter activity",9.86671933095925e-07,0,"dodgerblue2"
