"","pval","direction","color"
"4/8 proteasome-activating ATPase activity",0.00938781330611852,0,"dodgerblue2"
"4/10 beta-glucosidase activity",0.0321493566280477,0,"skyblue2"
"4/6 translation release factor activity",0.0408549662844049,0,"skyblue2"
"50/138 translation regulator activity",0.000805316689924914,0,"dodgerblue2"
"26/58 translation initiation factor activity",7.05253519592023e-05,0,"dodgerblue2"
"41/101 translation regulator activity, nucleic acid binding",2.78593020441842e-05,0,"dodgerblue2"
"5/6 3-oxo-cerotoyl-CoA synthase activity",0.00648460217995405,0,"dodgerblue2"
"18/55 O-acyltransferase activity",0.0380198400455173,0,"skyblue2"
"4/7 peptide alpha-N-acetyltransferase activity",0.00706384881939085,0,"dodgerblue2"
"77/228 transferase activity, transferring acyl groups other than amino-acyl groups",0.005381211629005,0,"dodgerblue2"
"9/31 thiolester hydrolase activity",0.0117196541524266,0,"skyblue2"
"7/24 triglyceride lipase activity",0.026113275061201,0,"skyblue2"
"42/150 carboxylic ester hydrolase activity",0.00263667659878729,0,"dodgerblue2"
"25/93 pyridoxal phosphate binding",0.0447458451604661,0,"skyblue2"
"4/7 glutathione disulfide oxidoreductase activity",0.00938781330611852,0,"dodgerblue2"
"9/21 glutathione transferase activity",0.00241967224123822,0,"dodgerblue2"
"24/63 transferase activity, transferring alkyl or aryl (other than methyl) groups",0.00224687271142705,0,"dodgerblue2"
"4/5 glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity",0.0422297436305059,1,"lightcoral"
"3/10 ferric iron binding",0.0164374352440266,0,"skyblue2"
"17/91 oxidoreductase activity, acting on the CH-CH group of donors",0.00661910373693538,0,"dodgerblue2"
"11/26 quinone binding",0.049317011928653,0,"skyblue2"
"26/122 iron-sulfur cluster binding",0.00167961155216251,0,"dodgerblue2"
"11/18 NADH dehydrogenase (ubiquinone) activity",0.0447458451604661,0,"skyblue2"
"35/84 oxidoreductase activity, acting on NAD(P)H",0.0193529706565099,0,"skyblue2"
"9/29 FMN binding",0.0341253358289643,0,"skyblue2"
"20/64 NADP binding",0.00706384881939085,0,"dodgerblue2"
"53/242 oxidoreductase activity, acting on CH-OH group of donors",0.000874466941387246,0,"dodgerblue2"
"7/26 aldo-keto reductase (NADP) activity",0.0272331861045503,0,"skyblue2"
"326/1315 oxidoreductase activity",0.000165146016523643,0,"dodgerblue2"
"3/12 chitinase activity",0.0235681405161318,0,"skyblue2"
"31/146 structural constituent of ribosome",0.000603137840445171,0,"dodgerblue2"
"6/25 oxidized DNA binding",0.0204856087849328,0,"skyblue2"
"5/17 phosphatidylinositol phospholipase C activity",0.049317011928653,1,"lightcoral"
"12/14 threonine-type endopeptidase activity",7.06686277159839e-06,0,"dodgerblue2"
"13/38 threonine-type peptidase activity",0.0279381621065191,0,"skyblue2"
"45/236 serine hydrolase activity",0.000219122947478836,0,"dodgerblue2"
"66/371 metallopeptidase activity",0.000215709373555336,0,"dodgerblue2"
"209/1026 peptidase activity",0.0180314647848574,0,"skyblue2"
"147/712 endopeptidase activity",0.000900302467696731,0,"dodgerblue2"
"43/229 metalloendopeptidase activity",0.000183491310453699,0,"dodgerblue2"
"39/295 DNA polymerase activity",0.0246522742368993,1,"lightcoral"
"6/15 RNA-directed 5'-3' RNA polymerase activity",0.0178706044430407,1,"lightcoral"
"11/45 DNA-directed 5'-3' RNA polymerase activity",0.0136068218742213,0,"skyblue2"
"298/1435 transferase activity, transferring phosphorus-containing groups",1.65323009674802e-05,1,"firebrick1"
"13/36 coreceptor activity",0.0180314647848574,1,"lightcoral"
"118/556 protein serine/threonine kinase activity",0.00852045254469149,1,"firebrick1"
"226/1006 kinase activity",6.24101456807017e-05,1,"firebrick1"
"65/254 protein tyrosine kinase activity",6.56002162198063e-05,1,"firebrick1"
"39/162 transmembrane receptor protein kinase activity",0.00706384881939085,1,"firebrick1"
"232/1250 signaling receptor activity",0.033214513017868,1,"lightcoral"
"20/55 NAD+ ADP-ribosyltransferase activity",0.000163490489331649,1,"firebrick1"
"15/44 NAD+ binding",0.0479004540496489,1,"lightcoral"
"111/429 chromatin binding",0.0341765089053193,1,"lightcoral"
"26/92 2-oxoglutarate-dependent dioxygenase activity",0.0380263506591235,1,"lightcoral"
"7/21 histone demethylase activity (H3-K36 specific)",0.0238044696121849,1,"lightcoral"
"3/17 histone demethylase activity (H3-K4 specific)",0.0208801250382288,1,"lightcoral"
"13/61 demethylase activity",0.000805316689924914,1,"firebrick1"
"10/41 protein demethylase activity",0.000527202745398655,1,"firebrick1"
"185/614 DNA-binding transcription factor activity",0.0107018859039796,1,"lightcoral"
"233/822 transcription regulator activity",0.000513009794419451,1,"firebrick1"
"80/355 nucleoside-triphosphatase regulator activity",0.0188200595060406,1,"lightcoral"
"68/260 transcription coregulator activity",0.0188200595060406,1,"lightcoral"
"323/1229 molecular function regulator",0.00285996001621802,1,"firebrick1"
"9/26 phosphatidylinositol-3,4-bisphosphate binding",0.0321493566280477,1,"lightcoral"
"33/138 phosphatidylinositol phosphate binding",0.0062769093015548,1,"firebrick1"
"55/223 phosphatidylinositol binding",0.049755334442574,1,"lightcoral"
"86/373 phospholipid binding",0.0152611098037312,1,"lightcoral"
"13/52 phosphatidylinositol-3-phosphate binding",0.025758080528072,1,"lightcoral"
"44/175 molecular adaptor activity",0.000498408136002906,1,"firebrick1"
"11/39 signaling adaptor activity",0.0281107829543877,1,"lightcoral"
"82/362 tubulin binding",0.0489759584376425,1,"lightcoral"
"105/409 actin binding",0.0022754368047782,1,"firebrick1"
"225/909 cytoskeletal protein binding",7.06686277159839e-06,1,"firebrick1"
"177/675 ubiquitin-like protein transferase activity",1.9246296987363e-12,1,"firebrick1"
"74/295 ubiquitin-like protein ligase activity",7.08984990715002e-05,1,"firebrick1"
"33/86 polyubiquitin modification-dependent protein binding",0.00263667659878729,1,"firebrick1"
"50/180 modification-dependent protein binding",0.00107546925814314,1,"firebrick1"
