DateTime,TempC,Day,Incubator
10/30/20 12:00,18.32,1,control
10/30/20 12:10,18.36,1,control
10/30/20 12:20,18.27,1,control
10/30/20 12:30,18.32,1,control
10/30/20 12:40,18.32,1,control
10/30/20 12:50,18.32,1,control
10/30/20 13:00,18.44,1,control
10/30/20 13:10,18.53,1,control
10/30/20 13:20,18.53,1,control
10/30/20 13:30,18.53,1,control
10/30/20 13:40,18.53,1,control
10/30/20 13:50,18.57,1,control
10/30/20 14:00,18.57,1,control
10/30/20 14:10,18.49,1,control
10/30/20 14:20,18.53,1,control
10/30/20 14:30,18.57,1,control
10/30/20 14:40,18.57,1,control
10/30/20 14:50,18.53,1,control
10/30/20 15:00,18.57,1,control
10/30/20 15:10,18.57,1,control
10/30/20 15:20,18.53,1,control
10/30/20 15:30,18.53,1,control
10/30/20 15:40,18.53,1,control
10/30/20 15:50,18.53,1,control
10/30/20 16:00,18.57,1,control
10/30/20 16:10,18.53,1,control
10/30/20 16:20,18.53,1,control
10/30/20 16:30,18.53,1,control
10/30/20 16:40,18.53,1,control
10/30/20 16:50,18.53,1,control
10/30/20 17:00,18.53,1,control
10/30/20 17:10,18.53,1,control
10/30/20 17:20,18.53,1,control
10/30/20 17:30,18.57,1,control
10/30/20 17:40,18.57,1,control
10/30/20 17:50,18.53,1,control
10/30/20 18:00,18.53,1,control
10/30/20 18:10,18.53,1,control
10/30/20 18:20,18.53,1,control
10/30/20 18:30,18.53,1,control
10/30/20 18:40,18.57,1,control
10/30/20 18:50,18.57,1,control
10/30/20 19:00,18.57,1,control
10/30/20 19:10,18.53,1,control
10/30/20 19:20,18.57,1,control
10/30/20 19:30,18.53,1,control
10/30/20 19:40,18.57,1,control
10/30/20 19:50,18.57,1,control
10/30/20 20:00,18.57,1,control
10/30/20 20:10,18.53,1,control
10/30/20 20:20,18.62,1,control
10/30/20 20:30,18.53,1,control
10/30/20 20:40,18.57,1,control
10/30/20 20:50,18.53,1,control
10/30/20 21:00,18.53,1,control
10/30/20 21:10,18.53,1,control
10/30/20 21:20,18.53,1,control
10/30/20 21:30,18.53,1,control
10/30/20 21:40,18.53,1,control
10/30/20 21:50,18.49,1,control
10/30/20 22:00,18.53,1,control
10/30/20 22:10,18.53,1,control
10/30/20 22:20,18.57,1,control
10/30/20 22:30,18.53,1,control
10/30/20 22:40,18.53,1,control
10/30/20 22:50,18.53,1,control
10/30/20 23:00,18.53,1,control
10/30/20 23:10,18.53,1,control
10/30/20 23:20,18.57,1,control
10/30/20 23:30,18.57,1,control
10/30/20 23:40,18.57,1,control
10/30/20 23:50,18.57,1,control
10/31/20 0:00,18.53,1,control
10/31/20 0:10,18.57,1,control
10/31/20 0:20,18.53,1,control
10/31/20 0:30,18.57,1,control
10/31/20 0:40,18.53,1,control
10/31/20 0:50,18.53,1,control
10/31/20 1:00,18.53,1,control
10/31/20 1:10,18.53,1,control
10/31/20 1:20,18.53,1,control
10/31/20 1:30,18.57,1,control
10/31/20 1:40,18.57,1,control
10/31/20 1:50,18.57,1,control
10/31/20 2:00,18.53,1,control
10/31/20 2:10,18.53,1,control
10/31/20 2:20,18.57,1,control
10/31/20 2:30,18.53,1,control
10/31/20 2:40,18.57,1,control
10/31/20 2:50,18.57,1,control
10/31/20 3:00,18.4,1,control
10/31/20 3:10,18.36,1,control
10/31/20 3:20,18.36,1,control
10/31/20 3:30,18.36,1,control
10/31/20 3:40,18.32,1,control
10/31/20 3:50,18.32,1,control
10/31/20 4:00,18.36,1,control
10/31/20 4:10,18.36,1,control
10/31/20 4:20,18.32,1,control
10/31/20 4:30,18.27,1,control
10/31/20 4:40,18.27,1,control
10/31/20 4:50,18.32,1,control
10/31/20 5:00,18.32,1,control
10/31/20 5:10,18.36,1,control
10/31/20 5:20,18.36,1,control
10/31/20 5:30,18.32,1,control
10/31/20 5:40,18.32,1,control
10/31/20 5:50,18.27,1,control
10/31/20 6:00,18.32,1,control
10/31/20 6:10,18.32,1,control
10/31/20 6:20,18.36,1,control
10/31/20 6:30,18.32,1,control
10/31/20 6:40,18.36,1,control
10/31/20 6:50,18.32,1,control
10/31/20 7:00,18.32,1,control
10/31/20 7:10,18.32,1,control
10/31/20 7:20,18.32,1,control
10/31/20 7:30,18.32,1,control
10/31/20 7:40,18.32,1,control
10/31/20 7:50,18.36,1,control
10/31/20 8:00,18.32,1,control
10/31/20 8:10,18.36,1,control
10/31/20 8:20,18.32,1,control
10/31/20 8:30,18.32,1,control
10/31/20 8:40,18.32,1,control
10/31/20 8:50,18.32,1,control
10/31/20 9:00,18.32,1,control
10/31/20 9:10,18.32,1,control
10/31/20 9:20,18.36,1,control
10/31/20 9:30,18.32,1,control
10/31/20 9:40,18.32,1,control
10/31/20 9:50,18.36,1,control
10/31/20 10:00,18.32,1,control
10/31/20 12:00,18.36,2,control
10/31/20 12:10,18.36,2,control
10/31/20 12:20,18.36,2,control
10/31/20 12:30,18.36,2,control
10/31/20 12:40,18.27,2,control
10/31/20 12:50,18.36,2,control
10/31/20 13:00,18.49,2,control
10/31/20 13:10,18.53,2,control
10/31/20 13:20,18.53,2,control
10/31/20 13:30,18.57,2,control
10/31/20 13:40,18.57,2,control
10/31/20 13:50,18.57,2,control
10/31/20 14:00,18.57,2,control
10/31/20 14:10,18.57,2,control
10/31/20 14:20,18.53,2,control
10/31/20 14:30,18.57,2,control
10/31/20 14:40,18.57,2,control
10/31/20 14:50,18.57,2,control
10/31/20 15:00,18.57,2,control
10/31/20 15:10,18.57,2,control
10/31/20 15:20,18.57,2,control
10/31/20 15:30,18.53,2,control
10/31/20 15:40,18.57,2,control
10/31/20 15:50,18.53,2,control
10/31/20 16:00,18.53,2,control
10/31/20 16:10,18.53,2,control
10/31/20 16:20,18.57,2,control
10/31/20 16:30,18.57,2,control
10/31/20 16:40,18.57,2,control
10/31/20 16:50,18.57,2,control
10/31/20 17:00,18.53,2,control
10/31/20 17:10,18.53,2,control
10/31/20 17:20,18.57,2,control
10/31/20 17:30,18.53,2,control
10/31/20 17:40,18.57,2,control
10/31/20 17:50,18.49,2,control
10/31/20 18:00,18.53,2,control
10/31/20 18:10,18.53,2,control
10/31/20 18:20,18.57,2,control
10/31/20 18:30,18.57,2,control
10/31/20 18:40,18.53,2,control
10/31/20 18:50,18.53,2,control
10/31/20 19:00,18.53,2,control
10/31/20 19:10,18.57,2,control
10/31/20 19:20,18.53,2,control
10/31/20 19:30,18.57,2,control
10/31/20 19:40,18.53,2,control
10/31/20 19:50,18.57,2,control
10/31/20 20:00,18.49,2,control
10/31/20 20:10,18.53,2,control
10/31/20 20:20,18.57,2,control
10/31/20 20:30,18.57,2,control
10/31/20 20:40,18.57,2,control
10/31/20 20:50,18.53,2,control
10/31/20 21:00,18.57,2,control
10/31/20 21:10,18.57,2,control
10/31/20 21:20,18.49,2,control
10/31/20 21:30,18.53,2,control
10/31/20 21:40,18.53,2,control
10/31/20 21:50,18.53,2,control
10/31/20 22:00,18.53,2,control
10/31/20 22:10,18.53,2,control
10/31/20 22:20,18.53,2,control
10/31/20 22:30,18.53,2,control
10/31/20 22:40,18.57,2,control
10/31/20 22:50,18.53,2,control
10/31/20 23:00,18.57,2,control
10/31/20 23:10,18.53,2,control
10/31/20 23:20,18.53,2,control
10/31/20 23:30,18.53,2,control
10/31/20 23:40,18.49,2,control
10/31/20 23:50,18.57,2,control
11/1/20 0:00,18.57,2,control
11/1/20 0:10,18.53,2,control
11/1/20 0:20,18.57,2,control
11/1/20 0:30,18.53,2,control
11/1/20 0:40,18.53,2,control
11/1/20 0:50,18.53,2,control
11/1/20 1:00,18.57,2,control
11/1/20 1:10,18.57,2,control
11/1/20 1:20,18.57,2,control
11/1/20 1:30,18.57,2,control
11/1/20 1:40,18.53,2,control
11/1/20 1:50,18.53,2,control
11/1/20 2:00,18.53,2,control
11/1/20 2:10,18.53,2,control
11/1/20 2:20,18.53,2,control
11/1/20 2:30,18.57,2,control
11/1/20 2:40,18.57,2,control
11/1/20 2:50,18.57,2,control
11/1/20 3:00,18.44,2,control
11/1/20 3:10,18.36,2,control
11/1/20 3:20,18.32,2,control
11/1/20 3:30,18.36,2,control
11/1/20 3:40,18.36,2,control
11/1/20 3:50,18.36,2,control
11/1/20 4:00,18.32,2,control
11/1/20 4:10,18.4,2,control
11/1/20 4:20,18.36,2,control
11/1/20 4:30,18.36,2,control
11/1/20 4:40,18.36,2,control
11/1/20 4:50,18.32,2,control
11/1/20 5:00,18.32,2,control
11/1/20 5:10,18.36,2,control
11/1/20 5:20,18.32,2,control
11/1/20 5:30,18.32,2,control
11/1/20 5:40,18.36,2,control
11/1/20 5:50,18.36,2,control
11/1/20 6:00,18.32,2,control
11/1/20 6:10,18.32,2,control
11/1/20 6:20,18.32,2,control
11/1/20 6:30,18.36,2,control
11/1/20 6:40,18.32,2,control
11/1/20 6:50,18.32,2,control
11/1/20 7:00,18.36,2,control
11/1/20 7:10,18.36,2,control
11/1/20 7:20,18.36,2,control
