day,tank_id,treatment,time,temp_C,salinity,
1,Cold_1,cold,morning,17.8,33.9,
1,Cold_2,cold,morning,17.8,33.9,
1,Cold_3,cold,morning,17.8,33.9,
1,Control_1,control,morning,17.8,33.6,
1,Control_2,control,morning,17.7,33.7,
1,Control_3,control,morning,17.7,33.7,
1,Hot_1,hot,morning,17.7,33.9,
1,Hot_2,hot,morning,17.7,34,
1,Hot_3,hot,morning,17.7,34,
1,Cold_1,cold,afternoon,17.7,34,
1,Cold_2,cold,afternoon,17.6,33.9,
1,Cold_3,cold,afternoon,17.7,34,
1,Control_1,control,afternoon,17.9,33.7,
1,Control_2,control,afternoon,17.8,33.7,
1,Control_3,control,afternoon,17.9,33.7,
1,Hot_1,hot,afternoon,17.9,34.1,
1,Hot_2,hot,afternoon ,17.9,34,
1,Hot_3,hot,afternoon ,17.9,34,
2,Cold_1,cold,morning,16.5,33.6,
2,Cold_2,cold,morning,16.5,33.8,
2,Cold_3,cold,morning,16.5,33.9,
2,Control_1,control,morning,17.7,33.6,
2,Control_2,control,morning ,17.8,33.6,
2,Control_3,control,morning,17.7,33.6,
2,Hot_1,hot,morning,18.3,33.9,
2,Hot_2,hot,morning,18.4,34,
2,Hot_3,hot,morning ,18.4,34,
2,Cold_1,cold,afternoon,16.6,34,
2,Cold_2,cold,afternoon,16.5,33.9,
2,Cold_3,cold,afternoon,16.5,33.9,
2,Control_1,control,afternoon,17.8,33.7,
2,Control_2,control,afternoon,17.8,33.7,
2,Control_3,control,afternoon,17.8,33.7,
2,Hot_1,hot,afternoon,18.2,34,
2,Hot_2,hot,afternoon,18.3,34,
2,Hot_3,hot,afternoon,18.3,34,
2,Hot_1,hot,afternoon2,19.6,NA,
2,Hot_2,hot,afternoon2,19.6,NA,
2,Hot_3,hot,afternoon2,19.6,NA,
3,Cold_1,cold,afternoon,15.4,33.7,
3,Cold_2,cold,afternoon,15.3,33.7,
3,Cold_3,cold,afternoon,15.3,33.7,
3,Control_1,control,afternoon,17.8,33.6,
3,Control_2,control,afternoon,17.8,33.6,
3,Control_3,control,afternoon,17.7,33.6,
3,Hot_1,hot,afternoon,19.6,33.9,
3,Hot_2,hot,afternoon,19.6,33.9,
3,Hot_3,hot,afternoon,19.6,33.9,
4,Cold_1,cold,afternoon,14.8,33.9,
4,Cold_2,cold,afternoon,14.7,33.9,
4,Cold_3,cold,afternoon,14.8,33.8,
4,Control_1,control,afternoon,17.7,33.8,
4,Control_2,control,afternoon,17.7,33.8,
4,Control_3,control,afternoon,17.7,33.8,
4,Hot_1,hot,afternoon,20.6,34.3,
4,Hot_2,hot,afternoon,20.7,34.3,
4,Hot_3,hot,afternoon,20.7,34.3,
5,Cold_1,cold,morning,13.6,33.7,
5,Cold_2,cold,morning,13.6,33.6,
5,Cold_3,cold,morning,13.7,33.7,
5,Control_1,control,morning,17.8,33.8,
5,Control_2,control,morning,17.8,33.8,
5,Control_3,control,morning,17.8,33.8,
5,Hot_1,hot,morning,21.2,34.1,
5,Hot_2,hot,morning,21.2,34.1,
5,Hot_3,hot,morning ,21.2,34.1,
5,Cold_1,cold,afternoon,13.6,33.9,
5,Cold_2,cold,afternoon,13.6,33.9,
5,Cold_3,cold,afternoon,13.6,33.9,
5,Control_1,control,afternoon,17.7,33.9,
5,Control_2,control,afternoon,17.7,33.9,
5,Control_3,control,afternoon,17.8,33.9,
5,Hot_1,hot,afternoon,22.3,34,
5,Hot_2,hot,afternoon,22.3,34.2,
5,Hot_3,hot,afternoon,22.3,34.1,
6,Cold_1,cold,morning,12.3,33.8,
6,Cold_2,cold,morning,12.3,34,
6,Cold_3,cold,morning,12.3,34,
6,Control_1,control,morning,17.7,33.8,
6,Control_2,control,morning,17.8,34,
6,Control_3,control,morning,17.7,34,
6,Hot_1,hot,morning,23.5,34.4,
6,Hot_2,hot,morning,23.6,34.4,
6,Hot_3,hot,morning,23.5,34.4,
6,Cold_ 1,cold,afternoon,12.5,33.9,
6,Cold_2,cold,afternoon,12.4,33.9,
6,Cold_3,cold,afternoon,12.5,33.9,
6,Control_1,control,afternoon,17.7,34,
6,Control _2,control,afternoon,17.7,34,
6,Control_3,control,afternoon,23.4,34,
6,Heat_1,hot,afternoon,23.4,33.9,
6,Heat_2,hot,afternoon,23.4,33.9,
6,Heat_3,hot,afternoon,23.4,33.9,
7,Cold_ 1,cold,morning,11.4,34,
7,Cold_2,cold,morning,11.3,34,
