"","OC4_F_B.host","OC4_F_B.sym","OC5_H_B.host","OC5_H_B.sym","OC9_C_B.host","OC9_C_B.sym","OD4_C_B.host","OD4_C_B.sym","OD5_F_B.host","OD5_F_B.sym","OD6_H_B.host","OD6_H_B.sym","OE10_F_W.host","OE11_C_W.host","OE3_H_W.host","OF7_C_B.host","OF7_C_B.sym","OF8_F_B.host","OF8_F_B.sym","OF9_H_B.host","OF9_H_B.sym","OH1_C_W.host","OH11_F_W.host","OH15_H_W.host","OI1_C_B.host","OI1_C_B.sym","OI2_F_B.host","OI2_F_B.sym","OI3_H_B.host","OI3_H_B.sym","OJ13_C_B.host","OJ13_C_B.sym","OJ14_F_B.host","OJ14_F_B.sym","OJ15_H_B.host","OJ15_H_B.sym","OM1_C_B.host","OM1_C_B.sym","OM2_F_B.host","OM2_F_B.sym","OM3_H_B.host","OM3_H_B.sym","ON4_C_W.host","ON5_F_W.host","ON6_H_W.host","OQ1_C_W.host","OQ11_H_W.host","OQ4_F_W.host","OR7_C_B.host","OR7_C_B.sym","OR8_F_B.host","OR8_F_B.sym","OR9_H_B.host","OR9_H_B.sym"
"ORTHOMCL5602",0.597957097844236,25.6924418619987,5.5958013093487,19.7394636086203,3.13545755577602,9.44181778199508,3.27537757336831,26.2456843528798,0.971768267787942,12.597178688069,1.47725722266361,22.9389291474939,2.28971492884137,1.2378564729576,0.481886646720119,1.26655232342405,10.2325141858072,1.28817167642974,33.1139401822206,4.72618623543552,17.2171113010954,0.637832119637958,5.62566187747755,6.28214257909806,3.5519030854546,26.4820115616566,1.47168319905483,19.594132249942,5.52122375281992,16.0573874590562,3.46374394494258,29.4131990677386,1.83360043585728,20.4889901461545,4.76602939552441,31.6448367635421,2.51129713662456,25.4624745650881,1.81810188873915,9.73560184842004,1.64146993597674,12.2181401958502,4.07318375447507,2.59243851815825,3.10019918707599,6.19835746915231,3.57139523539543,6.29739346642031,3.56433736867994,19.5509730693908,2.02874749368713,5.44352165853984,9.25462761514592,28.914421426551
"ORTHOMCL1396",5.38161388059813,18.3517441871419,4.47664104747896,7.8957854434481,6.27091511155204,9.44181778199508,13.1015102934732,6.56142108821994,5.83060960672765,12.597178688069,10.3408005586453,11.469464573747,3.20560090037791,6.18928236478801,5.78263976064143,7.5993139405443,15.3487712787107,4.50860086750409,0,5.12003508838848,9.83834931491163,3.82699271782775,2.41099794749038,6.28214257909806,9.89458716662352,6.96895041096225,3.67920799763708,8.16422177080918,4.6010197940166,16.0573874590562,1.73187197247129,11.7652796270954,2.09554335526547,11.1758128069934,2.85961763731464,4.21931156847229,3.94632407183859,7.83460755848864,1.81810188873915,12.98080246456,5.7451447759186,8.14542679723346,3.25854700358006,1.63732959041574,5.16699864512664,2.0661191563841,4.91066844866871,1.10204385662355,4.27720484241592,22.8094685809559,0.405749498737427,40.8264124390488,1.15682845189324,0
"ORTHOMCL7155",20.9284984245483,11.0110465122852,36.9322886417014,1.97394636086203,22.5752944015874,11.8022722274938,29.4783981603148,3.28071054410997,26.8855887421331,16.1963725989459,42.1018308459129,7.64630971583131,18.3177194307309,24.757129459152,22.1667857491255,51.928645260386,7.67438563935537,39.933321969322,0,29.9325128244249,7.37876198618372,14.0323066320351,12.0549897374519,19.8383449866255,23.5947847819484,2.7875801643849,23.914851984641,8.16422177080918,23.9253029288863,5.35246248635207,24.246207614598,13.7261595649447,18.597947277981,9.31317733916115,33.3622057686708,21.0965578423614,22.601674229621,3.91730377924432,19.0900698317611,6.49040123228002,28.725723879593,3.05453504896255,27.6976495304305,16.509740036692,18.6011951224559,15.8402468656115,16.0712785592794,13.3819611161432,19.9602892646076,6.51699102313027,19.8817254381339,8.16528248780975,12.7251129708256,4.8190702377585
"ORTHOMCL7010",63.9814094693333,0,20.1448847136553,5.92183908258608,26.9649349796738,2.36045444549877,11.4638215067891,3.28071054410997,59.6017870909938,5.39879086631529,29.5451444532722,15.2926194316626,44.8784126052908,29.0896271145036,32.286405330248,50.662092936962,2.55812854645179,33.4924635871733,0,20.0862915006009,2.45958732872791,15.945802990949,29.7356413523814,33.0639083110424,21.5651258759743,2.7875801643849,29.0657431813329,4.89853306248551,19.3242831348697,5.35246248635207,16.9723453302186,7.84351975139696,44.268353379983,11.1758128069934,34.3154116477757,6.32896735270843,21.166647294407,7.83460755848864,70.905973660827,6.49040123228002,26.2635189756279,3.05453504896255,21.5878738987179,51.5758820980958,14.4675962063546,17.2176596365342,16.5177029637039,33.8484898820092,24.9503615807596,13.0339820462605,59.6451763144017,19.0523258048894,15.0387698746121,0
"ORTHOMCL8860",5.97957097844237,22.0220930245703,6.71496157121844,3.94789272172405,12.5418302231041,2.36045444549877,4.09422196671039,9.84213163232992,7.45022338637422,7.19838782175372,7.38628611331806,7.64630971583131,9.61680270113374,6.18928236478801,9.15584628768227,10.1324185873924,7.67438563935537,7.72903005857844,9.46112576634874,7.48312820610623,9.83834931491163,12.7566423927592,5.62566187747755,6.28214257909806,7.61122089740271,8.36274049315471,7.35841599527416,1.63284435416184,5.52122375281992,5.35246248635207,6.23473910089664,5.88263981354772,14.4068605674501,7.45054187132892,7.62564703283905,12.6579347054169,6.45762120846315,7.83460755848864,9.09050944369577,12.98080246456,4.92440980793023,12.2181401958502,10.1829593861877,10.6426423377023,6.20039837415197,8.95318301099778,6.69636606636643,10.863003729575,4.99007231615191,3.25849551156513,8.11498997474853,10.8870433170797,8.09779916325268,9.63814047551699
"ORTHOMCL5435",65.1773236650218,11.0110465122852,32.4556475942224,5.92183908258608,38.2525821804675,0,41.7610640604459,9.84213163232992,56.3625595317006,7.19838782175372,44.3177166799084,7.64630971583131,50.37372843451,32.1842682968976,45.2973447916912,49.3955406135379,2.55812854645179,52.1709528954045,9.46112576634874,37.4156410305312,7.37876198618372,38.9077592979155,43.3979630548268,32.0719910617112,44.1450812049357,6.96895041096225,43.4146543721175,13.0627548332947,30.3667306405095,5.35246248635207,43.6431737062765,3.92175987569848,55.0080130757185,11.1758128069934,36.2218234059855,12.6579347054169,37.6694570493684,5.87595566886648,57.2702094952834,6.49040123228002,37.7538085274651,6.1090700979251,32.5854700358006,55.8056502066698,27.9017926836839,44.7659150549889,40.624620802623,48.9622342014179,46.3363857928392,3.25849551156513,41.7921983699549,16.3305649756195,37.0185104605837,0
"ORTHOMCL8210",1.79387129353271,3.67034883742839,1.11916026186974,1.97394636086203,1.25418302231041,4.72090889099754,3.27537757336831,0,3.23922755929314,7.19838782175372,1.47725722266361,7.64630971583131,1.37382895730482,1.8567847094364,1.92754658688048,1.26655232342405,10.2325141858072,1.93225751464461,9.46112576634874,5.12003508838848,0,4.46482483746571,3.21466392998717,1.98383449866255,6.08897671792216,1.39379008219245,2.20752479858225,4.89853306248551,4.6010197940166,0,3.81011833943684,1.96087993784924,0.523885838816367,11.1758128069934,0.953205879104881,4.21931156847229,1.79378366901754,7.83460755848864,0.909050944369577,3.24520061614001,1.64146993597674,3.05453504896255,2.85122862813255,2.04666198801967,2.06679945805066,4.13223831276821,9.374912492913,1.57434836660508,3.56433736867994,3.25849551156513,0.811498997474853,16.3305649756195,0,4.8190702377585
"ORTHOMCL8854",7.77344227197507,0,1.11916026186974,7.8957854434481,3.76254906693123,11.8022722274938,4.91306636005246,0,4.5349185830104,5.39879086631529,6.64765750198625,11.469464573747,4.12148687191446,5.57035412830921,2.4094332336006,3.79965697027215,7.67438563935537,1.93225751464461,0,1.9692442647648,4.91917465745582,3.18916059818979,3.21466392998717,2.64511266488339,1.7759515427273,5.5751603287698,2.20752479858225,6.53137741664735,1.84040791760664,5.35246248635207,3.46374394494258,1.96087993784924,3.66720087171457,5.58790640349669,1.90641175820976,4.21931156847229,2.51129713662456,3.91730377924432,1.81810188873915,3.24520061614001,2.46220490396511,12.2181401958502,0.407318375447507,2.7288826506929,1.03339972902533,7.57577024007505,3.124970830971,7.55687215970437,2.13860242120796,3.25849551156513,1.62299799494971,5.44352165853984,2.31365690378648,4.8190702377585
"ORTHOMCL798.1",3.58774258706542,3.67034883742839,17.9065641899158,3.94789272172405,23.2023859127426,11.8022722274938,23.7464874069202,3.28071054410997,7.12630063044491,5.39879086631529,26.590630007945,3.82315485791566,11.4485746442068,28.4706988780248,22.1667857491255,17.7317325279367,10.2325141858072,5.79677254393383,9.46112576634874,12.6031632944947,2.45958732872791,20.4106278284147,12.8586557199487,20.1689840697359,12.4316607990911,4.18137024657735,9.1980199940927,4.89853306248551,31.2869345993129,0,31.1736955044832,5.88263981354772,15.716575164491,0,22.8769410985172,0,21.166647294407,0,8.1814584993262,6.49040123228002,22.159844135686,5.09089174827091,21.9951922741654,4.50265637364328,16.5343956644053,32.3692001166843,21.4283714123726,11.8076127495381,24.9503615807596,9.7754865346954,15.4184809520222,10.8870433170797,25.4502259416513,4.8190702377585
"ORTHOMCL3522.1",104.044535024897,7.34069767485677,101.843583830146,9.86973180431013,62.7091511155204,7.08136333649631,82.7032837275498,9.84213163232992,132.484407175089,3.59919391087686,90.8513191938122,15.2926194316626,80.5979654952161,27.851770641546,26.5037655696066,86.1255579928354,2.55812854645179,109.494592496528,4.73056288317437,46.0803157954963,14.7575239723674,35.0807665800877,73.937270389705,57.8618395443242,38.8172265767538,2.7875801643849,82.7821799468343,3.26568870832367,72.6961127454622,5.35246248635207,68.9285045043573,11.7652796270954,110.539911990253,7.45054187132892,78.1628820866003,6.32896735270843,53.4547533367227,7.83460755848864,109.995164268719,3.24520061614001,54.9892428552209,6.1090700979251,35.4366986639331,99.8771050153601,33.0687913288105,37.8788512003752,43.3031672291696,74.1518080670991,55.603662951407,9.7754865346954,122.130599119965,5.44352165853984,26.6070543935445,4.8190702377585
