"","Culture_Control.1","Culture_Control.1.1","Culture_Control.2","Culture_Control.2.1","Culture_Control.3","Culture_Control.3.1","Culture_Control.4","Culture_Control.4.1","Culture_Cool.1","Culture_Cool.2","Culture_Cool.3","Culture_Cool.4","Culture_Heat.1","Culture_Heat.1.1","Culture_Heat.2","Culture_Heat.2.1","Culture_Heat.3","Culture_Heat.3.1","Culture_Heat.4","Culture_Heat.4.1","OC4_F_B.host","OC4_F_B.sym","OC5_H_B.host","OC5_H_B.sym","OC9_C_B.host","OC9_C_B.sym","OD4_C_B.host","OD4_C_B.sym","OD5_F_B.host","OD5_F_B.sym","OD6_H_B.host","OD6_H_B.sym","OE10_F_W.host","OE11_C_W.host","OE3_H_W.host","OF7_C_B.host","OF7_C_B.sym","OF8_F_B.host","OF8_F_B.sym","OF9_H_B.host","OF9_H_B.sym","OH1_C_W.host","OH11_F_W.host","OH15_H_W.host","OI1_C_B.host","OI1_C_B.sym","OI2_F_B.host","OI2_F_B.sym","OI3_H_B.host","OI3_H_B.sym","OJ13_C_B.host","OJ13_C_B.sym","OJ14_F_B.host","OJ14_F_B.sym","OJ15_H_B.host","OJ15_H_B.sym","OL6_C_B.host","OL6_C_B.sym","OL7_F_B.host","OL7_F_B.sym","OL8_H_B.host","OL8_H_B.sym","ON4_C_W.host","ON5_F_W.host","ON6_H_W.host","OQ1_C_W.host","OQ11_H_W.host","OQ4_F_W.host","OR7_C_B.host","OR7_C_B.sym","OR8_F_B.host","OR8_F_B.sym","OR9_H_B.host","OR9_H_B.sym"
"ORTHOMCL5602",42.3310820675036,73.2930064097148,42.7278930971506,42.305050996614,17.8291983840907,21.2958850454115,22.6079209443916,5.22493296000358,4.83773302357968,32.6231990045266,2.95831988012909,71.1816097074063,11.1277875552733,201.805848070763,16.9322854624269,43.394980202636,20.3557464835176,48.5716039121881,25.834638668189,31.1811146173212,0.899376753863731,62.1679935826406,25.4678464240024,65.3944394554852,17.09362752078,39.4899624851846,17.3290729406915,75.5458333513171,7.9722849647942,37.3682511174201,12.5951181366765,62.5688262802061,11.7424308916882,9.92375727352816,0.801949297909476,1.9080541911256,39.8165258146766,8.50948774809531,70.4525473151639,23.4616581541688,58.9111191240403,1.04654070262884,22.13491219976,27.982263058639,17.5991678426516,68.0643364911903,9.90729584040443,54.0293451558755,23.0023558516797,46.0930586355163,18.1002466350004,71.6513398566491,10.1544160645163,53.4162458039616,23.3199250787812,82.3393944569,1.05939892462501,54.002642029947,7.49861334224978,58.7104560959699,1.4042423494272,70.744017844451,20.1138547211391,12.1497418831339,18.1701082905504,24.3696236617152,19.1533037302964,22.5603275552955,17.5434598239584,56.0523766761302,11.9916695013973,21.6777068662043,34.3071974716686,80.5171969316158
"ORTHOMCL1396",13.6169914343018,12.1472580455579,3.3461603027889,21.5871664332037,14.4651986889793,9.04070591550487,6.19894606539768,28.9983779280199,10.0210184059865,20.8992368622749,12.3003826594841,20.8585454675391,15.6800642824306,1.49961882855132,26.4466172936954,5.78599736035146,20.0376879447127,14.6358144238712,15.0702058897769,10.2145030642949,12.5912745540922,34.5377742125781,10.1871385696009,23.3551569483876,14.9569240806825,28.2071160608462,23.9941009948037,20.6034090958138,14.8815986009492,26.1577757821941,19.4651825748637,27.8083672356472,8.97950597599685,14.3343160617629,12.8311887665516,15.2644335290048,34.1284506982943,11.3459836641271,0,12.0659956221439,26.7777814200183,10.4654070262884,9.1143756116659,13.7167956169799,18.8562512599839,17.0160841227976,10.5265018304297,21.6117380623502,10.8246380478493,36.874446908413,6.42266816080659,26.3978620524497,6.90500292387111,26.7081229019808,8.74497190454296,13.0009570195105,19.0691806432502,15.4293262942706,5.62396000668734,11.742091219194,14.042423494272,21.2232053533353,9.33857540624314,5.86539263323705,11.5627961848957,6.6462609986496,11.3501059142497,5.16441233193511,10.964662389974,43.5962929703235,0.66620386118874,70.4525473151639,1.9059554150927,0
"ORTHOMCL7155",24.1257565629478,25.659376545673,19.5621679239967,21.8769270564682,27.584797499914,24.3094536839131,43.0279785715839,21.6834717840148,40.0840736239459,40.2692612712125,32.54151868142,33.9863013562001,25.1218234202383,17.5669634201726,20.1574826933654,15.9114927409665,15.9029269402481,29.2716288477425,20.452422278983,23.1170332507726,29.6794328775031,20.7226645275469,45.8421235632042,4.67103138967752,33.1189033215113,28.2071160608462,41.3231739354952,6.86780303193792,39.3299391596514,29.8946008939361,52.6704940261018,13.9041836178236,26.2477866990677,36.3871100029366,31.2760226184696,62.9657883071449,17.0642253491471,49.1659292112173,0,40.2199854071465,16.066668852011,21.9773547552056,20.8328585409506,28.5309348833182,32.6841688506388,5.67202804093253,35.9139474214661,18.0097817186252,31.1208343875667,9.21861172710325,34.4488564988717,26.3978620524497,27.2138350529038,19.077230644272,42.267364205291,39.0028710585316,26.4849731156253,15.4293262942706,23.7456089171243,19.57015203199,50.5527245793792,14.1488035688902,39.5093574879518,24.9279186912575,26.4292484226187,23.2619134952736,23.4095934481401,23.3757610813905,28.5081222139324,12.4560837058067,30.6453776146821,16.2582801496532,19.059554150927,10.064649616452
"ORTHOMCL7010",26.9379613156841,37.1242043639524,21.1065496022069,40.5664872570271,39.3587964328041,31.1402092645168,20.4200576271924,30.0433645200206,24.1886651178984,21.4089743467206,23.3551569483876,32.2359339043787,41.8135047531483,22.0658199058265,29.34929480154,20.0701783437191,18.7654537894928,33.6141232372427,31.2168550573951,30.9123119051029,73.748893816826,0,28.863559280536,14.0130941690326,39.5290136418038,5.64142321216924,19.9950841623364,6.86780303193792,74.4079930047458,11.210475335226,40.0753758894253,27.8083672356472,54.567767084904,43.0029481852887,44.1072113850212,61.0577341160193,5.68807511638238,44.4384360178311,0,30.1649890553598,5.35555628400367,25.1169768630921,42.9677707407107,44.4424177990148,31.4270854333065,8.50804206139879,42.7252133117441,10.8058690311751,27.0615951196232,9.21861172710325,26.8584304906457,15.0844926013998,54.4276701058076,22.8926767731264,43.7248595227148,13.0009570195105,22.2473774171252,7.71466314713528,53.1151778409359,19.57015203199,28.084846988544,14.1488035688902,33.7625418533406,60.3297527990096,23.1255923697914,26.5850439945984,25.5377383070619,47.838766864241,35.0869196479169,24.9121674116134,74.6148324531389,37.9359870158575,22.8714649811124,0
"ORTHOMCL8860",12.2848944461636,10.7823975910009,10.0384809083667,13.1841083585338,15.8107985670239,14.2642248889077,10.9393165859959,16.4585388240113,13.8220943530848,17.3310744711548,11.5218774278712,14.1488035688902,22.7613836357864,10.2831005386376,13.0620487853008,18.0812417510983,15.5848684014432,14.7966475494083,17.76131408438,17.3377749380795,11.6918978002285,48.3528838976094,13.5828514261346,14.0130941690326,24.5720895611213,5.64142321216924,9.33103927575698,27.4712121277517,14.8815986009492,18.6841255587101,14.8851396160723,20.8562754267354,17.2682807230709,13.2316763647042,18.444833851918,19.080541911256,22.7523004655295,14.1824795801588,26.4197052431865,15.4176610727395,26.7777814200183,24.0704361604632,11.7184829292847,13.1681237923007,15.0850010079871,19.8520981432638,14.8609437606066,3.60195634372504,10.8246380478493,9.21861172710325,12.8453363216132,15.0844926013998,25.1829518400005,19.077230644272,14.5749531742383,30.3355663788579,10.5939892462501,23.1439894414058,13.7474577941246,19.57015203199,15.4466658436992,21.2232053533353,20.8322066754655,18.8530477496905,13.2146242113094,16.615652496624,13.4782507731716,21.4730828538355,9.86819615097662,6.22804185290336,15.9888926685298,27.0971335827553,17.1535987358343,30.1939488493559
"ORTHOMCL5435",36.4106510091115,36.7147462275853,30.1154427251001,42.305050996614,42.0499961888933,38.1718694210206,53.2380073851801,47.5468899360325,68.4193670477698,79.7739163157565,55.2738714445173,55.2824386866947,31.8659370901009,16.7100383752861,32.7357518940254,30.0148613068232,21.3099220999325,33.4532901117057,30.4095225990142,29.8371010562298,79.1451543400084,20.7226645275469,40.7485542784038,14.0130941690326,53.4175860024375,0,55.9862356545419,20.6034090958138,75.4709643333851,14.9473004469681,54.9605155054976,13.9041836178236,62.856541831978,47.4135069735234,58.5422987473918,61.0577341160193,5.68807511638238,65.2394060687307,17.613136828791,49.604648668814,16.066668852011,52.3270351314418,59.8944683052331,42.7964023249773,56.9877815857292,14.1800701023313,61.3013930125024,25.2136944060752,36.5331534114913,9.21861172710325,58.387892370969,7.5422463006999,68.6438525961305,19.077230644272,45.1823548401386,21.6682616991842,61.4451376282506,19.2866578678382,66.2377511898731,19.57015203199,37.9145434345344,0,47.4112289855421,68.7088851322054,37.9920446075144,57.6009286549632,51.0754766141238,67.9527938412515,58.1127106668623,6.22804185290336,58.6259397846092,27.0971335827553,49.5548407924101,0
"ORTHOMCL8210",3.40424785857546,1.50134650001278,3.3461603027889,4.49128966059943,2.35479978657802,2.00904575900108,2.18786331719918,6.26991955200429,3.80107594709832,6.88145604001733,17.9056203270972,8.75183725910733,2.02323410095879,5.78424405298365,5.6440951541423,3.07381109768671,9.85981470295385,10.6149862854451,7.53510294488847,6.72006780545715,4.49688376931866,6.90755484251562,1.69785642826682,4.67103138967752,3.20505516014625,11.2828464243385,6.66502805411213,0,7.44079930047458,14.9473004469681,3.4350322190936,13.9041836178236,4.14438737353701,4.41055878823474,4.81169578745686,1.9080541911256,22.7523004655295,4.72749319338628,17.613136828791,8.7143301715484,0,7.32578491840185,7.81232195285649,4.38937459743356,8.79958392132582,2.83601402046626,5.57285391022749,14.4078253749001,8.11847853588696,0,6.42266816080659,3.77112315034995,2.43705985548392,22.8926767731264,1.45749531742383,13.0009570195105,7.41579247237507,7.71466314713528,3.74930667112489,11.742091219194,5.6169693977088,7.0744017844451,5.74681563461117,5.02747939991747,4.95548407924101,6.6462609986496,13.4782507731716,4.6207899812051,6.57879743398441,6.22804185290336,3.3310193059437,32.5165602993064,0,10.064649616452
"ORTHOMCL8854",10.2127435757264,4.50403950003834,23.6805190658907,6.51961402345078,2.35479978657802,5.62532812520303,10.2100288135962,5.48617960800376,5.52883774123392,7.1363247822402,6.53944394554852,4.81351049250903,7.24992219510233,31.0635328771344,10.6431508620969,9.22143329306014,16.2209854790531,9.32832128114871,14.8010950703166,8.19848272265773,14.3900280618197,0,1.69785642826682,23.3551569483876,9.61516548043875,33.8485392730154,11.9970504974018,0,10.0982276220726,14.9473004469681,14.8851396160723,27.8083672356472,8.97950597599685,13.2316763647042,7.21754368118529,9.54027095562802,22.7523004655295,5.67299183206354,0,6.70333090119108,16.066668852011,8.37232562103069,7.81232195285649,7.68140554550874,5.02833366932904,14.1800701023313,6.19205990025277,18.0097817186252,5.41231902392464,9.21861172710325,8.75818385564534,3.77112315034995,8.12353285161307,15.2617845154176,5.82998126969531,13.0009570195105,1.05939892462501,15.4293262942706,6.8737288970623,11.742091219194,0,35.3720089222255,0.718351954326396,6.28434924989684,1.65182802641367,15.5079423301824,8.5125794356873,14.9496146450753,6.57879743398441,6.22804185290336,5.32963088950992,16.2582801496532,7.62382166037079,10.064649616452
"ORTHOMCL798.1",27.3819936450635,19.3810184547104,64.0918396457259,21.8769270564682,27.9211974694251,28.9302589296156,56.8844462471788,39.1869972000268,18.3142750178374,16.3115995022633,26.4691778748393,18.0871303354885,14.6684472319512,27.6358326975885,14.0296079545823,18.8044914211423,21.3099220999325,13.1883162940378,17.76131408438,13.5745369670235,7.19501403090985,6.90755484251562,27.1657028522692,14.0130941690326,40.5973653618525,28.2071160608462,39.9901683246728,6.86780303193792,12.7556559436707,14.9473004469681,40.0753758894253,6.95209180891179,17.9590119519937,49.6187863676408,35.285769108017,28.620812866884,28.4403755819119,10.4004850254498,17.613136828791,22.1209919739306,5.35555628400367,34.5358431867516,22.13491219976,32.3716376560725,22.6275015119807,11.3440560818651,16.0993557406572,14.4078253749001,43.2985521913971,0,50.797466362743,15.0844926013998,23.5582452696779,0,34.9798876181719,0,41.3165580603754,15.4293262942706,12.4976889037496,19.57015203199,43.5315128322432,0,38.7910055336254,8.16965402486589,26.4292484226187,50.9546676563136,33.3409361231086,20.1140269770104,39.4727846039065,24.9121674116134,25.3157467251721,21.6777068662043,40.0250637169466,10.064649616452
"ORTHOMCL3522.1",44.1072113850212,67.8335645914865,44.7870686680976,43.4640934896719,37.0039966462261,40.1809151800216,53.60265127138,34.2233108880234,57.0161392064748,105.515659280266,21.9538475314843,36.4659885796139,77.0514986781806,18.2096572038374,71.5993785268338,79.3766512873216,30.8516782640814,42.6207782673174,58.3970478228856,58.8677939758047,110.623340725239,20.7226645275469,108.662811409077,23.3551569483876,79.0580272836075,22.5656928486769,95.9764039792147,27.4712121277517,143.501129366296,11.210475335226,104.195977312506,27.8083672356472,89.7950597599685,44.1055878823474,44.1072113850212,95.4027095562802,5.68807511638238,115.350833918625,8.80656841439549,64.3519766514343,32.133337704022,50.2339537261841,92.4458097754684,75.1680399810498,53.2165313337324,8.50804206139879,100.93057637412,10.8058690311751,79.8317056028885,9.21861172710325,82.9108071667759,22.6267389020997,115.354166492906,19.077230644272,90.3647096802773,17.3346093593474,62.5045365528756,11.5719947207029,75.6110178676853,15.656121625592,81.4460562667776,21.2232053533353,53.1580446201533,105.158110781607,49.5548407924101,52.0623778227552,59.5880560498111,92.415799624102,67.9809068178389,24.9121674116134,134.573179960126,16.2582801496532,41.9310191320393,10.064649616452
