"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B"
"Sym_100008_c0_g1",0,0,0,0,0.655697228378164,0,0,0,0.982342985661104,0,0,0,0,0,0.666821643805785,0,0,0,0,0,0
"Sym_100008_c0_g2",1.5887474947617,0.820460340280975,1.06498267673079,1.16124239581257,2.62278891351266,1.26665245298644,0,2.29293538912154,0,0.485729611105931,0,0,0,0.624990561930655,0.666821643805785,0.615124676230302,0,0,0,0,0
"Sym_100008_c0_g3",11.1212324633319,9.02506374309073,4.25993070692314,8.12869677068802,6.55697228378164,2.53330490597289,6.95218556741118,6.87880616736461,13.7528017992555,3.40010727774152,6.25490190149635,4.09877097016199,4.95646838929442,9.37485842895982,7.33503808186363,11.0722441721454,6.31317319427989,7.31698453004343,5.27357712198626,7.91421256869707,1.9432715206736
"Sym_100031_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sym_100036_c0_g1",0,2.46138102084293,2.12996535346157,1.16124239581257,0,0,1.15869759456853,0,0.982342985661104,0.485729611105931,0.625490190149635,4.09877097016199,1.2391170973236,3.12495280965327,0.666821643805785,0,3.15658659713994,1.15531334684896,1.05471542439725,2.9678297132614,5.8298145620208
"Sym_100044_c0_g1",0,0,0,1.16124239581257,0,0,1.15869759456853,0,0,0,0.625490190149635,0,0.619558548661802,0,0,0,0,0.385104448949654,0,0.989276571087134,3.8865430413472
"Sym_100066_c0_g1",0,0.820460340280975,0,0,1.31139445675633,0,0,0,0,0,0,0,0,0,0,0,3.15658659713994,0.770208897899308,0,0.989276571087134,0
"Sym_100071_c0_g1",0,0.820460340280975,0,1.16124239581257,1.31139445675633,1.26665245298644,0,2.29293538912154,0,1.45718883331779,1.8764705704489,0,0.619558548661802,1.24998112386131,1.33364328761157,0,3.15658659713994,0.385104448949654,1.05471542439725,1.97855314217427,1.9432715206736
"Sym_100075_c2_g1",0,0,0,0,0,0,0,0,0,0,0,2.049385485081,0,0,0,0,0,0,0,0,0
"Sym_100075_c2_g2",0,0,0,0,0.655697228378164,0,0,0,1.96468597132221,0,0.625490190149635,0,0.619558548661802,0,1.33364328761157,0,0,0,0,0,1.9432715206736
"Sym_100097_c0_g1",1.5887474947617,0.820460340280975,0,1.16124239581257,1.31139445675633,1.26665245298644,0,2.29293538912154,0,0.485729611105931,0.625490190149635,0,0.619558548661802,0.624990561930655,0,0.615124676230302,1.57829329856997,0,0,3.95710628434854,0
"Sym_100097_c0_g3",7.94373747380849,0,2.12996535346157,4.64496958325029,1.31139445675633,2.53330490597289,0,2.29293538912154,1.96468597132221,1.94291844442373,1.8764705704489,2.049385485081,0.619558548661802,1.24998112386131,4.00092986283471,0.615124676230302,3.15658659713994,2.31062669369792,3.16414627319176,0,1.9432715206736
"Sym_100100_c0_g2",14.2987274528553,12.3069051042146,10.6498267673079,12.7736663539383,10.4911556540506,10.1332196238916,18.5391615130965,11.4646769456077,11.7881158279332,16.0290771664957,8.13137247194525,10.246927425405,22.9236663004867,18.124726295989,19.3378276703678,19.0688649631394,12.6263463885598,19.2552224474827,16.875446790356,16.8177017084813,17.4894436860624
"Sym_100110_c0_g3",0,1.64092068056195,1.06498267673079,0,1.31139445675633,0,2.31739518913706,0,1.96468597132221,0.971459222211863,1.25098038029927,2.049385485081,0.619558548661802,1.24998112386131,1.33364328761157,1.2302493524606,6.31317319427989,1.15531334684896,1.05471542439725,0.989276571087134,0
"Sym_100136_c0_g1",4.76624248428509,1.64092068056195,0,0,0.655697228378164,1.26665245298644,3.47609278370559,0,3.92937194264442,1.45718883331779,0,0,0.619558548661802,2.49996224772262,2.66728657522314,2.46049870492121,7.89146649284986,2.31062669369792,3.16414627319176,3.95710628434854,1.9432715206736
"Sym_100136_c0_g3",0,0,0,0,0,0,0,0,0,0,0,2.049385485081,0,0,0.666821643805785,0.615124676230302,0,0.385104448949654,1.05471542439725,0.989276571087134,0
"Sym_100168_c0_g1",0,0.820460340280975,2.12996535346157,0,2.62278891351266,0,0,0,0.982342985661104,1.45718883331779,0,2.049385485081,0,0,0,2.46049870492121,0,1.15531334684896,1.05471542439725,2.9678297132614,0
"Sym_100192_c0_g1",0,0,0,0,0,1.26665245298644,0,0,0.982342985661104,0,1.25098038029927,0,0.619558548661802,0.624990561930655,0,0.615124676230302,1.57829329856997,0.385104448949654,0,0,0
"Sym_100201_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sym_100207_c0_g1",0,0,0,0,0,0,0,2.29293538912154,0,0,0,0,0.619558548661802,0,0,0,1.57829329856997,0.385104448949654,0,0,0
"Sym_100207_c0_g2",1.5887474947617,1.64092068056195,1.06498267673079,0,0,1.26665245298644,0,0,2.94702895698331,2.42864805552966,1.25098038029927,0,0.619558548661802,0,1.33364328761157,0.615124676230302,0,1.15531334684896,0,1.97855314217427,0
"Sym_100213_c0_g1",3.1774949895234,2.46138102084293,1.06498267673079,5.80621197906287,4.58988059864715,2.53330490597289,8.11088316197971,2.29293538912154,2.94702895698331,2.42864805552966,6.25490190149635,2.049385485081,4.33690984063262,3.74994337158393,2.00046493141735,2.46049870492121,3.15658659713994,3.85104448949654,4.21886169758901,2.9678297132614,1.9432715206736
"Sym_100228_c1_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.624990561930655,0.666821643805785,0,0,0,0,0,0
"Sym_100230_c0_g1",9.53248496857019,12.3069051042146,12.7797921207694,12.7736663539383,10.4911556540506,11.399872076878,12.7456735402538,9.17174155648615,8.84108687094994,10.6860514443305,12.5098038029927,16.395083880648,8.67381968126523,9.99984899089047,13.3364328761157,17.2234909344485,3.15658659713994,10.3978201216407,7.38300797078077,10.8820422819585,7.7730860826944
"Sym_100230_c0_g3",0,0,2.12996535346157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385104448949654,1.05471542439725,0,0
"Sym_100232_c0_g1",0,1.64092068056195,1.06498267673079,1.16124239581257,0.655697228378164,1.26665245298644,0,2.29293538912154,0,2.42864805552966,1.8764705704489,0,0.619558548661802,0,0.666821643805785,0,0,1.92552224474827,0,1.97855314217427,0
"Sym_100232_c0_g2",0,0,0,0,0,0,0,0,0,0,0,0,0.619558548661802,0,0,0,0,0,0,0,0
"Sym_100246_c0_g1",1.5887474947617,0,0,0,0.655697228378164,0,0,0,0,0,0.625490190149635,0,1.2391170973236,0.624990561930655,0.666821643805785,0,0,0.770208897899308,0,0.989276571087134,0
"Sym_100246_c0_g3",11.1212324633319,8.20460340280976,17.0397228276926,13.9349087497509,7.2126695121598,11.399872076878,9.26958075654824,6.87880616736461,8.84108687094994,4.37156649995338,14.3862743734416,12.296312910486,4.95646838929442,4.99992449544524,20.0046493141735,5.53612208607272,4.73487989570992,6.93188008109377,11.6018696683698,3.95710628434854,11.6596291240416
"Sym_100252_c0_g1",0,0.820460340280975,2.12996535346157,0,0,0,0,2.29293538912154,0.982342985661104,0,0,2.049385485081,0.619558548661802,0.624990561930655,0,0,0,0,1.05471542439725,0.989276571087134,0
"Sym_100267_c0_g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2302493524606,0,0,0,0.989276571087134,0
"Sym_100267_c0_g3",0,0.820460340280975,1.06498267673079,0,0,0,0,0,0.982342985661104,0.485729611105931,0,0,0.619558548661802,0,0,0,0,0,0,0,0
"Sym_100278_c0_g1",0,0,0,0,0,0,0,0,0,0,0.625490190149635,0,0,0,0,0,0,0,0,0,0
"Sym_100304_c0_g2",0,0.820460340280975,0,0,0,0,0,0,0.982342985661104,0.485729611105931,0,0,0.619558548661802,0,0,0.615124676230302,0,0,0,0,0
"Sym_100317_c0_g1",0,1.64092068056195,1.06498267673079,0,0.655697228378164,1.26665245298644,1.15869759456853,0,3.92937194264442,0.485729611105931,1.25098038029927,0,0,0,0,0.615124676230302,0,0.770208897899308,0,0,0
"Sym_100317_c0_g2",1.5887474947617,0.820460340280975,0,1.16124239581257,1.96709168513449,2.53330490597289,0,0,1.96468597132221,0,0.625490190149635,0,0.619558548661802,0,0,0,0,0,1.05471542439725,0,0
"Sym_100330_c0_g1",0,0,0,0,0,0,0,0,0,0.485729611105931,0,0,0,0.624990561930655,0,0,0,0.770208897899308,0,0,0
"Sym_100339_c0_g1",0,1.64092068056195,1.06498267673079,1.16124239581257,1.31139445675633,5.06660981194578,1.15869759456853,2.29293538912154,0.982342985661104,1.94291844442373,1.8764705704489,0,2.47823419464721,2.49996224772262,2.00046493141735,1.2302493524606,6.31317319427989,1.54041779579862,2.1094308487945,3.95710628434854,0
"Sym_100341_c0_g1",0,0,1.06498267673079,0,0,0,0,0,0,0,0,0,0.619558548661802,0,0,0,0,0,0,0,0
