baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ORTHOMCL5602	33.6311727120301	0.628122451156231	0.565565121361283	1.11061030362759	0.266736125765767	0.718666034709696
ORTHOMCL1396	15.9074755084725	-0.457105482680821	0.437220402926558	-1.04548067661335	0.295800866866973	0.723498160643276
ORTHOMCL7155	26.5951868841844	0.185469095750882	0.203275674502822	0.912401821833863	0.361557230844149	0.733287517955429
ORTHOMCL7010	29.4862459433977	-0.0442299560869841	0.23264507221437	-0.190117743161259	0.849216866615359	0.960955928012117
ORTHOMCL8860	16.7840113535705	0.0229266882611315	0.255471031034145	0.089742810244764	0.928491595517065	0.979758002631504
ORTHOMCL5435	39.9109333272757	-0.350165264971824	0.157883682022143	-2.21786862636453	0.0265637912303572	0.223154547257163
ORTHOMCL8210	6.94117754706093	-0.424557711888339	0.480557648395637	-0.883468847714199	0.37698300682503	0.733287517955429
ORTHOMCL8854	10.2565222608651	-0.240342131180544	0.494031698490696	-0.486491316073051	0.626618860823064	0.876247512695666
ORTHOMCL798.1	23.7804212226589	-0.0826512945786382	0.269679435403222	-0.306479782023641	0.759239371291721	0.938266336908423
ORTHOMCL3522.1	55.4286394223785	0.0994387499593821	0.253045456418745	0.392967932982083	0.694343165830422	0.906175156264582
ORTHOMCL5408	10.5140542543075	-0.19493077578797	0.669724897959338	-0.29106096605028	0.771004692662627	0.938266336908423
ORTHOMCL3470	29.751392079709	0.193462652348177	0.189513503630604	1.02083834999574	0.307331031598532	0.723498160643276
ORTHOMCL1829	118.341108365831	0.255265201032551	0.150717648270252	1.69366496864942	0.0903289648273745	0.485518185947138
ORTHOMCL8796	44.472763549226	-1.04154639245357	0.280930460563437	-3.70748828861291	0.000209325093834995	0.0180019580698096
ORTHOMCL4705	19.306056325377	-0.268796929152931	0.207605914264839	-1.29474601002952	0.195407862284517	0.684243082316325
ORTHOMCL8156	87.7464904895388	-0.234723116470565	0.203744195431944	-1.15204811588838	0.249301301831236	0.702947933032338
ORTHOMCL2376.1	20.9606699954379	0.561380853527324	0.41591483627838	1.34974952697186	0.17709633985442	0.676901565665782
ORTHOMCL9014	253.442933676748	-0.194206701417721	0.226985205397831	-0.855591892332101	0.392223556115694	0.733287517955429
ORTHOMCL2215.1	11.9005217828485	0.648572496081612	0.50593403029983	1.28193095787064	0.199866866930452	0.684243082316325
ORTHOMCL1830	20.4167742112393	-0.418012026375258	0.328271699933082	-1.27337210749653	0.202886030221701	0.684243082316325
ORTHOMCL3469.1	21.8565751099907	1.17907302030914	0.434777127925401	2.71190213232984	0.00668983411908707	0.0916855593185319
ORTHOMCL3632	18.2057538115897	-0.0905256537693605	0.236497124030112	-0.382776975156089	0.701885134843405	0.907701076639592
ORTHOMCL5488	64.1346321667457	0.133770824469011	0.176757958760714	0.756802270216885	0.449168332526553	0.78833625708742
ORTHOMCL1657	53.1070436775325	-0.105677361050443	0.183630294923028	-0.57548979646708	0.564960089441898	0.830539618666722
ORTHOMCL8950	26.0577892482202	-1.79814807640255	1.06107372413994	-1.69464951915575	0.0901419272514159	0.485518185947138
ORTHOMCL5387	14.1239612688558	-0.0819562353209146	0.377222564787417	-0.217262282194335	0.828003949472473	0.948159365351924
ORTHOMCL2459.1	66.0297694450345	0.186124000043275	0.170534012063826	1.09141864306584	0.275088712737841	0.718666034709696
ORTHOMCL5426	35.6385433157306	0.569974350062208	0.220920792589747	2.57999413898835	0.00988019920163002	0.113292950845358
ORTHOMCL8292	15.7324478120693	-1.37640215422712	0.49533229481425	-2.77874503366124	0.00545693388413689	0.0853266025519586
ORTHOMCL4694	22.3385867366809	0.141966159862201	0.341897150656686	0.415230602505825	0.677973098197836	0.906175156264582
ORTHOMCL2178.1	73.5439980242321	0.19196549873552	0.2420125337936	0.79320478045669	0.427658522771702	0.758322329038481
ORTHOMCL5179	31.4933221484155	-0.120639720881801	0.161037530897111	-0.74914040354282	0.453772584949634	0.788372571831687
ORTHOMCL1813.1	94.9294514837963	0.229851650167897	0.23510193482847	0.977668049969882	0.328238528715596	0.733208142066007
ORTHOMCL1140	10.8789217468439	-0.444565332287411	0.506319505890301	-0.878033192708422	0.379925705923808	0.733287517955429
ORTHOMCL1113.1	332.384889148452	0.197702272577003	0.353013322346036	0.5600419589355	0.575450818197804	0.838792718051037
ORTHOMCL2461.1	58.4510188831339	-0.187252140867734	0.287029002640369	-0.652380557871185	0.51415570335961	0.811328265851862
ORTHOMCL5380	15.5258812505731	0.191748871656227	0.236472927297392	0.810870292205081	0.417440162243896	0.755786399010001
ORTHOMCL3054.1	19.1920349863915	-0.0997020477490578	0.417822259669911	-0.238623111721775	0.811397842198548	0.938266336908423
ORTHOMCL5282	45.7971095508459	-0.247272250570294	0.302275020378545	-0.818037329914426	0.413335871948353	0.755786399010001
ORTHOMCL8692	19.5903403213308	-0.58223669214252	0.333137408085354	-1.74773735405105	0.0805095174459649	0.461587900023532
ORTHOMCL2424	21.2335824096637	-0.263236594324592	0.241528652356182	-1.08987729512272	0.275767199365349	0.718666034709696
ORTHOMCL8891	17.5208737142837	0.0188839494328378	0.455600199397309	0.0414485100265944	0.966938340591768	0.996304195701427
ORTHOMCL8888	41.7360696797493	-0.651160716139244	0.211516740657984	-3.07853039959683	0.00208024304711954	0.0719832236637848
ORTHOMCL2235	12.884418791443	0.667956138377774	0.555158037673949	1.20318196450228	0.228905912591985	0.702810977854043
ORTHOMCL7902	11.013550498413	-0.722880342201592	0.611860708743348	-1.1814459269435	0.237425622348445	0.702810977854043
ORTHOMCL5536	14.0036269958157	-0.0112121855607173	0.64707206268656	-0.0173275686083027	0.986175292333693	0.996304195701427
ORTHOMCL2374	30.3520942690626	-0.111434834577735	0.209803330106798	-0.531139493929914	0.595322117952925	0.853295035732527
ORTHOMCL8696	57.2221310785373	-0.179910822545469	0.301656243403022	-0.596410074314632	0.550901311998292	0.830539618666722
ORTHOMCL3377	12.2271720417794	-0.211450524335829	0.349253235275221	-0.605436121927978	0.544889256096633	0.830539618666722
ORTHOMCL1650.1	26.5804179237529	-0.850186863290795	0.725463825011989	-1.17192178848717	0.241228458395486	0.702810977854043
ORTHOMCL8945	27.3169835217064	-0.21556792425891	0.180962303783634	-1.19123110035476	0.233562873522743	0.702810977854043
ORTHOMCL5591	22.5927430847422	-0.13857680750351	0.221204432313957	-0.626464877099873	0.53101006744912	0.830306650920442
ORTHOMCL5428	24.8037517287945	0.0769594854941587	0.308252714786881	0.249663609766963	0.802847502324077	0.938266336908423
ORTHOMCL8561	8.06486248033223	-0.0486652073369217	0.492696466848565	-0.0987732013752788	0.921318346625446	0.97818984950356
ORTHOMCL902.1	10.9583556277242	-0.0181507372916984	0.743028452179732	-0.0244280514944641	0.980511173141644	0.996304195701427
ORTHOMCL2547.1	11.2694424664019	-0.548040394166207	0.550736287560547	-0.995104928701391	0.31968523377261	0.723498160643276
ORTHOMCL8958	44.3426473069479	-0.667702183329595	0.230165405083896	-2.90096673340728	0.00372013369652383	0.0750270308015717
ORTHOMCL2519.1	12.6712818164396	-0.10326721082283	0.60113805275506	-0.171786181808902	0.863605629345869	0.962552401394234
ORTHOMCL3357.1	12.5515481628436	0.605985145238007	0.579762421498792	1.04523011972978	0.295916625892964	0.723498160643276
ORTHOMCL944.1	12.715825098703	0.40260929600171	0.398080846336465	1.01137570347059	0.311836645383615	0.723498160643276
