"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B","Control_1.1","Control_1","Control_2.1","Control_2","Control_3.1","Control_3","Control_4.1","Control_4","Cool_1","Cool_2","Cool_3","Cool_4","Heat_1.1","Heat_1","Heat_2.1","Heat_2","Heat_3.1","Heat_3","Heat_4.1","Heat_4"
"Sym_100008_c0_g3",54.8206213586233,43.0626598056945,25.1848658207875,40.6840042000841,35.7127445022984,14.3489549318501,33.8782867166951,39.4562562101149,68.4141186818518,17.509421133458,33.9190520752639,22.402395924244,25.8363864724329,49.2437118926361,33.9507805726293,55.6953786459337,36.8141944774018,36.8871464066958,24.9330580331202,40.9330870614781,11.0745734417072,43.1836965456637,39.3458577583313,39.9162810051296,28.2453336034022,42.0694876530625,32.9946355487649,36.3589477926867,31.2214866611763,25.0461569339374,17.4002487925812,26.4222859550182,27.1671852720173,33.6610363524753,38.4071719036437,36.9216395330565,40.9336837122397,48.2642273818354,38.2619224692341,44.2349328764468,29.4153484543466
"Sym_100100_c0_g2",100.504472490809,86.1253196113891,81.8508139175594,94.9293431335296,79.361654449552,71.7447746592506,128.737489523441,78.9125124202298,85.5176483523147,113.811237367477,64.0693205866096,78.4083857348541,155.018318834598,125.003268650538,124.486195432974,133.668908750241,92.0354861935045,129.105012423435,118.432025657321,116.951677318509,121.82030785878,114.426365001433,110.496283871314,100.505456855891,143.42760310299,103.859047643498,94.1671715296868,99.1259734558512,103.5112365459,80.0085568723001,84.2426679348137,124.198873553268,100.063750277928,140.584328295632,91.4516047607934,121.771746988269,105.917424917131,102.457721026796,129.717249346916,107.999118033453,121.542585627335
"Sym_100230_c0_g1",63.9573915850605,81.3405796329786,88.1470303727563,88.1486757668489,71.4254890045968,78.9192521251756,88.0835454634072,65.7604270168582,62.7129421250308,72.9559213894083,86.6820219701189,100.810781659098,59.0545976512753,71.9715789200066,86.7631059078304,115.10378253493,27.6106458580514,71.468846162973,56.0993805745204,76.0185902570307,55.3728672085362,73.1202204794934,71.1504261129824,68.2865303145605,74.2815591518045,77.2734686405211,68.3976386558339,72.1438069360153,75.8922291148593,78.9649670000528,72.783967510431,72.9085537582321,76.8302750905466,83.4100680204718,79.4415444912501,90.5625120622139,82.2317622349741,84.4327515868964,80.9566286391721,79.4111162010681,80.4836617431427
"Sym_100246_c0_g3",100.504472490809,81.3405796329786,151.109194924725,128.832679966933,71.4254890045968,100.442684522951,94.8592028067462,65.7604270168582,85.5176483523147,55.4465002559503,120.601074045383,112.01197962122,59.0545976512753,53.0316897305312,158.436976005603,66.8344543751204,55.2212917161027,71.468846162973,112.198761149041,46.7806709274035,110.745734417072,73.7460711540682,81.8612429471948,74.2244894723484,187.813127336908,124.45556764031,99.4655801579556,122.854970962657,160.190243100035,58.0931695551049,59.6276818379916,63.5830410682257,69.8233540022888,118.308642474141,62.4272924427304,111.46155330734,60.0036787947964,76.0131934932593,139.749338774824,79.2934701029924,107.447731159627
"Sym_100437_c0_g1",118.778012943684,153.111679309136,113.331896193544,81.3680084001682,115.07439895185,100.442684522951,176.167090926814,105.216683226973,119.724707693241,96.301816234019,79.1444548422825,134.414375545464,95.9637211833223,83.3355124336919,101.852341717888,96.5386563196184,128.849680670906,138.326799025109,81.0324386076406,134.494428916285,110.745734417072,111.505728520083,113.228635104531,112.711261791344,138.842321673867,129.860328206849,115.119969286932,132.423115118627,119.362145158497,116.18633911021,111.616230059728,92.2660573723364,96.2529686334368,126.228886321782,105.588446536402,126.230209120563,99.6012482018888,102.220550376271,114.552463002402,113.528484643008,113.780202007438
"Sym_100629_c0_g1",91.3677022643722,191.38959913642,214.071359476694,122.052012600252,150.787143454149,186.536414114051,230.372349673527,131.520854033716,210.943532602376,160.503027056698,135.676208301056,246.426355166684,221.454741192282,208.33878108423,165.981593910632,289.615968958855,211.68161824506,140.632245675528,130.898554673881,152.037180514061,155.044028183901,220.716671233392,192.138938719851,170.441420269837,145.078304417475,180.986441674113,147.392094568205,148.114871534419,113.117847826262,108.881210004478,163.604778281464,133.383090596456,171.97688776268,247.012604998311,254.588256755424,233.92993500378,250.339234809869,248.199085774402,217.206401334493,283.174158068105,183.437381333356
"Sym_100793_c2_g1",100.504472490809,71.7710996761576,151.109194924725,101.71001050021,67.4574062821192,157.838504250351,149.064461553458,118.368768630345,102.621178022778,148.830079634393,94.2195890979554,168.01796943183,147.636494128188,132.579224326328,116.941577527945,137.381933993303,92.0354861935045,119.883225821761,112.198761149041,111.104093452583,210.416895392437,135.809596382739,144.158851064553,156.146333408496,141.043256759846,138.478730191331,148.837115103188,139.503541794045,152.745119357755,131.840187193921,112.252824527749,118.688343327355,96.8676108341612,75.3660703627112,117.348297216996,98.6434746769961,121.100542021077,120.482690466695,113.385940975901,116.351990996824,127.875056475145
"Sym_100802_c0_g1",146.188323622995,124.403239438673,157.405411379922,128.832679966933,194.436053401402,121.966116920726,101.634860150085,210.433366453946,148.230590477345,125.484184789782,150.751342556729,168.01796943183,125.49102000896,159.095069191594,150.892358100575,152.234034965552,165.663875148308,156.770372228457,155.831612707001,128.64684505036,88.5965875336579,137.269914623414,148.858495185687,138.222493728506,181.393733336135,151.479370473006,158.711422092234,158.831192989105,189.730572787148,185.758997260036,150.872888921039,138.045846941459,138.540352043274,129.693993005125,137.615273921851,138.908960809273,133.368500641066,125.107518151932,153.280994282237,140.940025494636,147.076742271733
"Sym_101037_c0_g1",164.46186407587,157.896419287547,107.035679738347,155.955349433656,166.659474344059,165.012981716276,142.288804210119,197.281281050575,142.529413920524,128.402421645359,113.063506917546,168.01796943183,199.309267073054,189.398891894754,124.486195432974,200.503363125361,165.663875148308,179.824838732642,112.198761149041,116.951677318509,121.82030785878,159.174688233533,174.324008679273,182.757187411915,119.950962185877,149.288251324409,171.957443662906,177.776118417926,108.074376904072,182.280364352545,137.7166032486,151.327637742377,161.65089879051,126.72390156226,181.026637604471,161.897906178912,173.330464858653,148.705997879169,147.448384149731,150.469359438765,135.841713348198
"Sym_101057_c0_g1",191.872174755182,143.542199352315,176.294060745513,203.420021000421,158.723308899104,172.187459182201,271.026293733561,236.737537260689,142.529413920524,259.723080146294,271.352416602111,179.219167393952,258.363864724329,136.367202164223,264.061626676005,230.207565069859,202.47806962571,191.352071984734,174.531406231841,216.360603039241,155.044028183901,175.238188880954,199.461640024874,177.588963700508,355.634427642837,209.763139825687,223.255672654782,211.83871161318,302.368090049392,209.761564321726,177.822054733939,191.738192732405,183.040447375718,227.583256809566,178.024122537085,229.192818988218,163.613269912127,153.093654913881,252.901975345425,170.822134405853,226.5390377491
