baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sym_100008_c0_g3	35.2252015748793	0.379407174849794	0.316560199736608	1.19853088027325	0.230710408598743	0.725483353387342
Sym_100100_c0_g2	106.340705829466	-0.356810872307242	0.207743207275448	-1.71755734874231	0.0858773855583199	0.564722538130234
Sym_100230_c0_g1	75.8871009983174	-0.197967289827332	0.206842767889654	-0.957090701536845	0.33852147648361	0.775940871721102
Sym_100246_c0_g3	93.4650827941802	-0.302737762425603	0.296807533655419	-1.01998004800332	0.307737923353593	0.756822185346587
Sym_100437_c0_g1	113.544407617753	0.0240195356815564	0.188012685641848	0.127754867175889	0.89834296806916	0.979207893686205
Sym_100629_c0_g1	184.415875250849	-0.334052689157412	0.193575508077074	-1.72569708056458	0.0844019235453148	0.564722538130234
Sym_100793_c2_g1	124.844292673603	-0.440130529611496	0.191309590031569	-2.30061927130191	0.0214131607763149	0.391114307092321
Sym_100802_c0_g1	147.432029328871	0.270258022792252	0.164866657881484	1.63925214634077	0.101160757699796	0.595413351561276
Sym_101037_c0_g1	154.158176816567	0.0299952370699443	0.184042161285927	0.162980247897349	0.870533986615883	0.979207893686205
Sym_101057_c0_g1	206.211583778268	-0.187212691543908	0.19401893012014	-0.964919719060311	0.334585023849243	0.775940871721102
Sym_101136_c0_g1	29.9114219260998	0.917983294712274	0.342311376051873	2.68172009151447	0.00732447162696392	0.235173694019821
Sym_101138_c0_g1	103.802112787497	-0.0818228374298921	0.218492587014984	-0.374487933653698	0.708041332163109	0.933426609322804
Sym_101210_c1_g3	70.3552126618472	-0.517595118027371	0.238735685212938	-2.16806765844707	0.0301535391185636	0.412972383580328
Sym_101245_c3_g1	34.5104068142616	-0.252062415342217	0.397177948758569	-0.634633458705526	0.525667501087076	0.873085456681234
Sym_101261_c1_g1	87.760895319142	-0.415855053728219	0.205214648456517	-2.02643942260455	0.0427197745345827	0.464025137185985
Sym_101299_c0_g1	61.5093716057145	-0.0402517098970305	0.250549070055237	-0.160653998389044	0.872365922659069	0.979207893686205
Sym_101312_c0_g2	35.0916852089459	0.168983817726483	0.309105034128	0.546687368593638	0.584593533659633	0.899649873985576
Sym_101326_c0_g1	193.338538183708	0.169381284300096	0.163721236263028	1.03457125151422	0.300869185605737	0.756822185346587
Sym_101441_c0_g1	133.967373929656	-0.105065127118945	0.199414832961754	-0.526867162078636	0.5982858390859	0.903885080633374
Sym_101501_c0_g1	156.126979325805	-0.174038138422584	0.155548744886589	-1.11886559129407	0.263197484200412	0.742064343714621
Sym_101501_c0_g2	87.1639782575397	-0.562505660701842	0.252426984196171	-2.22838957765584	0.0258545474981013	0.391409863403768
Sym_101543_c0_g2	308.177945557891	-0.139609822598987	0.128156917618876	-1.08936626436483	0.275992402005078	0.755651985121706
Sym_101543_c0_g3	266.483482329964	-0.0571901260463781	0.162805504329964	-0.351278823659848	0.725379180193191	0.938375530845401
Sym_101592_c0_g2	216.906726217139	-0.0184722084202888	0.159843035730202	-0.115564674656629	0.907997560811361	0.979207893686205
Sym_101592_c0_g3	130.553292852716	-0.591077803052698	0.222299834170246	-2.65892147539807	0.00783912313399403	0.235173694019821
Sym_101757_c0_g1	152.655837890226	-0.230635497827203	0.173752270043084	-1.3273812064154	0.184382613308817	0.682791895590184
Sym_101757_c0_g2	34.6035139916701	-0.82543399518002	0.369750570763975	-2.23240762948524	0.0255880340244025	0.391409863403768
Sym_101806_c0_g1	111.217531877909	-0.02116376993271	0.222729948338385	-0.095019866392447	0.924299047215638	0.979207893686205
Sym_101851_c0_g1	351.166020634042	0.448846984222235	0.152327585050155	2.94659029797164	0.00321298594213628	0.168681761962155
Sym_101880_c0_g1	155.135404688041	-0.152587381791588	0.17047689383211	-0.895061954506632	0.370753970247273	0.785481706938909
Sym_101971_c0_g1	46.733151344385	-0.04816382549972	0.300716581062797	-0.160163517852919	0.872752266885067	0.979207893686205
Sym_101976_c0_g1	143.740440083196	-0.175773182734505	0.201883194372266	-0.87066773081857	0.383935602751064	0.793256016755204
Sym_102048_c0_g1	40.3533695912389	-0.500817833894842	0.362292547851802	-1.38235753637335	0.166861947634784	0.640994067133622
Sym_102230_c0_g1	45.4557332562847	-0.749837780883021	0.324578681995532	-2.31018801442217	0.0208777473163305	0.391114307092321
Sym_102324_c0_g5	66.80075731971	-0.277462862268249	0.2406707341261	-1.15287329502586	0.248962394633484	0.726394049469025
Sym_102382_c3_g3	652.757883250741	-0.0599638133451372	0.0997313246196173	-0.601253553723904	0.547671119933239	0.886973793208074
Sym_102395_c0_g1	178.731049468121	0.101954233312756	0.171189983530657	0.595561908530107	0.551467929850411	0.887706451705655
Sym_102471_c7_g1	232.199080318066	0.569708040073869	0.210192491050186	2.71041100101831	0.00671998803064966	0.235173694019821
Sym_102539_c1_g2	66.1626223141336	0.158766975221425	0.224493716933559	0.707222355218132	0.479428308213422	0.850816434294242
Sym_102539_c1_g5	255.625454662439	-0.0481031115539299	0.148751149081159	-0.32337976446612	0.746407652589713	0.948410260041484
Sym_102539_c1_g6	35.8791595825575	-0.319786302489307	0.315743343161389	-1.01280457503059	0.311153515015351	0.756822185346587
Sym_102539_c1_g8	46.8331933454583	-0.0880466774135743	0.281370546467036	-0.312920732177238	0.754340886022665	0.948410260041484
Sym_102539_c1_g9	76.4872255953795	-0.0476568551215033	0.249250212973472	-0.19120086018372	0.848368229719152	0.976756123437015
Sym_102575_c0_g1	37.7042425040144	0.268913067000718	0.299608059295729	0.897549510626771	0.369425766631812	0.785481706938909
Sym_102636_c0_g1	319.183816610628	-0.14816532942367	0.106169300508086	-1.3955571781542	0.162847885161259	0.637055604928388
Sym_102664_c0_g1	133.050490381608	-0.0409486694316564	0.240746216737314	-0.170090604066841	0.864938882715004	0.979207893686205
Sym_102695_c0_g1	93.0161563480633	-0.184117017252549	0.233982321036298	-0.786884310050017	0.431349593059402	0.813623483914441
Sym_102764_c1_g1	34.6113223284104	0.307954650425087	0.348405596455857	0.883896968239731	0.376751833983514	0.788550350198053
Sym_102774_c0_g1	294.628339958715	-0.149431861056486	0.159087398826838	-0.939306709132495	0.347573294963417	0.780547258493054
Sym_102785_c0_g1	37.7256553073213	0.151286675892123	0.306518076727181	0.493565265407747	0.621613236580859	0.915970722615669
Sym_102797_c0_g2	79.2530765976722	-0.146120403431479	0.203410298113448	-0.718353027288633	0.472539641825438	0.849030214082392
Sym_102806_c2_g3	71.3175713132879	-0.688912535399965	0.221325738923973	-3.11266343783273	0.00185407322432685	0.14600826641574
Sym_102806_c2_g4	135.367051571976	-0.146841190111857	0.226617315428179	-0.647969859824745	0.517004444644874	0.863959682032548
Sym_102873_c0_g2	54.7537234034068	0.047551447100126	0.281142817986535	0.169136268323253	0.865689457875769	0.979207893686205
Sym_102902_c2_g1	106.20754862875	-0.0889189774121857	0.248947375098621	-0.357179815119402	0.720957195796181	0.935924767829841
Sym_102979_c12_g1	52.092459592595	0.386717694853655	0.262784972351793	1.47161267020989	0.141125502124148	0.637055604928388
Sym_103005_c0_g1	216.99054033664	-0.0314060803046369	0.170050683556571	-0.184686586656319	0.853474867487758	0.977616666395068
Sym_103012_c3_g1	51.9628495360693	0.533533349760868	0.271477533214229	1.96529467261604	0.0493801418341548	0.478607528546424
Sym_103093_c3_g10	35.2616838574895	-0.107495037682275	0.338120172577375	-0.31791962266811	0.750545907499591	0.948410260041484
Sym_103171_c0_g1	190.827101016968	0.267758762466265	0.17365140136149	1.54193263265911	0.123089965044647	0.619457504073301
Sym_103230_c4_g2	29.237948574263	0.0736991494758211	0.354645386646641	0.20781082244629	0.835376681996916	0.974606128996402
Sym_103259_c1_g1	61.6124934633963	-0.492441789879833	0.255361655280169	-1.9284092959828	0.0538042364701722	0.498480426120713
Sym_103259_c1_g2	52.7290285009	0.121692646477964	0.328404220261075	0.370557498868989	0.710967142726369	0.933426609322804
Sym_103259_c1_g4	208.88169957032	-0.134573902572205	0.164401888136435	-0.818566648459193	0.413033701884144	0.808009047283527
Sym_103259_c2_g1	72.0411469446847	0.178737318119724	0.204003673492533	0.876147547050253	0.380949827392331	0.79207389853851
