,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
OC4_F_B,0,0,2,11.7712679269883,7,2329,288914,0,0,23,46,8557,34.8639178617992
OC5_H_B,0,0,1,7.36603650586701,5,1830,180792,0,0,14,26,9127,37.1862777053455
OC9_C_B,0,0,2,12.9700537809648,8,3325,318337,0,0,24,46,7359,29.982887874837
OD4_C_B,0,0,2,10.4275179269883,7,3487,255933,0,0,20,38,7879,32.1015319426336
OD5_F_B,0,0,3,21.4354220990874,12,3151,526111,0,0,42,87,7068,28.7972620599739
OD6_H_B,0,0,2,11.0645779009126,8,1980,271569,0,0,23,41,7111,28.9724576271186
OE10_F_W,0,0,2,15.4845583441982,8,3376,380053,0,0,28,58,8253,33.6253259452412
OE11_C_W,0,0,2,9.94617829204694,7,2360,244119,0,0,20,38,8371,34.1060951760104
OE3_H_W,0,0,3,15.1648468057366,11,2671,372206,0,0,30,56,6489,26.4382333767927
OF7_C_B,0,0,1,6.39146023468057,4,1547,156872,0,0,12,24,10455,42.5969687092568
OF8_F_B,0,0,1,12.1040987614081,6,2816,297083,0,0,22,45,9286,37.8340938722295
OF9_H_B,0,1,4,17.8796854628422,13,3404,438839,0,0,36,66,5846,23.8184485006519
OI1_C_B,0,1,5,26.799462190352,19,9381,657766,0,0,55,101,4914,20.021186440678
OI2_F_B,0,0,2,17.0168269230769,10,2866,417661,0,0,33,67,7721,31.4577900912647
OI3_H_B,0,0,2,9.45587516297262,6,2119,232085,0,0,19,34,8463,34.4809322033898
OJ13_C_B,0,1,4,21.3948826597132,15,6546,525116,0,0,43,81,5593,22.7876466753585
OJ14_F_B,0,0,4,26.0918758148631,15,3757,640399,0,0,53,108,6236,25.4074315514993
OJ15_H_B,0,0,1,7.71084582790091,5,3161,189255,0,0,15,29,8846,36.0413950456323
OK1_C_W,0,0,0,3.45742340286832,2,1310,84859,0,0,6,12,12677,51.6500977835724
OK2_F_W,0,0,2,14.4471561277705,9,2992,354591,0,0,28,55,7777,31.6859517601043
OK3_H_W,0,0,1,7.91313559322034,5,2063,194220,0,0,15,28,9078,36.9866362451108
OM1_C_B,0,1,4,21.5258719035202,16,4847,528331,0,0,43,81,5164,21.0397653194263
OM2_F_B,0,0,1,7.33657920469361,4,1618,180069,0,0,14,29,10332,42.0958279009126
OM3_H_B,0,0,2,9.16016134289439,6,1872,224827,0,0,18,34,7881,32.1096805736636
OO1_C_W,0,1,4,20.0491362451108,14,5244,492086,0,0,39,74,5464,22.2620599739244
OO2_F_W,0,0,2,14.8603732073012,9,2998,364733,0,0,28,57,7762,31.6248370273794
OP1_C_W,0,1,3,17.6857480443286,12,5032,434079,0,0,34,65,6121,24.9388852672751
OP2_F_W,0,0,2,16.6892926988266,9,3840,409622,0,0,30,62,7767,31.6452086049544
OP3_H_W,0,0,2,13.0675521512386,9,2861,320730,0,0,25,48,6937,28.2635267275098
OQ11_H_W,0,0,3,15.415498696219,11,2893,378358,0,0,31,58,6144,25.0325945241199
OQ1_C_W,0,0,2,10.9665091264668,7,3270,269162,0,0,21,39,8079,32.9163950456323
OQ4_F_W,0,1,5,36.5729302477184,22,5087,897646,0,0,74.7000000000007,152,5259,21.4268252933507
OR7_C_B,0,0,2,11.5744377444589,8,3638,284083,0,0,22,41,7453,30.3658735332464
OR8_F_B,0,0,2,16.0115303129074,9,2951,392987,0,0,31,64,7613,31.0177640156454
OR9_H_B,0,0,1,6.07940840938722,4,1725,149213,0,0,12,22,9546,38.8934159061278
