,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
OC4_F_B.host,0,1,5,25.5646258503401,19,1050,30064,0,0,59,103.25,226,19.2176870748299
OC5_H_B.host,0,1,3,13.0459183673469,9,867,15342,0,0,24,41,282,23.9795918367347
OC9_C_B.host,0,1,5,24.5697278911565,18,1184,28894,0,0,44.5,79.75,204,17.3469387755102
OD4_C_B.host,0,1,4,19.0263605442177,15,860,22375,0,0,37,67,206,17.5170068027211
OD5_F_B.host,0,2,10,46.5544217687075,36,1480,54748,0,0,100,195.75,183,15.5612244897959
OD6_H_B.host,0,1,5,18.7440476190476,16,980,22043,0,0,42,68,209,17.7721088435374
OE10_F_W.host,0,1,6,34.1981292517007,23,1332,40217,0,0,68.5,131.75,221,18.7925170068027
OE11_C_W.host,0,1,5,18.9107142857143,16,886,22239,0,0,39.5,66,220,18.7074829931973
OE3_H_W.host,0,2,7,26.7397959183673,21,1192,31446,0,0,57.5,91.5,173,14.7108843537415
OF7_C_B.host,0,0,2,12.140306122449,8,1212,14277,0,0,24,40.25,340,28.9115646258503
OF8_F_B.host,0,1,5,27.8520408163265,19,1312,32754,0,0,55,106.25,237,20.1530612244898
OF9_H_B.host,0,2,8.5,32.312925170068,27,1792,38000,0,0,66.5,104,153,13.0102040816327
OH11_F_W.host,0,1,3,18.7329931972789,12,788,22030,0,0,37,75.25,280,23.8095238095238
OH15_H_W.host,0,3,10,38.4744897959184,31,1616,45246,0,0,80.5,146,138,11.734693877551
OH1_C_W.host,0,1,5,22.8078231292517,17,1077,26822,0,0,43,76.25,194,16.4965986394558
OI1_C_B.host,0,3.75,13,47.7372448979592,43,1804,56139,0,1,101,186,114,9.69387755102041
OI2_F_B.host,0,2,8,38.0280612244898,30,1383,44721,0,0,79.5,154.75,181,15.391156462585
OI3_H_B.host,0,1,4,16.7287414965986,13,668,19673,0,0,34.5,55.75,248,21.0884353741497
OJ13_C_B.host,0,2,9,37.984693877551,33,1928,44670,0,0,83.5,133.25,156,13.265306122449
OJ14_F_B.host,0,2,12,56.4302721088435,42,1788,66362,0,0,124.5,245.75,145,12.3299319727891
OJ15_H_B.host,0,1,3,13.1853741496599,10,1142,15506,0,0,27,45,287,24.4047619047619
OM1_C_B.host,0,3,10,36.3971088435374,31,1294,42803,0,0,79,126.5,130,11.0544217687075
OM2_F_B.host,0,1,3,15.8137755102041,12,700,18597,0,0,34,63,288,24.4897959183673
OM3_H_B.host,0,1,4,15.4353741496599,12,833,18152,0,0,33.5,53,242,20.578231292517
ON4_C_W.host,0,1,7,30.7746598639456,24,1693,36191,0,0,62,99.25,190,16.156462585034
ON5_F_W.host,0,6,22.5,105.731292517007,83,3605,124340,0,1,229,445.25,101,8.58843537414966
ON6_H_W.host,0,1,3,14.547619047619,11,886,17108,0,0,26,42.25,266,22.6190476190476
OQ11_H_W.host,0,2,7,27.3078231292517,22,1551,32114,0,0,54,93,158,13.4353741496599
OQ1_C_W.host,0,1,4,20.280612244898,15,1019,23850,0,0,38,68,225,19.1326530612245
OQ4_F_W.host,0,4,16,79.094387755102,63.25,2507,93015,0,1,167.5,354.5,111,9.43877551020408
OR7_C_B.host,0,1,5,21.3171768707483,17,1056,25069,0,0,43.5,79.5,208,17.687074829932
OR8_F_B.host,0,2,7,35.3350340136054,25.25,1579,41554,0,0,77.5,138.75,187,15.9013605442177
OR9_H_B.host,0,0,2,10.7576530612245,8,648,12651,0,0,20.5,34.5,319,27.1258503401361
OC4_F_B.sym,0,0,0,1.67517006802721,1,537,1970,0,0,2,4,789,67.0918367346939
OC5_H_B.sym,0,0,0,1.75170068027211,1,516,2060,0,0,3.5,6,709,60.2891156462585
OC9_C_B.sym,0,0,0,1.96683673469388,1,626,2313,0,0,3,4,756,64.2857142857143
OD4_C_B.sym,0,0,0,1.71598639455782,1,557,2018,0,0,3,4,756,64.2857142857143
OD5_F_B.sym,0,0,0,3.14030612244898,2,854,3693,0,0,5,7,597,50.765306122449
OD6_H_B.sym,0,0,0,1.38605442176871,1,577,1630,0,0,2,4,792,67.3469387755102
OF7_C_B.sym,0,0,0,1.49404761904762,1,459,1757,0,0,3,4.25,750,63.7755102040816
OF8_F_B.sym,0,0,0,1.50765306122449,1,566,1773,0,0,2,3,876,74.4897959183673
OF9_H_B.sym,0,0,0,1.99744897959184,1,781,2349,0,0,3,5,754,64.1156462585034
OI1_C_B.sym,0,0,1,3.08843537414966,2,711,3632,0,0,5.5,9,584,49.6598639455782
OI2_F_B.sym,0,0,1,3.2406462585034,2,940,3811,0,0,5,8,584,49.6598639455782
OI3_H_B.sym,0,0,0,1.07227891156463,1,481,1261,0,0,1,3,880,74.8299319727891
OJ13_C_B.sym,0,0,0,2.65051020408163,2,861,3117,0,0,4,7,655,55.6972789115646
