,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
OC4_F_B.host,0,5,16,49.827027027027,57,1146,9218,0.200000000000001,2,108.2,164.6,10,5.40540540540541
OC4_F_B.sym,0,1,2,6.62162162162162,4,536,1225,0,0,7,11.6,35,18.9189189189189
OC5_H_B.host,0,3,7,24.372972972973,19,855,4509,0,1,45.6,80,13,7.02702702702703
OC5_H_B.sym,0,2,4,6.32972972972973,7,81,1171,0,1,10.6,17,12,6.48648648648649
OC9_C_B.host,0,5,16,39.2216216216216,39,1073,7256,1.2,2,74.2,115,5,2.7027027027027
OC9_C_B.sym,0,2,3,8.24864864864865,5,328,1526,0,1,9,15.8,14,7.56756756756757
OD4_C_B.host,0,5,14,33.8054054054054,31,859,6254,1,2,57,87.7999999999999,7,3.78378378378378
OD4_C_B.sym,0,1,3,6.95675675675676,5,207,1287,0,1,9,18.6,15,8.10810810810811
OD5_F_B.host,0,10,34,92.572972972973,100,2921,17126,2,3,202,260.8,5,2.7027027027027
OD5_F_B.sym,0,3,5,12.8864864864865,8,854,2384,1,1,14,22,7,3.78378378378378
OD6_H_B.host,0,5,12,41.8486486486486,36,1621,7742,1,2,64.6,120.4,5,2.7027027027027
OD6_H_B.sym,0,1,2,5.14054054054054,4,154,951,0,0,8,12.8,24,12.972972972973
OE10_F_W.host,0,6,20,59.9837837837838,57,1280,11097,0,2,138.4,171,13,7.02702702702703
OE11_C_W.host,0,5,13,32.7459459459459,39,581,6058,1.2,2,66.6,91.1999999999999,3,1.62162162162162
OE3_H_W.host,0,7,17,50.8324324324324,48,1414,9404,1.2,3,91,146,4,2.16216216216216
OF7_C_B.host,0,2,7,23.7945945945946,22,1182,4402,0,0,40.6,68.8,20,10.8108108108108
OF7_C_B.sym,0,2,3,5.12972972972973,5,77,949,0,1,10,15,11,5.94594594594595
OF8_F_B.host,0,4,17,51.9891891891892,47,1206,9618,1,1.4,115.8,159.8,7,3.78378378378378
OF8_F_B.sym,0,1,1,6.45405405405405,3,566,1194,0,0,5,7.79999999999998,45,24.3243243243243
OF9_H_B.host,0,9,22,58.4594594594595,51,1798,10815,1.2,5,101,131.8,4,2.16216216216216
OF9_H_B.sym,0,2,4,8.56756756756757,6,286,1585,0,1,10,16.6,11,5.94594594594595
OH1_C_W.host,0,4,15,37.8756756756757,33,1083,7007,1,2,65.2,105.4,4,2.16216216216216
OH11_F_W.host,0,3,13,36.5621621621622,32,1011,6764,0,1,88,116,12,6.48648648648649
OH15_H_W.host,0,10,25,75.9513513513513,77,2038,14051,3,4.4,140.2,224.999999999999,2,1.08108108108108
OI1_C_B.host,0,15,38,91.7675675675676,88,2049,16977,2.2,8,184.6,245.4,2,1.08108108108108
OI1_C_B.sym,0,4,6,12.8810810810811,12,247,2383,2,3,19,24.3999999999999,2,1.08108108108108
OI2_F_B.host,0,8,27,72.2054054054054,70,2036,13358,1,3,172.4,233,8,4.32432432432432
OI2_F_B.sym,0,3,5,13.8432432432432,10,940,2561,1,2,16,22.8,4,2.16216216216216
OI3_H_B.host,0,4,11,28.1783783783784,26,670,5213,1,1,51.8,86.9999999999998,9,4.86486486486486
OI3_H_B.sym,0,1,1,4.35675675675676,3,148,806,0,0,6,10.6,40,21.6216216216216
OJ13_C_B.host,0,10,27,68.8810810810811,70,1908,12743,3,5,140.8,186.2,2,1.08108108108108
OJ13_C_B.sym,0,3,5,10.0108108108108,8,187,1852,1,2,15.6,20.6,5,2.7027027027027
OJ14_F_B.host,0,10,42,102.318918918919,123,1838,18929,3,5.4,234,369,3,1.62162162162162
OJ14_F_B.sym,0,3,5,15.3189189189189,9,1087,2834,1,2,15.2,23.8,2,1.08108108108108
OJ15_H_B.host,0,3,8,29.6918918918919,24,1136,5493,0,1,51.6,79.7999999999998,13,7.02702702702703
OJ15_H_B.sym,0,2,5,6.75675675675676,8,109,1250,1,1.4,12,16,7,3.78378378378378
OM1_C_B.host,0,10,26,58.0810810810811,73,1246,10745,2.2,5,114.2,171.8,2,1.08108108108108
OM1_C_B.sym,0,3,5,10.2162162162162,9,189,1890,1,2,15.6,22.8,6,3.24324324324324
OM2_F_B.host,0,3,11,29.4324324324324,35,597,5445,0,1,63.6,86.9999999999999,12,6.48648648648649
OM2_F_B.sym,0,1,2,5.02702702702703,4,299,930,0,0,7,11,22,11.8918918918919
OM3_H_B.host,0,3,10,29.8594594594595,26,815,5524,1,2,51,99.1999999999998,6,3.24324324324324
OM3_H_B.sym,0,5,9,11.7567567567568,14,92,2175,2,3,21.6,32.8,3,1.62162162162162
ON4_C_W.host,0,7,20,54.5783783783784,50,1674,10097,1,3,107.2,146.4,6,3.24324324324324
ON5_F_W.host,0,23,67,195.572972972973,214,3563,36181,5.2,9,465.6,643.6,2,1.08108108108108
ON6_H_W.host,0,3,8,24.8648648648649,20,909,4600,0,1,35.2,58.6,18,9.72972972972973
OQ1_C_W.host,0,5,13,34.5081081081081,34,1006,6384,1,2,55.6,94,5,2.7027027027027
OQ11_H_W.host,0,7,20,58.5297297297297,50,1584,10828,2,3,92.2,169.2,2,1.08108108108108
OQ4_F_W.host,0,17,48,152.318918918919,170,3372,28179,3.2,6,367.4,487,2,1.08108108108108
OR7_C_B.host,0,6,15,39.6108108108108,36,1030,7328,1,2.4,72,115,4,2.16216216216216
OR7_C_B.sym,0,1,3,7.45945945945946,5,218,1380,1,1,11.6,18.8,9,4.86486486486486
OR8_F_B.host,0,7,21,72.3891891891892,66,2278,13392,1,2,141.8,249.8,4,2.16216216216216
