,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
OC4_F_B,0,0,0,0.883760091129711,1,2029,17844,0,0,2,3,14431,71.4724382150463
OC5_H_B,0,0,0,1.29438858897529,1,2233,26135,0,0,3,4,13447,66.5989797434501
OC9_C_B,0,0,0,1.13382199990095,1,2552,22893,0,0,2,4,14374,71.190134218216
OD4_C_B,0,0,0,1.05314248922787,1,2189,21264,0,0,2,3,14195,70.303600614135
OD5_F_B,0,0,0,1.85934327175474,1,2398,37542,0,0,4,6,11372,56.3221237184884
OD6_H_B,0,0,0,0.897082858699421,1,1749,18113,0,0,2,3,14791,73.2554108266059
OF7_C_B,0,0,0,1.00272398593433,1,1562,20246,0,0,2,4,14055,69.6102223763063
OF8_F_B,0,0,0,0.641275815957605,0,1074,12948,0,0,1,2,15894,78.7182408003566
OF9_H_B,0,0,0,1.25486602941905,1,2921,25337,0,0,2,4,14021,69.4418305185479
OI1_C_B,0,0,0,2.3477787132881,1,6005,47404,0,0,4,7,11411,56.5152790847407
OI2_F_B,0,0,0,1.94160764697142,2,1824,39203,0,0,4,6,11028,54.6183943341093
OI3_H_B,0,0,0,0.649744935862513,0,2406,13119,0,0,1,2,16259,80.5259769204101
OJ13_C_B,0,0,0,1.92050913773463,1,5301,38777,0,0,3,6,12435,61.5868456242881
OJ14_F_B,0,0,0,2.02367391412015,1,3599,40860,0,0,4,6,11335,56.1388737556337
OJ15_H_B,0,0,0,1.59323460947947,1,3090,32169,0,0,3,5,12587,62.3396562825021
OM1_C_B,0,0,0,1.8368580060423,1,3025,37088,0,0,3,6,12349,61.1609132781933
OM2_F_B,0,0,0,0.791689366549453,1,813,15985,0,0,2,3,14365,71.145559902927
OM3_H_B,0,0,0,2.46634639195681,2,1258,49798,0,0,5,9,10405,51.5328611757714
OR7_C_B,0,0,0,1.15472240106978,1,3498,23315,0,0,2,4,14161,70.1352087563766
OR8_F_B,0,0,0,1.35842702194047,1,2505,27428,0,0,3,4,12417,61.4976969937101
OR9_H_B,0,0,0,0.612252984002774,0,1396,12362,0,0,1,2,16019,79.3373285127037
