,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
OA4_C_W,0,0,0,0.746536831812255,0,233,18323,0,0,2,3,19127,77.9294328552803
OA5_F_W,0,0,2,9.01373044328553,6,2194,221233,0,0,17,32,8358,34.0531290743155
OA6_H_W,0,0,3,14.0273386571056,10,2417,344287,0,0,29,55,6873,28.0027705345502
OE10_F_W,0,0,2,15.4845583441982,8,3376,380053,0,0,28,58,8253,33.6253259452412
OE11_C_W,0,0,2,9.94617829204694,7,2360,244119,0,0,20,38,8371,34.1060951760104
OE3_H_W,0,0,3,15.1648468057366,11,2671,372206,0,0,30,56,6489,26.4382333767927
OK1_C_W,0,0,0,3.45742340286832,2,1310,84859,0,0,6,12,12677,51.6500977835724
OK2_F_W,0,0,2,14.4471561277705,9,2992,354591,0,0,28,55,7777,31.6859517601043
OK3_H_W,0,0,1,7.91313559322034,5,2063,194220,0,0,15,28,9078,36.9866362451108
OO1_C_W,0,1,4,20.0491362451108,14,5244,492086,0,0,39,74,5464,22.2620599739244
OO2_F_W,0,0,2,14.8603732073012,9,2998,364733,0,0,28,57,7762,31.6248370273794
OP1_C_W,0,1,3,17.6857480443286,12,5032,434079,0,0,34,65,6121,24.9388852672751
OP2_F_W,0,0,2,16.6892926988266,9,3840,409622,0,0,30,62,7767,31.6452086049544
OP3_H_W,0,0,2,13.0675521512386,9,2861,320730,0,0,25,48,6937,28.2635267275098
OQ11_H_W,0,0,3,15.415498696219,11,2893,378358,0,0,31,58,6144,25.0325945241199
OQ1_C_W,0,0,2,10.9665091264668,7,3270,269162,0,0,21,39,8079,32.9163950456323
OQ4_F_W,0,1,5,36.5729302477184,22,5087,897646,0,0,74.7000000000007,152,5259,21.4268252933507
