baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ORTHOMCL5602	33.6311727120301	0.573891914731336	0.49483405442702	1.15976640976309	0.246143923565616	0.580926477372017
ORTHOMCL1396	15.9074755084725	-0.00637613093781303	0.35695687736187	-0.0178624683881609	0.985748570121295	0.997345612122722
ORTHOMCL7155	26.5951868841844	-0.287783679122062	0.158888580670455	-1.81122946600514	0.0701053387956224	0.287098054115406
ORTHOMCL7010	29.4862459433977	-0.114765065487818	0.179644664416886	-0.638844832159852	0.522923879845088	0.833021698866972
ORTHOMCL8860	16.7840113535705	0.330806787952214	0.157315545554888	2.1028232574561	0.0354812221964053	0.190711569305679
ORTHOMCL5435	39.9109333272757	-0.507010827693185	0.114701843595337	-4.42025003087043	9.85867663733319e-06	0.000423923095405327
ORTHOMCL8210	6.94117754706093	0.991052409410048	0.337660760478267	2.93505353718421	0.00333490143137077	0.0382402030797181
ORTHOMCL8854	10.2565222608651	0.635340713330748	0.3653561496421	1.73896269148096	0.0820413256244958	0.31907606385151
ORTHOMCL798.1	23.7804212226589	-1.01630830742388	0.226668513937929	-4.48367658025142	7.33678359565672e-06	0.000420642259484318
ORTHOMCL3522.1	55.4286394223785	0.260109245473946	0.224473001144303	1.15875514715792	0.246556004931147	0.580926477372017
ORTHOMCL5408	10.5140542543075	-0.410940577082791	0.56341154929713	-0.72937904378327	0.465769833098381	0.827856452703522
ORTHOMCL3470	29.751392079709	-0.171092168795898	0.138744886763944	-1.23314215598437	0.21752273185696	0.580926477372017
ORTHOMCL1829	118.341108365831	0.490922108630751	0.131005700409507	3.74733394879912	0.000178724074052834	0.00428400762621583
ORTHOMCL8796	44.472763549226	-0.00956006516169115	0.236433765816345	-0.0404344325721951	0.967746779463207	0.997345612122722
ORTHOMCL4705	19.306056325377	0.0882712324757862	0.129681557963302	0.680676835335101	0.496075997013691	0.833021698866972
ORTHOMCL8156	87.7464904895388	0.345392851964474	0.168884843693283	2.0451382398278	0.0408412312176781	0.208090165285365
ORTHOMCL2376.1	20.9606699954379	0.0376766429862913	0.346795124307467	0.108642366473663	0.913486156029478	0.9881737033778
ORTHOMCL9014	253.442933676748	0.0407763876631931	0.207903755710584	0.196131077689412	0.844507572146144	0.954238528264622
ORTHOMCL2215.1	11.9005217828485	0.289325976460826	0.407294882025132	0.710359960877125	0.477480945562489	0.829562854916648
ORTHOMCL1830	20.4167742112393	0.181114986125049	0.254898346934125	0.710538096082104	0.47737051548076	0.829562854916648
ORTHOMCL3469.1	21.8565751099907	0.234202921301467	0.358950719890401	0.652465389602721	0.514100993144259	0.833021698866972
ORTHOMCL3632	18.2057538115897	-0.432137713336467	0.158403582610291	-2.72808042731978	0.00637040737955279	0.06445353348724
ORTHOMCL5488	64.1346321667457	-0.349920664508723	0.145746651016878	-2.40088305334853	0.0163555626057105	0.11495369639411
ORTHOMCL1657	53.1070436775325	0.0871724954729033	0.155970243289423	0.558904657929805	0.576226790335401	0.85169902699185
ORTHOMCL8950	26.0577892482202	-0.508352113253856	0.948533989894257	-0.535934524929916	0.59200380248422	0.855952785576355
ORTHOMCL5387	14.1239612688558	-0.10708195290098	0.296429368951346	-0.361239351147274	0.717920527451394	0.901330881179852
ORTHOMCL2459.1	66.0297694450345	0.600419925582808	0.142942365045266	4.20043368802994	2.66404187618518e-05	0.000916430405407701
ORTHOMCL5426	35.6385433157306	-0.247210307648965	0.188979412511627	-1.30813353879887	0.190828019506861	0.55631219246068
ORTHOMCL8292	15.7324478120693	-1.5952554681109	0.386063941231052	-4.13210170062522	3.59461300714764e-05	0.00103045572871566
ORTHOMCL4694	22.3385867366809	0.290146385133107	0.28659388889247	1.01239557568504	0.311348952928098	0.664202337292549
ORTHOMCL2178.1	73.5439980242321	-0.0489273467964262	0.217751717158562	-0.224693276520976	0.822217895439351	0.943466884778638
ORTHOMCL5179	31.4933221484155	-0.0104865608828949	0.114990397300134	-0.0911951008876349	0.927337567659416	0.991632124099229
ORTHOMCL1813.1	94.9294514837963	-0.157670400824721	0.212191598713266	-0.743056755219514	0.457447319826799	0.827856452703522
ORTHOMCL1140	10.8789217468439	-0.0337464558674027	0.374576066457353	-0.0900923974843569	0.928213790581255	0.991632124099229
ORTHOMCL1113.1	332.384889148452	0.619473833161405	0.329192887348381	1.88179592260092	0.0598637296458059	0.278285445921044
ORTHOMCL2461.1	58.4510188831339	-0.0950929768344222	0.251092507695249	-0.378716902815104	0.704898100120571	0.901330881179852
ORTHOMCL5380	15.5258812505731	-0.144247368739943	0.171301769835056	-0.842065840176881	0.399751100741612	0.779766956103986
ORTHOMCL3054.1	19.1920349863915	0.286096182019902	0.320241645844737	0.893375941986667	0.37165588176923	0.74331176353846
ORTHOMCL5282	45.7971095508459	-0.107756647302842	0.268286377198504	-0.401647852671675	0.687943207374313	0.901330881179852
ORTHOMCL8692	19.5903403213308	0.237058789063804	0.235262029844182	1.00763726820181	0.313628630721538	0.664202337292549
ORTHOMCL2424	21.2335824096637	-0.325904940109388	0.177326153358439	-1.83788422596987	0.0660794669609348	0.28414170793202
ORTHOMCL8891	17.5208737142837	0.290310807331516	0.367330005080222	0.790326962993711	0.429336844129811	0.820510413225862
ORTHOMCL8888	41.7360696797493	-0.0352268456915152	0.157293011870734	-0.223956838721261	0.822790887888347	0.943466884778638
ORTHOMCL2235	12.884418791443	-0.126878517156014	0.439699014743657	-0.288557656263986	0.772919903013793	0.928457308373821
ORTHOMCL7902	11.013550498413	-0.0592954608104995	0.512226858637475	-0.115760155506538	0.907842629453108	0.9881737033778
ORTHOMCL5536	14.0036269958157	-0.406283667625677	0.55110566550004	-0.737215552405979	0.460991277105936	0.827856452703522
ORTHOMCL2374	30.3520942690626	-0.446835578297528	0.175247308303771	-2.54974288976234	0.01078023888353	0.0882952899031983
ORTHOMCL8696	57.2221310785373	0.0899124994560623	0.270965213090199	0.331823035254833	0.74002288924253	0.909170978212251
ORTHOMCL3377	12.2271720417794	-0.382151037850228	0.219764896018258	-1.73890846433672	0.0820508651311896	0.31907606385151
ORTHOMCL1650.1	26.5804179237529	0.282149299563405	0.601699631787372	0.468920512258366	0.639126453815577	0.897396254215411
ORTHOMCL8945	27.3169835217064	-0.0682918326533029	0.127493189395385	-0.535650829484818	0.592199892346431	0.855952785576355
ORTHOMCL5591	22.5927430847422	0.214673757460657	0.128107498835958	1.67573139286365	0.0937908178371189	0.350696101477923
ORTHOMCL5428	24.8037517287945	-0.239018138425257	0.232527190120951	-1.02791479267835	0.303989910510253	0.664202337292549
ORTHOMCL8561	8.06486248033223	0.251371729053091	0.361952485320028	0.694488197341249	0.487376100020812	0.829987021817621
ORTHOMCL902.1	10.9583556277242	0.385241870879641	0.572586018861076	0.67281047421647	0.50106787328057	0.833021698866972
ORTHOMCL2547.1	11.2694424664019	-0.401443420801835	0.411459557723626	-0.975657056121859	0.329234439917531	0.6822689598291
ORTHOMCL8958	44.3426473069479	-0.00168457946350238	0.189422727207613	-0.00889322779972455	0.992904324375261	0.998710782412543
ORTHOMCL2519.1	12.6712818164396	0.441533900759275	0.528520411459931	0.835415040148832	0.403484064495667	0.779766956103986
