,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
OC4_F_B,0,0,0,0.628110809954592,0,2029,17844,0,0,1,2,22649,79.7247351191524
OC5_H_B,0,0,0,0.91995494385582,0,2233,26135,0,0,2,3,21665,76.2610440353409
OC9_C_B,0,0,0,0.805836178675772,0,2552,22893,0,0,1,3,22592,79.5240944771023
OD4_C_B,0,0,0,0.748495195184625,0,2189,21264,0,0,1,3,22413,78.8940124608399
OD5_F_B,0,0,0,1.32148262874441,1,2398,37542,0,0,3,5,19590,68.9570206624661
OD6_H_B,0,0,0,0.637579640254849,0,1749,18113,0,0,1,2,23009,80.9919391742054
OF7_C_B,0,0,0,0.712661480516738,0,1562,20246,0,0,1,3,22273,78.4012108838748
OF8_F_B,0,0,0,0.455771058467387,0,1074,12948,0,0,1,2,24112,84.8745115984371
OF9_H_B,0,0,0,0.891865253968813,0,2921,25337,0,0,2,3,22239,78.2815305008976
OI1_C_B,0,0,0,1.66862613960365,1,6005,47404,0,0,3,5,19629,69.0943011017635
OI2_F_B,0,0,0,1.37995001584005,1,1824,39203,0,0,3,5,19246,67.7461367876377
OI3_H_B,0,0,0,0.461790277728889,0,2406,13119,0,0,1,2,24477,86.1593157098103
OJ13_C_B,0,0,0,1.36495476785526,1,5301,38777,0,0,2,4,20653,72.6987926361364
OJ14_F_B,0,0,0,1.43827660248513,1,3599,40860,0,0,3,5,19553,68.8267802456968
OJ15_H_B,0,0,0,1.13235242352776,1,3090,32169,0,0,2,4,20805,73.2338343482699
OL6_C_B,0,0,0,1.10947235031152,1,2378,31519,0,0,2,4,21020,73.9906367700377
OL7_F_B,0,0,0,1.16269492062375,1,910,33031,0,0,2,4,19797,69.6856629941216
OL8_H_B,0,0,0,0.561864197965434,0,991,15962,0,0,1,2,23212,81.7065014608047
OM1_C_B,0,0,0,1.30550177760569,1,3025,37088,0,0,2,4,20567,72.3960716674293
OM2_F_B,0,0,0,0.562673800556162,0,813,15985,0,0,1,2,22583,79.492414375726
OM3_H_B,0,0,0,1.75289520926467,1,1258,49798,0,0,4,7,18623,65.5531697701433
OR7_C_B,0,0,0,0.820690626210004,0,3498,23315,0,0,1,3,22379,78.7743320778627
OR8_F_B,0,0,0,0.965468689499806,1,2505,27428,0,0,2,4,20635,72.6354324333838
OR9_H_B,0,0,0,0.435143792460136,0,1396,12362,0,0,1,2,24237,85.3145130064416
Control_1.1,0,0,7,45.2623464395086,35,15492,1285858,0,0,94,160,7317,25.7559224189517
Control_1,0,1,7,44.3266570453025,36,13575,1259276,0,0,92,154,6968,24.5274384878032
Control_2.1,0,0,7,43.2669928543771,34,14087,1229172,0,0,89,153,7108,25.0202400647682
Control_2,0,0,4,28.4030060896195,22,13301,806901,0,0,54,94,8611,30.3108169946144
Control_3.1,0,0,5,32.7868633179626,25,10938,931442,0,0,66,112,7806,27.4772079270654
Control_3,0,0,3,20.1069379422014,16,6588,571218,0,0,41,69,9215,32.4369037980922
Control_4.1,0,0,4,25.6273716075891,20,8698,728048,0,0,52,88,8094,28.4909711711077
Control_4,0,0,3,21.2304903375691,17,7243,603137,0,0,42,72,8796,30.9620190784611
Cool_1,0,0,4,17.0710690274209,16,4526,484972,0,0,38,62,7673,27.0090464289486
Cool_2,0,1,5,25.106093139498,23,7101,713239,0,0,55,91,6892,24.2599176317364
Cool_3,0,1,7,39.1972614312366,36,10521,1113555,0,0,88,147,5882,20.70470625506
Cool_4,0,1,8,41.6917174134957,38,11213,1184420,0,0,91,151,5764,20.2893449259038
Heat_1.1,0,0,5,37.3424266957654,28,13516,1060861,0,0,75,129,8226,28.9556126579605
Heat_1,0,0,6,40.2697384631631,34,9465,1144023,0,0,89,144,7351,25.875602801929
Heat_2.1,0,0,5,34.6361364356366,28,10941,983978,0,0,73,122,7887,27.7623288394523
Heat_2,0,0,6,40.6327220247105,34,9512,1154335,0,0,89,147,7482,26.3367242775177
Heat_3.1,0,0,6,40.6320180224577,33,9992,1154315,0,0,88,145,7441,26.1924038156922
Heat_3,0,0,3,21.3655883698828,17,8068,606975,0,0,44,73,8838,31.1098595515506
Heat_4.1,0,0,6,41.7533176106164,34,10511,1186170,0,0,89,147,7249,25.5165616529973
Heat_4,0,0,4,24.1036995318385,20,7493,684762,0,0,51,85,8293,29.1914534126509
