,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,libsum,perc05,perc10,perc90,perc95,zeros,percent.zeros
Control_1.1,0,0,7,45.4929418008137,35,15492,1285858,0,0,94,160,7173,25.3776755704935
Control_1,0,1,7,44.5524854059791,36,13575,1259276,0,0,92,154,6824,24.1429329559526
Control_2.1,0,1,7,43.4874226074651,35,14087,1229172,0,0,90,153,6964,24.6382451795507
Control_2,0,0,4,28.5477091809659,22,13301,806901,0,0,55,94,8467,29.9557756943216
Control_3.1,0,0,5,32.9539005837608,26,10938,931442,0,0,66,112,7662,27.1077304086326
Control_3,0,0,3,20.2093755528038,16,6588,571218,0,0,41,69,9071,32.0926941447019
Control_4.1,0,0,5,25.7579338404387,20,8698,728048,0,0,53,89,7950,28.1266584114629
Control_4,0,0,4,21.3386520431629,17,7243,603137,0,0,42,72,8652,30.6102954183619
Cool_1,0,0,4,17.1580399787723,16,4526,484972,0,0,38,62,7529,26.6371837962144
Cool_2,0,1,5,25.2339996462056,23,7101,713239,0,0,55,92,6748,23.8740491774279
Cool_3,0,1,8,39.3969573677693,37,10521,1113555,0,0,88,147,5738,20.3007252786131
Cool_4,0,1,8,41.9041217052892,38,11213,1184420,0,0,91,152,5620,19.883247833009
Heat_1.1,0,0,5,37.5326729170352,28,13516,1060861,0,0,76,130,8082,28.5936670794269
Heat_1,0,0,6,40.4748982840969,35,9465,1144023,0,0,89,145,7207,25.4979656819388
Heat_2.1,0,0,5,34.8125950822572,28,10941,983978,0,0,73,122,7743,27.3943039094286
Heat_2,0,0,6,40.8397311162215,34,9512,1154335,0,0,89,148,7338,25.9614364054484
Heat_3.1,0,0,6,40.8390235273306,33,9992,1154315,0,0,88,146,7297,25.8163806828233
Heat_3,0,0,3,21.4744383513179,17,8068,606975,0,0,45,73.7999999999993,8694,30.7588890854414
Heat_4.1,0,0,6,41.966035733239,35,10511,1186170,0,0,90,148,7105,25.137095347603
Heat_4,0,0,4,24.2264992039625,20,7493,684762,0,0,51,85,8149,28.8307093578631
