name	term	lev	seq	value
"plasma membrane"	GO:0005886	2	Sym_140163_c0_g1	0.144904897959237
"plasma membrane"	GO:0005886	2	Sym_152125_c5_g2	-12.6583168572489
"plasma membrane"	GO:0005886	2	Sym_98005_c2_g1	4.26238352947613
"plasma membrane"	GO:0005886	2	Sym_125225_c1_g2	-0.395535965234062
"plasma membrane"	GO:0005886	2	Sym_114907_c3_g1	-0.057037749181155
"plasma membrane"	GO:0005886	2	Sym_102695_c0_g1	-4.24162163684349
"plasma membrane"	GO:0005886	2	Sym_128149_c1_g1	-5.68820130114495
"plasma membrane"	GO:0005886	2	Sym_83072_c0_g2	0.135431035754398
"plasma membrane"	GO:0005886	2	Sym_114907_c3_g2	-4.56825697875224
"organelle membrane"	GO:0031090	2	Sym_101441_c0_g1	1.73769493987777
"organelle membrane"	GO:0031090	2	Sym_128685_c8_g1	1.0212160667121
"organelle membrane"	GO:0031090	2	Sym_113175_c1_g1	-7.52124559966502
"organelle membrane"	GO:0031090	2	Sym_105558_c0_g1	1.88629617960936
"organelle membrane"	GO:0031090	2	Sym_148542_c0_g2	0.432474514994376
"organelle membrane"	GO:0031090	2	Sym_83072_c0_g2	0.135431035754398
"organelle membrane"	GO:0031090	2	Sym_135943_c0_g1	-10.8047513568422
"organelle membrane"	GO:0031090	2	Sym_101057_c0_g1	-2.05987554368102
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_104246_c5_g1	5.73289218366231
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c3_g1	0.609288079539708
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_134584_c0_g1	0.270567847307583
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_131189_c6_g1	-0.279482722284583
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_110573_c2_g1	-3.15622329342363
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_119017_c0_g5	0.605122390478158
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_118341_c1_g2	1.60133284345291
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_124087_c4_g1	1.24558451563389
"photosystem II"	GO:0030076;GO:0009523;GO:0009521	2	Sym_103301_c0_g1	-0.583035304428393
"endoplasmic reticulum"	GO:0005783	2	Sym_310154_c0_g1	3.38217531590964
"endoplasmic reticulum"	GO:0005783	2	Sym_103005_c0_g1	-2.48303894080387
"endoplasmic reticulum"	GO:0005783	2	Sym_84255_c0_g2	-1.32774233533434
"endoplasmic reticulum"	GO:0005783	2	Sym_67222_c0_g1	-3.29212332167947
"endoplasmic reticulum"	GO:0005783	2	Sym_89763_c0_g1	1.81651980234139
"mitochondrion"	GO:0005739	2	Sym_93418_c0_g1	2.88756519423972
"mitochondrion"	GO:0005739	2	Sym_125225_c1_g2	-0.395535965234062
"mitochondrion"	GO:0005739	2	Sym_111423_c4_g1	0.975708894612573
"mitochondrion"	GO:0005739	2	Sym_103259_c1_g4	1.13661552066328
