name	term	lev	seq	value
"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters"	GO:0016894	2	Sym_40769_c0_g1	-0.309418091700868
"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters"	GO:0016894	2	Sym_117491_c0_g1	0.136738410255106
"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters"	GO:0016894	2	Sym_280513_c0_g1	0
"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters"	GO:0016894	2	Sym_24420_c0_g2	0.319695282316195
"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters"	GO:0016894	2	Sym_68978_c0_g1	0.00302240999048608
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_44665_c0_g1	2.13218660220944
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_57726_c0_g1	0
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_55684_c0_g1	0.445784124931501
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_141827_c4_g1	-0.478151877664869
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_95351_c0_g1	0
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_64260_c0_g1	0
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_45611_c0_g1	1.04057117564319
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_17498_c0_g1	0.258934651501395
"histone kinase activity"	GO:0035173;GO:0035174	2	Sym_273973_c0_g1	-0.0308421281018934
"nucleoside diphosphate kinase activity"	GO:0004550	3	Sym_128978_c3_g11	0.145993506445852
"nucleoside diphosphate kinase activity"	GO:0004550	3	Sym_128978_c3_g8	-0.0455375137374374
"nucleoside diphosphate kinase activity"	GO:0004550	3	Sym_105860_c1_g1	-1.10148710163661
"nucleoside diphosphate kinase activity"	GO:0004550	3	Sym_205020_c0_g1	3.50979518935799
"nucleoside diphosphate kinase activity"	GO:0004550	3	Sym_31483_c0_g1	0.105851570800057
"GTPase activator activity"	GO:0005096	2	Sym_108352_c0_g1	0.172190991300369
"GTPase activator activity"	GO:0005096	2	Sym_77536_c0_g1	0.172190991300369
"GTPase activator activity"	GO:0005096	2	Sym_120842_c2_g2	0.172191773269094
"GTPase activator activity"	GO:0005096	2	Sym_105248_c2_g1	-0.0794772163877654
"GTPase activator activity"	GO:0005096	2	Sym_14722_c0_g1	0.960354241047457
"GTPase activator activity"	GO:0005096	2	Sym_81587_c0_g2	0
"GTPase activator activity"	GO:0005096	2	Sym_131261_c1_g1	0.376043844186104
"GTPase activator activity"	GO:0005096	2	Sym_278835_c0_g1	0.0669146561568913
"GTPase activator activity"	GO:0005096	2	Sym_46889_c0_g1	-0.126260563847315
