name	term	lev	seq	value
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_80984_c0_g1	0.00228401538184348
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_125580_c4_g3	0
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_95407_c0_g2	0.0593380134027924
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_102517_c4_g2	-0.0186846000516549
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_121717_c2_g1	0.0819704347181171
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_125580_c4_g2	1.56679937499543
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_177037_c0_g1	-0.0156512581794885
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_426_c0_g1	-0.689905927601991
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_149370_c0_g1	0.533311855036579
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_19588_c0_g1	0.158373263375689
"sno(s)RNA-containing ribonucleoprotein complex"	GO:0005732	3	Sym_74179_c0_g1	1.39121704328782
"plant-type cell wall"	GO:0009505	2	Sym_127416_c0_g1	-0.033574466435989
"plant-type cell wall"	GO:0009505	2	Sym_76752_c0_g1	0.423331617151608
"plant-type cell wall"	GO:0009505	2	Sym_76571_c0_g1	-0.812764000152889
"plant-type cell wall"	GO:0009505	2	Sym_57203_c0_g1	-0.015650559780009
"plant-type cell wall"	GO:0009505	2	Sym_89781_c0_g1	0
"plant-type cell wall"	GO:0009505	2	Sym_40581_c0_g1	-0.104184457632813
"plant-type cell wall"	GO:0009505	2	Sym_61973_c0_g1	1.64937074400547
"plant-type cell wall"	GO:0009505	2	Sym_91477_c0_g1	-0.191952880178023
"plant-type cell wall"	GO:0009505	2	Sym_39713_c0_g1	0
"plant-type cell wall"	GO:0009505	2	Sym_151048_c0_g1	0.600784473009055
"plant-type cell wall"	GO:0009505	2	Sym_77098_c0_g1	0.278196617340733
"plant-type cell wall"	GO:0009505	2	Sym_274148_c0_g1	-1.20748149629476
"plant-type cell wall"	GO:0009505	2	Sym_92931_c0_g1	-2.45649572944671
"plant-type cell wall"	GO:0009505	2	Sym_211177_c0_g1	0.286308955984098
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	5	Sym_66870_c0_g1	0.116553606876881
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	5	Sym_99694_c0_g1	0.115048798694907
