Sym_214329_c0_g1	GO:0005737;GO:0003677;GO:0006355
Sym_285079_c0_g1	GO:0042644;GO:0042646;GO:0003723;GO:1901259;GO:0006952
Sym_56408_c0_g1	GO:0005737;GO:0005759;GO:0005634;GO:0052906;GO:0009019;GO:0008175;GO:0030488;GO:0002939
Sym_70068_c0_g1	GO:0005576
Sym_214569_c0_g1	GO:0098982;GO:0098978;GO:0005887;GO:0099059;GO:0043005;GO:0043025;GO:0042734;GO:0004930;GO:0008066;GO:0001642;GO:0007196;GO:0007193;GO:0007268;GO:0050966;GO:0007216;GO:0046928;GO:0051966;GO:2000300;GO:0035249
Sym_277966_c0_g1	GO:0005813;GO:0005737;GO:0005829;GO:0005634;GO:0005524;GO:0000978;GO:0051607;GO:0045087;GO:0035556;GO:0032088;GO:0032480;GO:0060339;GO:0060335;GO:0045345;GO:0045944;GO:0060340;GO:0043549;GO:0009617
Sym_274590_c0_g1	GO:0005901;GO:0030425;GO:0016021;GO:0005887;GO:0043005;GO:0043025;GO:0097038;GO:0005886;GO:0034705;GO:0042383;GO:0008076;GO:0005250;GO:0005216;GO:0046872;GO:0005267;GO:0005249;GO:0071773;GO:0097623;GO:1990573;GO:0071805;GO:0006813;GO:0051260;GO:0034765
Sym_158647_c0_g1	GO:0005829;GO:0000329;GO:0005794;GO:0000139;GO:0016021;GO:0006895;GO:0006886
Sym_156497_c0_g1	GO:0005739;GO:0004314;GO:0004312;GO:0006633
Sym_107280_c1_g3	GO:0005737;GO:0004089;GO:0008270;GO:0015976
Sym_206177_c0_g1	GO:0044295;GO:0005737;GO:0005829;GO:0005874;GO:0005739;GO:0043005;GO:0043025;GO:0005654;GO:0048471;GO:0032991;GO:0005524;GO:0032767;GO:0005528;GO:0035259;GO:0005525;GO:0031072;GO:0003755;GO:0051219;GO:0048156;GO:0030521;GO:0061077;GO:0006825;GO:0007566;GO:0046661;GO:0031115;GO:0031111;GO:0010977;GO:0030850;GO:0000413;GO:0031503;GO:0006463
Sym_217248_c0_g1	GO:0005737;GO:0005829;GO:0005634;GO:0005886;GO:0005524;GO:0005509;GO:0009931;GO:0005516;GO:0004683;GO:0004672;GO:0004674;GO:0009738;GO:0035556;GO:0018105;GO:0009789;GO:0046777;GO:0006468;GO:1901979;GO:0080092
Sym_137576_c4_g1	GO:0005886;GO:0004555;GO:0005993
Sym_55289_c0_g1	GO:0005794;GO:0000139;GO:0005795;GO:0016021;GO:0030246;GO:0046872;GO:0004653;GO:0009312;GO:0006486
Sym_274973_c0_g1	GO:0005891;GO:0046872;GO:0005245;GO:0034765
Sym_32579_c0_g1	GO:0000791;GO:0005634;GO:1990904;GO:0008098;GO:0003677;GO:0003729;GO:0006396
