name	term	lev	seq	value
"antioxidant activity"	GO:0016209	1	Sym_237228_c0_g1	-2.2544561543944
"antioxidant activity"	GO:0016209	1	Sym_24568_c0_g1	13.173091218881
"antioxidant activity"	GO:0016209	1	Sym_97621_c0_g2	1.27024378974046
"antioxidant activity"	GO:0016209	1	Sym_103171_c0_g1	-6.78717778125658
"antioxidant activity"	GO:0016209	1	Sym_209170_c0_g1	-0.320979054241698
"antioxidant activity"	GO:0016209	1	Sym_104174_c0_g1	-3.96438784249846
"antioxidant activity"	GO:0016209	1	Sym_30446_c0_g1	-1.38872335310968
"ubiquitin protein ligase activity"	GO:0061630;GO:0061659	2	Sym_132105_c3_g7	-0.350705450194125
"ubiquitin protein ligase activity"	GO:0061630;GO:0061659	2	Sym_101971_c0_g1	0.579911609850416
"ubiquitin protein ligase activity"	GO:0061630;GO:0061659	2	Sym_128685_c8_g1	-10.7642644018705
"ubiquitin protein ligase activity"	GO:0061630;GO:0061659	2	Sym_17199_c0_g1	2.74091415268684
"ubiquitin protein ligase activity"	GO:0061630;GO:0061659	2	Sym_67222_c0_g1	-3.56983385400811
"carbon-carbon lyase activity"	GO:0016830	2	Sym_87432_c0_g1	-0.51718453622882
"carbon-carbon lyase activity"	GO:0016830	2	Sym_158124_c0_g1	-3.01730472013831
"carbon-carbon lyase activity"	GO:0016830	2	Sym_131343_c2_g1	0.462609010434947
"carbon-carbon lyase activity"	GO:0016830	2	Sym_113653_c1_g2	1.22408930670684
"carbon-carbon lyase activity"	GO:0016830	2	Sym_148542_c0_g2	1.03881225141143
"carbon-carbon lyase activity"	GO:0016830	2	Sym_149385_c2_g1	-1.61945347399521
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_113764_c0_g1	27.8148206133501
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_111553_c2_g1	-0.846608113809067
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_136948_c0_g1	5.84838021375637
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_121495_c10_g2	5.54176501764058
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_145648_c3_g1	12.6219123356477
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_173215_c0_g1	3.86922351262412
"translation regulator activity"	GO:0008135;GO:0090079;GO:0045182	2	Sym_147201_c3_g4	3.88834526990068
