name	term	lev	seq	value
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_105819_c0_g1	-2.59237749579384
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_128149_c1_g1	-6.10195290902533
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_141362_c0_g3	-8.55870309974308
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_101543_c0_g2	-11.641997577127
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_102471_c7_g1	6.59475468682448
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_101543_c0_g3	-4.18470600370284
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_112513_c2_g1	-2.04640972740444
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_120676_c2_g1	-3.88496000417377
"ion transmembrane transport"	GO:0098662;GO:0098655;GO:0098660;GO:0006812;GO:0034220	4	Sym_101441_c0_g1	4.5208805918852
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_310154_c0_g1	0.345150498208379
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_109253_c1_g2	-3.18823559922317
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_121495_c10_g2	2.9988455062437
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_104762_c1_g5	-4.9838319181547
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_109253_c1_g1	2.62267283527118
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_100230_c0_g1	10.9742358658258
"negative regulation of nitrogen compound metabolic process"	GO:0031324;GO:0051172	3	Sym_84654_c0_g1	-1.9968968671406
"regulation of protein metabolic process"	GO:0051246	2	Sym_310154_c0_g1	0.345150498208379
"regulation of protein metabolic process"	GO:0051246	2	Sym_113764_c0_g1	11.6235593485947
"regulation of protein metabolic process"	GO:0051246	2	Sym_111423_c4_g1	1.14702593099352
"regulation of protein metabolic process"	GO:0051246	2	Sym_100802_c0_g1	-2.79014613724277
"regulation of protein metabolic process"	GO:0051246	2	Sym_84654_c0_g1	-1.9968968671406
"response to abiotic stimulus"	GO:0009628	2	Sym_140163_c0_g1	-11.3986798721351
"response to abiotic stimulus"	GO:0009628	2	Sym_127086_c1_g3	0.0658361756958642
"response to abiotic stimulus"	GO:0009628	2	Sym_125225_c1_g2	-0.323566618750436
"response to abiotic stimulus"	GO:0009628	2	Sym_103763_c6_g1	2.2759053557689
"response to abiotic stimulus"	GO:0009628	2	Sym_89763_c0_g1	8.81312275287233
"response to abiotic stimulus"	GO:0009628	2	Sym_101138_c0_g1	2.32758176150982
"response to abiotic stimulus"	GO:0009628	2	Sym_148542_c0_g2	-5.70353039641758
"protein localization"	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	3	Sym_93418_c0_g1	0.845092272156403
"protein localization"	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	3	Sym_114907_c3_g1	-0.0697766529812665
"protein localization"	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	3	Sym_102695_c0_g1	-3.05487563243148
"protein localization"	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	3	Sym_128685_c8_g1	5.45631677997709
"protein localization"	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	3	Sym_114907_c2_g1	-0.404862580310303
"protein localization"	GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036	3	Sym_114907_c1_g1	2.5337278598466
