name	term	lev	seq	value
"creatine kinase activity"	GO:0004111	2	Sym_133957_c1_g1	3.35324998325928
"creatine kinase activity"	GO:0004111	2	Sym_86731_c0_g1	-0.0907229506436285
"creatine kinase activity"	GO:0004111	2	Sym_20081_c0_g1	1.10092717005486
"creatine kinase activity"	GO:0004111	2	Sym_172497_c0_g1	-0.206345798343495
"creatine kinase activity"	GO:0004111	2	Sym_125866_c2_g1	-1.67866849917016
"molybdopterin cofactor binding"	GO:0043546	2	Sym_57413_c0_g1	-0.50677142859221
"molybdopterin cofactor binding"	GO:0043546	2	Sym_44910_c0_g1	2.23645382446064
"molybdopterin cofactor binding"	GO:0043546	2	Sym_311016_c0_g1	0.138431980097558
"molybdopterin cofactor binding"	GO:0043546	2	Sym_144984_c0_g1	-13.6276949514314
"molybdopterin cofactor binding"	GO:0043546	2	Sym_21989_c0_g1	-0.148480010428357
"molybdopterin cofactor binding"	GO:0043546	2	Sym_145175_c1_g2	0.0865727373220087
"molybdopterin cofactor binding"	GO:0043546	2	Sym_141083_c0_g1	-2.12364042597951
"molybdopterin cofactor binding"	GO:0043546	2	Sym_141257_c1_g1	0.293428646688239
"protein kinase A catalytic subunit binding"	GO:0034236	2	Sym_80250_c0_g1	0.10099491014709
"protein kinase A catalytic subunit binding"	GO:0034236	2	Sym_240417_c0_g1	31.5850255502149
"protein kinase A catalytic subunit binding"	GO:0034236	2	Sym_74161_c0_g2	1.79924815557061
"protein kinase A catalytic subunit binding"	GO:0034236	2	Sym_103763_c7_g1	0.430339446275036
"protein kinase A catalytic subunit binding"	GO:0034236	2	Sym_20344_c0_g1	-0.846286039275935
"protein kinase A catalytic subunit binding"	GO:0034236	2	Sym_205682_c0_g1	0.731431575470658
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_156226_c0_g1	5.78883478302216
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_306040_c0_g1	-2.10455845685123
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_101757_c0_g2	-0.74985076980549
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_101035_c0_g1	1.26069699127448
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_240712_c0_g1	-0.0816070664024185
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_207166_c0_g1	-1.18409009511175
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	Sym_74143_c0_g1	1.29516491022918
