Sym_88503_c0_g1_i1	Sym_88503_c0_g1
Sym_88551_c0_g1_i1	Sym_88551_c0_g1
Sym_88500_c0_g1_i1	Sym_88500_c0_g1
Sym_88500_c0_g1_i3	Sym_88500_c0_g1
Sym_88500_c0_g2_i1	Sym_88500_c0_g2
Sym_88523_c0_g1_i1	Sym_88523_c0_g1
Sym_88530_c1_g2_i1	Sym_88530_c1_g2
Sym_88530_c0_g1_i1	Sym_88530_c0_g1
Sym_88520_c0_g1_i2	Sym_88520_c0_g1
Sym_88505_c1_g1_i1	Sym_88505_c1_g1
Sym_88509_c0_g1_i1	Sym_88509_c0_g1
Sym_88509_c0_g2_i1	Sym_88509_c0_g2
Sym_88526_c0_g1_i1	Sym_88526_c0_g1
Sym_88526_c0_g2_i1	Sym_88526_c0_g2
Sym_88544_c0_g1_i1	Sym_88544_c0_g1
Sym_88544_c0_g3_i1	Sym_88544_c0_g3
Sym_88499_c0_g2_i1	Sym_88499_c0_g2
Sym_88499_c0_g3_i1	Sym_88499_c0_g3
Sym_88537_c0_g1_i2	Sym_88537_c0_g1
Sym_88524_c0_g1_i1	Sym_88524_c0_g1
Sym_88514_c0_g1_i2	Sym_88514_c0_g1
Sym_88525_c0_g1_i2	Sym_88525_c0_g1
Sym_88535_c0_g1_i1	Sym_88535_c0_g1
Sym_88535_c0_g2_i1	Sym_88535_c0_g2
Sym_88570_c0_g1_i1	Sym_88570_c0_g1
Sym_88539_c0_g1_i2	Sym_88539_c0_g1
Sym_88513_c0_g1_i1	Sym_88513_c0_g1
Sym_88534_c0_g1_i1	Sym_88534_c0_g1
Sym_88542_c0_g1_i1	Sym_88542_c0_g1
Sym_21477_c0_g1_i1	Sym_21477_c0_g1
Sym_21432_c0_g1_i1	Sym_21432_c0_g1
Sym_21463_c0_g1_i1	Sym_21463_c0_g1
Sym_21498_c0_g1_i1	Sym_21498_c0_g1
Sym_21499_c0_g1_i1	Sym_21499_c0_g1
Sym_21464_c0_g1_i1	Sym_21464_c0_g1
Sym_21412_c0_g1_i1	Sym_21412_c0_g1
Sym_21415_c0_g1_i1	Sym_21415_c0_g1
Sym_21474_c0_g1_i1	Sym_21474_c0_g1
Sym_21427_c0_g1_i1	Sym_21427_c0_g1
Sym_21492_c0_g1_i1	Sym_21492_c0_g1
Sym_21456_c0_g1_i1	Sym_21456_c0_g1
Sym_21497_c0_g1_i2	Sym_21497_c0_g1
Sym_5673_c0_g1_i1	Sym_5673_c0_g1
Sym_5672_c0_g1_i1	Sym_5672_c0_g1
Sym_5682_c0_g1_i1	Sym_5682_c0_g1
Sym_5678_c0_g1_i1	Sym_5678_c0_g1
Sym_5616_c0_g1_i1	Sym_5616_c0_g1
