name	term	lev	seq	value
"proton channel activity"	GO:0046933;GO:0015252;GO:0005261;GO:0005216;GO:0015267;GO:0022803	4	Sym_105819_c0_g1	-0.0824117980320219
"proton channel activity"	GO:0046933;GO:0015252;GO:0005261;GO:0005216;GO:0015267;GO:0022803	4	Sym_176037_c0_g1	1.0052813031792
"proton channel activity"	GO:0046933;GO:0015252;GO:0005261;GO:0005216;GO:0015267;GO:0022803	4	Sym_101543_c0_g2	-1.36285545362247
"proton channel activity"	GO:0046933;GO:0015252;GO:0005261;GO:0005216;GO:0015267;GO:0022803	4	Sym_101543_c0_g3	1.6706077170415
"proton channel activity"	GO:0046933;GO:0015252;GO:0005261;GO:0005216;GO:0015267;GO:0022803	4	Sym_208217_c0_g1	0.870411385944825
"proton channel activity"	GO:0046933;GO:0015252;GO:0005261;GO:0005216;GO:0015267;GO:0022803	4	Sym_120676_c2_g1	-1.49098469763705
"translation initiation factor activity"	GO:0003743	2	Sym_113764_c0_g1	-0.196707310859525
"translation initiation factor activity"	GO:0003743	2	Sym_121495_c10_g2	2.46883567960721
"translation initiation factor activity"	GO:0003743	2	Sym_145648_c3_g1	-0.143875575121825
"translation initiation factor activity"	GO:0003743	2	Sym_147201_c3_g4	3.45655356167655
"translation initiation factor activity"	GO:0003743	2	Sym_90254_c0_g1	2.86592844718668
"translation initiation factor activity"	GO:0003743	2	Sym_44879_c0_g1	1.48952339874063
"endopeptidase activity"	GO:0004175	2	Sym_93418_c0_g1	2.62937554170822
"endopeptidase activity"	GO:0004175	2	Sym_109358_c2_g1	-1.56840277112632
"endopeptidase activity"	GO:0004175	2	Sym_44505_c0_g1	-5.08194087808476
"endopeptidase activity"	GO:0004175	2	Sym_107783_c2_g1	0.236077139957153
"endopeptidase activity"	GO:0004175	2	Sym_278829_c0_g1	0.126566638923096
"endopeptidase activity"	GO:0004175	2	Sym_114958_c5_g1	-1.68424820361076
"endopeptidase activity"	GO:0004175	2	Sym_130165_c13_g1	-3.22531445911304
"endopeptidase activity"	GO:0004175	2	Sym_91477_c0_g1	-2.19919551342802
"endopeptidase activity"	GO:0004175	2	Sym_204881_c0_g1	4.60142750507376
"endopeptidase activity"	GO:0004175	2	Sym_242526_c0_g1	-12.0227649991505
"DNA binding"	GO:0003677	2	Sym_102539_c1_g8	-1.16497203202609
"DNA binding"	GO:0003677	2	Sym_103894_c0_g2	-0.139988977981326
"DNA binding"	GO:0003677	2	Sym_89236_c0_g1	-0.610279673925468
"DNA binding"	GO:0003677	2	Sym_103894_c0_g4	0.0226532765721868
"DNA binding"	GO:0003677	2	Sym_105077_c3_g2	-2.45948360295439
"DNA binding"	GO:0003677	2	Sym_107369_c3_g5	0.403031088097216
"DNA binding"	GO:0003677	2	Sym_102539_c1_g6	-0.0798166458830854
"DNA binding"	GO:0003677	2	Sym_121495_c10_g3	4.56496281945847
"DNA binding"	GO:0003677	2	Sym_311128_c0_g1	1.42497307545642
"DNA binding"	GO:0003677	2	Sym_103894_c0_g1	-6.34782876860706
"DNA binding"	GO:0003677	2	Sym_107127_c2_g8	3.91399335512993
"DNA binding"	GO:0003677	2	Sym_28806_c0_g1	1.57904438474546
"DNA binding"	GO:0003677	2	Sym_102539_c1_g2	-0.586966580038029
"DNA binding"	GO:0003677	2	Sym_104762_c1_g5	-1.20754573774017
"DNA binding"	GO:0003677	2	Sym_157544_c0_g1	0.922478167319358
"DNA binding"	GO:0003677	2	Sym_102539_c1_g9	-3.4680858509564
"DNA binding"	GO:0003677	2	Sym_244548_c0_g1	-8.62561387319508
"DNA binding"	GO:0003677	2	Sym_112123_c0_g1	0.903665640196475
"DNA binding"	GO:0003677	2	Sym_100230_c0_g1	-0.393015346634341
"DNA binding"	GO:0003677	2	Sym_136909_c0_g1	-13.05945507405
"DNA binding"	GO:0003677	2	Sym_102539_c1_g5	-1.06292000202983
"DNA binding"	GO:0003677	2	Sym_152309_c0_g2	-5.1896982923183
"DNA binding"	GO:0003677	2	Sym_142384_c1_g2	-1.77237737353311
"transporter activity"	GO:0022857;GO:0005215	2	Sym_117355_c0_g1	-1.83125885089292
"transporter activity"	GO:0022857;GO:0005215	2	Sym_152125_c5_g2	-15.0579347966449
"transporter activity"	GO:0022857;GO:0005215	2	Sym_98005_c1_g1	3.11697887389499
"transporter activity"	GO:0022857;GO:0005215	2	Sym_57115_c0_g1	-4.93911850683259
"transporter activity"	GO:0022857;GO:0005215	2	Sym_98005_c2_g1	3.88532139221867
"transporter activity"	GO:0022857;GO:0005215	2	Sym_136847_c3_g1	3.03616886952215
"transporter activity"	GO:0022857;GO:0005215	2	Sym_24952_c0_g1	-6.86570951794624
"transporter activity"	GO:0022857;GO:0005215	2	Sym_105819_c0_g1	-0.0824117980320219
"transporter activity"	GO:0022857;GO:0005215	2	Sym_103688_c0_g1	-4.85710847643233
"transporter activity"	GO:0022857;GO:0005215	2	Sym_101441_c0_g1	1.4486788322208
"transporter activity"	GO:0022857;GO:0005215	2	Sym_102695_c0_g1	-4.50590486761779
"transporter activity"	GO:0022857;GO:0005215	2	Sym_176037_c0_g1	1.0052813031792
"transporter activity"	GO:0022857;GO:0005215	2	Sym_128149_c1_g1	-6.70285413961042
"transporter activity"	GO:0022857;GO:0005215	2	Sym_137236_c0_g1	-0.673907832273607
"transporter activity"	GO:0022857;GO:0005215	2	Sym_156351_c0_g1	-1.82741250351046
"transporter activity"	GO:0022857;GO:0005215	2	Sym_117760_c6_g1	-0.28267664662593
"transporter activity"	GO:0022857;GO:0005215	2	Sym_89392_c0_g1	-0.586867477032454
"transporter activity"	GO:0022857;GO:0005215	2	Sym_113175_c1_g1	-7.87928134373647
"transporter activity"	GO:0022857;GO:0005215	2	Sym_141362_c0_g3	-3.15463587132851
"transporter activity"	GO:0022857;GO:0005215	2	Sym_101543_c0_g2	-1.36285545362247
"transporter activity"	GO:0022857;GO:0005215	2	Sym_102471_c7_g1	0.0792948285105247
"transporter activity"	GO:0022857;GO:0005215	2	Sym_101543_c0_g3	1.6706077170415
"transporter activity"	GO:0022857;GO:0005215	2	Sym_112513_c2_g1	-1.2852953845844
"transporter activity"	GO:0022857;GO:0005215	2	Sym_110125_c3_g1	-1.48000192853865
"transporter activity"	GO:0022857;GO:0005215	2	Sym_208217_c0_g1	0.870411385944825
"transporter activity"	GO:0022857;GO:0005215	2	Sym_179816_c0_g1	-2.43436977527407
"transporter activity"	GO:0022857;GO:0005215	2	Sym_120676_c2_g1	-1.49098469763705
"transporter activity"	GO:0022857;GO:0005215	2	Sym_159792_c0_g1	-1.45282046271238
"peptide binding"	GO:0042277	3	Sym_31210_c0_g1	4.26519202983011
"peptide binding"	GO:0042277	3	Sym_107499_c4_g1	0.39291001685159
"peptide binding"	GO:0042277	3	Sym_101138_c0_g1	-2.37346960166738
"peptide binding"	GO:0042277	3	Sym_143426_c2_g1	0.404906329241499
"peptide binding"	GO:0042277	3	Sym_242526_c0_g1	-12.0227649991505
"magnesium ion binding"	GO:0000287	4	Sym_150432_c3_g6	3.75315155172648
"magnesium ion binding"	GO:0000287	4	Sym_74356_c0_g1	-3.55322057623673
"magnesium ion binding"	GO:0000287	4	Sym_119993_c5_g1	-0.558327297208128
"magnesium ion binding"	GO:0000287	4	Sym_93060_c0_g1	-0.808138298373626
"magnesium ion binding"	GO:0000287	4	Sym_149385_c2_g1	-1.47786846892478
"transition metal ion binding"	GO:0046914	5	Sym_93418_c0_g1	2.62937554170822
"transition metal ion binding"	GO:0046914	5	Sym_87432_c0_g1	-1.54220034698029
"transition metal ion binding"	GO:0046914	5	Sym_85001_c0_g1	-0.10468552759834
"transition metal ion binding"	GO:0046914	5	Sym_133740_c1_g1	-3.15052609167245
"transition metal ion binding"	GO:0046914	5	Sym_109253_c1_g2	-4.22673026640742
"transition metal ion binding"	GO:0046914	5	Sym_132105_c3_g7	-0.669356580779991
"transition metal ion binding"	GO:0046914	5	Sym_103301_c0_g1	-0.793988706386409
"transition metal ion binding"	GO:0046914	5	Sym_150432_c3_g6	3.75315155172648
"transition metal ion binding"	GO:0046914	5	Sym_103894_c1_g3	1.93308996053249
"transition metal ion binding"	GO:0046914	5	Sym_103093_c3_g10	0.536651562863458
"transition metal ion binding"	GO:0046914	5	Sym_144984_c0_g1	-26.4842450810313
"transition metal ion binding"	GO:0046914	5	Sym_28806_c0_g1	1.57904438474546
"transition metal ion binding"	GO:0046914	5	Sym_117960_c0_g3	6.55405746998211
"transition metal ion binding"	GO:0046914	5	Sym_92614_c0_g2	-0.277496665442519
"transition metal ion binding"	GO:0046914	5	Sym_141083_c0_g1	-16.7586742359223
"transition metal ion binding"	GO:0046914	5	Sym_67222_c0_g1	-3.51546499434345
"transition metal ion binding"	GO:0046914	5	Sym_156351_c0_g1	-1.82741250351046
"transition metal ion binding"	GO:0046914	5	Sym_109253_c1_g1	-1.03370946712621
"transition metal ion binding"	GO:0046914	5	Sym_131343_c2_g1	-2.03199553622378
"transition metal ion binding"	GO:0046914	5	Sym_121618_c0_g2	-11.2992595968688
"transition metal ion binding"	GO:0046914	5	Sym_101138_c0_g1	-2.37346960166738
"transition metal ion binding"	GO:0046914	5	Sym_109253_c1_g3	-3.08485413644749
"transition metal ion binding"	GO:0046914	5	Sym_103894_c1_g6	-0.947748760813561
"transition metal ion binding"	GO:0046914	5	Sym_86661_c0_g1	0.297181542857815
"transition metal ion binding"	GO:0046914	5	Sym_271368_c0_g1	-0.875857717463648
"transition metal ion binding"	GO:0046914	5	Sym_148542_c0_g2	0.260367760333165
"transition metal ion binding"	GO:0046914	5	Sym_142384_c1_g2	-1.77237737353311
"transition metal ion binding"	GO:0046914	5	Sym_78376_c0_g2	1.97103651728174
"transition metal ion binding"	GO:0046914	5	Sym_117960_c0_g2	-1.80485269988957
"hydrolase activity, acting on ester bonds"	GO:0016788	3	Sym_120719_c3_g1	-1.61502018764851
"hydrolase activity, acting on ester bonds"	GO:0016788	3	Sym_284899_c0_g1	0.539525370956149
"hydrolase activity, acting on ester bonds"	GO:0016788	3	Sym_109253_c1_g2	-4.22673026640742
